game_id,team,2pt_makes,2pt_attempts,3pt_makes,3pt_attempts
20220422_MIL_CHI,CHI,24,50,9,34
20220422_PHO_NOP,PHO,40,61,4,26
20220422_PHO_NOP,NOP,27,47,11,32
20220423_PHI_TOR,PHI,21,49,13,31
20220423_PHI_TOR,TOR,29,54,8,34
20220423_DAL_UTA,DAL,18,33,15,44
20220423_DAL_UTA,UTA,22,44,10,35
20220423_BOS_BRK,BOS,30,45,12,39
20220423_BOS_BRK,BRK,27,48,12,29
20220423_MEM_MIN,MEM,27,54,15,32
20220423_MEM_MIN,MIN,17,38,18,36
20220424_MIL_CHI,MIL,28,53,17,33
20220424_MIL_CHI,CHI,26,54,9,36
20220424_GSW_DEN,GSW,31,52,12,34
20220424_GSW_DEN,DEN,26,42,15,31
20220424_MIA_ATL,MIA,27,50,13,42
20220424_MIA_ATL,ATL,15,33,15,42
20220424_PHO_NOP,PHO,36,58,7,27
20220424_PHO_NOP,NOP,34,61,6,24
20220425_BOS_BRK,BOS,28,54,14,35
20220425_BOS_BRK,BRK,28,46,13,35
20220425_TOR_PHI,TOR,34,51,8,31
20220425_TOR_PHI,PHI,21,44,10,37
20220425_UTA_DAL,UTA,26,47,3,30
20220425_UTA_DAL,DAL,25,42,12,43
20220426_ATL_MIA,ATL,23,49,8,25
20220426_ATL_MIA,MIA,30,51,7,31
20220426_MIN_MEM,MIN,23,50,14,33
20220426_MIN_MEM,MEM,32,66,7,28
20220426_NOP_PHO,NOP,27,55,5,25
20220426_NOP_PHO,PHO,33,59,10,27
20220427_CHI_MIL,CHI,24,40,15,52
20220427_CHI_MIL,MIL,29,51,14,36
20220427_DEN_GSW,DEN,30,52,6,29
20220427_DEN_GSW,GSW,24,51,13,31
20220428_PHI_TOR,PHI,31,41,16,40
20220428_PHI_TOR,TOR,28,54,7,35
20220428_PHO_NOP,PHO,37,55,8,20
20220428_PHO_NOP,NOP,34,59,8,24
20220428_DAL_UTA,DAL,19,37,17,43
20220428_DAL_UTA,UTA,27,49,9,35
20220429_MEM_MIN,MEM,25,54,15,32
20220429_MEM_MIN,MIN,26,53,12,31
2022051_MIL_BOS,MIL,25,56,12,34
2022051_MIL_BOS,BOS,10,34,18,50
2022051_GSW_MEM,GSW,31,55,14,38
2022051_GSW_MEM,MEM,25,55,16,40
2022052_PHI_MIA,PHI,28,45,6,34
2022052_PHI_MIA,MIA,31,56,9,36
2022052_DAL_PHO,DAL,24,46,16,39
2022052_DAL_PHO,PHO,35,63,11,28
2022053_MIL_BOS,MIL,31,55,3,18
2022053_MIL_BOS,BOS,18,37,20,43
2022053_GSW_MEM,GSW,33,57,7,38
2022053_GSW_MEM,MEM,22,46,14,45
2022054_PHI_MIA,PHI,30,54,8,30
2022054_PHI_MIA,MIA,26,49,14,29
2022054_DAL_PHO,DAL,19,38,17,41
2022054_DAL_PHO,PHO,36,51,13,25
2022056_MIA_PHI,MIA,20,47,7,30
2022056_MIA_PHI,PHI,16,34,16,33
2022056_PHO_DAL,PHO,21,48,13,28
2022056_PHO_DAL,DAL,27,51,13,39
2022057_BOS_MIL,BOS,23,54,9,33
