time,away_description,away_change,score,home_change,home_description
11:43.0,P. Achiuwa makes 2-pt dunk from 1 ft (assist by F. VanVleet),+2,2-0, , 
11:26.0, , ,2-0, ,K. Kuzma misses 2-pt layup from 3 ft
11:25.0, , ,2-0, ,Offensive rebound by D. Gafford
11:24.0, , ,2-2,+2,D. Gafford makes 2-pt dunk from 2 ft
11:12.0,G. Trent makes 2-pt jump shot from 16 ft,+2,4-2, , 
10:53.0, , ,4-2, ,K. Kuzma misses 3-pt jump shot from 26 ft
10:50.0,Defensive rebound by P. Achiuwa, ,4-2, , 
10:39.0,G. Trent misses 3-pt jump shot from 29 ft, ,4-2, , 
10:36.0, , ,4-2, ,Defensive rebound by D. Gafford
10:30.0, , ,4-2, ,Turnover by K. Caldwell-Pope (lost ball; steal by F. VanVleet)
10:22.0,Shooting foul by D. Gafford (drawn by P. Achiuwa), ,4-2, , 
10:22.0,P. Achiuwa makes free throw 1 of 2,+1,5-2, , 
10:22.0,P. Achiuwa makes free throw 2 of 2,+1,6-2, , 
9:59.0, , ,6-2, ,K. Caldwell-Pope misses 3-pt jump shot from 25 ft
9:55.0,Defensive rebound by P. Achiuwa, ,6-2, , 
9:49.0,Turnover by S. Mykhailiuk (step out of bounds), ,6-2, , 
9:33.0, , ,6-2, ,K. Kuzma misses 3-pt jump shot from 24 ft
9:29.0,Defensive rebound by S. Mykhailiuk, ,6-2, , 
9:21.0,Shooting foul by K. Caldwell-Pope (drawn by S. Mykhailiuk), ,6-2, , 
9:21.0,S. Mykhailiuk makes free throw 1 of 2,+1,7-2, , 
9:21.0,S. Mykhailiuk misses free throw 2 of 2, ,7-2, , 
9:19.0, , ,7-2, ,Defensive rebound by K. Caldwell-Pope
9:04.0, , ,7-2, ,K. Kuzma misses 2-pt jump shot from 10 ft
9:01.0,Defensive rebound by F. VanVleet, ,7-2, , 
8:56.0,F. VanVleet misses 2-pt jump shot from 16 ft, ,7-2, , 
8:54.0, , ,7-2, ,Defensive rebound by K. Caldwell-Pope
8:45.0, , ,7-2, ,Turnover by S. Dinwiddie (bad pass; steal by O. Anunoby)
8:38.0,Turnover by O. Anunoby (lost ball; steal by D. Gafford), ,7-2, , 
8:35.0, , ,7-4,+2,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by K. Kuzma)
8:16.0,G. Trent misses 3-pt jump shot from 23 ft, ,7-4, , 
8:16.0, , ,7-4, ,Defensive rebound by B. Beal
8:06.0, , ,7-7,+3,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by B. Beal)
7:46.0,G. Trent makes 3-pt jump shot from 23 ft (assist by F. VanVleet),+3,10-7, , 
