time,away_description,away_change,score,home_change,home_description
2:19.0,C. Boucher makes 2-pt layup from 3 ft (assist by T. Davis),+2,26-40, , 
2:00.0, , ,26-40, ,Turnover by N. Bjelica (lost ball; steal by P. Siakam)
1:56.0,F. VanVleet makes 2-pt layup from 1 ft (assist by C. Boucher),+2,28-40, , 
1:56.0, , ,28-40, ,Sacramento full timeout
1:56.0,O. Anunoby enters the game for P. Siakam, ,28-40, , 
1:56.0, , ,28-40, ,D. Fox enters the game for B. Hield
1:34.0, , ,28-40, ,Turnover by D. Fox (bad pass; steal by O. Anunoby)
1:29.0,Offensive foul by O. Anunoby (drawn by C. Joseph), ,28-40, , 
1:29.0,Turnover by O. Anunoby (offensive foul), ,28-40, , 
1:20.0,Instant Replay (Request: Ruling Stands), ,28-40, , 
1:20.0, , ,28-40, ,Turnover by T. Haliburton (step out of bounds)
1:10.0,C. Boucher makes 3-pt jump shot from 26 ft (assist by F. VanVleet),+3,31-40, , 
0:54.0, , ,31-43,+3,T. Haliburton makes 3-pt jump shot from 25 ft
0:30.0,O. Anunoby misses 3-pt jump shot from 26 ft, ,31-43, , 
0:26.0,Offensive rebound by C. Boucher, ,31-43, , 
0:25.0,C. Boucher makes 2-pt dunk from 1 ft,+2,33-43, , 
0:07.0, , ,33-43, ,Turnover by D. Fox (lost ball; steal by F. VanVleet)
0:03.0,F. VanVleet makes 2-pt layup from 1 ft,+2,35-43, , 
11:39.0,C. Boucher makes 2-pt layup from 4 ft,+2,37-43, , 
11:39.0,Shooting foul by C. Joseph (drawn by C. Boucher), ,37-43, , 
11:39.0,C. Boucher makes free throw 1 of 1,+1,38-43, , 
11:23.0, , ,38-43, ,N. Bjelica misses 3-pt jump shot from 25 ft
11:23.0,Defensive rebound by Y. Watanabe, ,38-43, , 
11:10.0,C. Boucher misses 3-pt jump shot from 25 ft, ,38-43, , 
11:06.0, , ,38-43, ,Defensive rebound by H. Barnes
10:56.0, , ,38-43, ,Shooting foul by C. Boucher (drawn by D. Fox)
10:56.0, , ,38-43, ,D. Fox misses free throw 1 of 2
10:56.0, , ,38-43, ,Offensive rebound by Team
10:56.0, , ,38-44,+1,D. Fox makes free throw 2 of 2
10:42.0,M. Flynn misses 3-pt jump shot from 25 ft, ,38-44, , 
10:38.0, , ,38-44, ,Defensive rebound by H. Barnes
10:28.0, , ,38-46,+2,N. Bjelica makes 2-pt jump shot from 5 ft (assist by H. Barnes)
10:13.0,T. Davis makes 3-pt jump shot from 26 ft,+3,41-46, , 
9:57.0, , ,41-48,+2,H. Barnes makes 2-pt dunk from 1 ft (assist by N. Bjelica)
9:48.0,Personal foul by H. Barnes (drawn by O. Anunoby), ,41-48, , 
9:48.0,P. Siakam enters the game for C. Boucher, ,41-48, , 
