time,away_description,away_change,score,home_change,home_description
11:46.0, , ,0-0, ,Shooting foul by P. Washington (drawn by F. Kaminsky)
11:46.0, , ,0-0, ,F. Kaminsky misses free throw 1 of 2
11:46.0, , ,0-0, ,Offensive rebound by Team
11:46.0, , ,0-1,+1,F. Kaminsky makes free throw 2 of 2
11:35.0,P. Washington makes 2-pt dunk from 1 ft (assist by L. Ball),+2,2-1, , 
11:35.0,Shooting foul by F. Kaminsky (drawn by P. Washington), ,2-1, , 
11:35.0,P. Washington makes free throw 1 of 1,+1,3-1, , 
11:23.0, , ,3-1, ,D. Booker misses 2-pt jump shot from 13 ft
11:20.0,Defensive rebound by P. Washington, ,3-1, , 
11:09.0,Turnover by T. Rozier (out of bounds lost ball), ,3-1, , 
11:04.0, , ,3-1, ,Personal foul by L. Ball (drawn by D. Booker)
10:57.0, , ,3-1, ,Turnover by D. Booker (bad pass; steal by L. Ball)
10:53.0,T. Rozier makes 2-pt layup from 2 ft (assist by L. Ball),+2,5-1, , 
10:39.0, , ,5-3,+2,D. Booker makes 2-pt jump shot from 12 ft (assist by C. Paul)
10:22.0,G. Hayward makes 2-pt jump shot from 10 ft,+2,7-3, , 
10:06.0, , ,7-6,+3,M. Bridges makes 3-pt jump shot from 24 ft (assist by F. Kaminsky)
9:52.0,Shooting foul by D. Booker (drawn by T. Rozier), ,7-6, , 
9:52.0,T. Rozier makes free throw 1 of 2,+1,8-6, , 
9:52.0,T. Rozier makes free throw 2 of 2,+1,9-6, , 
9:39.0, , ,9-8,+2,M. Bridges makes 2-pt layup from 3 ft (assist by C. Paul)
9:29.0,G. Hayward misses 2-pt jump shot from 13 ft, ,9-8, , 
9:29.0, , ,9-8, ,Defensive rebound by M. Bridges
9:23.0, , ,9-10,+2,D. Booker makes 2-pt layup from 1 ft
9:12.0,P. Washington misses 2-pt layup from 1 ft, ,9-10, , 
9:10.0, , ,9-10, ,Defensive rebound by D. Ayton
8:56.0, , ,9-10, ,F. Kaminsky misses 2-pt layup at rim
8:54.0, , ,9-10, ,Offensive rebound by D. Ayton
8:52.0, , ,9-13,+3,M. Bridges makes 3-pt jump shot from 26 ft (assist by D. Ayton)
8:30.0,G. Hayward makes 2-pt jump shot from 8 ft,+2,11-13, , 
8:30.0,Shooting foul by C. Paul (drawn by G. Hayward), ,11-13, , 
8:30.0,G. Hayward makes free throw 1 of 1,+1,12-13, , 
8:19.0, , ,12-16,+3,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by C. Paul)
8:08.0,C. Zeller makes 2-pt dunk from 1 ft (assist by L. Ball),+2,14-16, , 
7:50.0, , ,14-16, ,Personal foul by G. Hayward (drawn by D. Ayton)
7:47.0, , ,14-16, ,Turnover by D. Booker (out of bounds lost ball)
7:33.0,C. Zeller makes 2-pt dunk at rim (assist by T. Rozier),+2,16-16, , 
7:16.0, , ,16-16, ,F. Kaminsky misses 2-pt layup from 2 ft
7:11.0, , ,16-16, ,Offensive rebound by D. Ayton
7:11.0, , ,16-18,+2,D. Ayton makes 2-pt layup at rim
7:03.0,G. Hayward misses 3-pt jump shot from 25 ft, ,16-18, , 
7:00.0, , ,16-18, ,Defensive rebound by F. Kaminsky
6:54.0, , ,16-20,+2,D. Ayton makes 2-pt jump shot from 9 ft (assist by C. Paul)
6:47.0,Turnover by T. Rozier (bad pass; steal by D. Booker), ,16-20, , 
6:38.0, , ,16-22,+2,D. Booker makes 2-pt jump shot from 10 ft
6:37.0,Charlotte full timeout, ,16-22, , 
6:37.0,M. Bridges enters the game for L. Ball, ,16-22, , 
6:37.0,M. Monk enters the game for P. Washington, ,16-22, , 
6:37.0, , ,16-22, ,J. Crowder enters the game for F. Kaminsky
6:14.0,M. Monk misses 3-pt jump shot from 23 ft, ,16-22, , 
6:12.0, , ,16-22, ,Defensive rebound by J. Crowder
5:53.0, , ,16-24,+2,D. Booker makes 2-pt layup from 1 ft
5:36.0,C. Zeller misses 3-pt jump shot from 23 ft, ,16-24, , 
5:33.0, , ,16-24, ,Defensive rebound by D. Ayton
5:21.0, , ,16-24, ,D. Ayton misses 2-pt layup from 1 ft (block by C. Zeller)
5:18.0,Defensive rebound by M. Bridges, ,16-24, , 
5:12.0,G. Hayward misses 2-pt layup from 2 ft, ,16-24, , 
5:11.0,Offensive rebound by C. Zeller, ,16-24, , 
5:10.0,C. Zeller misses 2-pt layup from 1 ft, ,16-24, , 
5:10.0,Offensive rebound by G. Hayward, ,16-24, , 
5:06.0,G. Hayward makes 2-pt layup from 2 ft,+2,18-24, , 
4:59.0, , ,18-27,+3,D. Booker makes 3-pt jump shot from 27 ft
4:42.0,M. Bridges makes 2-pt jump shot from 6 ft,+2,20-27, , 
4:19.0, , ,20-27, ,M. Bridges misses 3-pt jump shot from 23 ft
4:16.0,Defensive rebound by M. Monk, ,20-27, , 
4:10.0,M. Monk makes 2-pt layup from 2 ft,+2,22-27, , 
4:08.0, , ,22-27, ,Phoenix full timeout
4:08.0,B. Biyombo enters the game for G. Hayward, ,22-27, , 
4:08.0,J. McDaniels enters the game for C. Zeller, ,22-27, , 
4:08.0, , ,22-27, ,C. Johnson enters the game for M. Bridges
4:08.0, , ,22-27, ,C. Payne enters the game for C. Paul
3:49.0, , ,22-29,+2,D. Booker makes 2-pt jump shot from 12 ft
3:36.0,T. Rozier misses 3-pt jump shot from 23 ft, ,22-29, , 
3:34.0,Offensive rebound by T. Rozier, ,22-29, , 
3:32.0,Turnover by T. Rozier (bad pass; steal by C. Payne), ,22-29, , 
3:26.0, , ,22-32,+3,D. Booker makes 3-pt jump shot from 23 ft (assist by C. Payne)
2:58.0,T. Rozier misses 3-pt jump shot from 26 ft, ,22-32, , 
2:56.0, , ,22-32, ,Defensive rebound by D. Ayton
2:42.0, , ,22-34,+2,D. Ayton makes 2-pt layup from 2 ft (assist by D. Booker)
2:36.0,Shooting foul by C. Johnson (drawn by J. McDaniels), ,22-34, , 
2:36.0,J. McDaniels makes free throw 1 of 2,+1,23-34, , 
2:36.0,L. Ball enters the game for T. Rozier, ,23-34, , 
2:36.0, , ,23-34, ,D. Šarić enters the game for D. Ayton
2:36.0,J. McDaniels makes free throw 2 of 2,+1,24-34, , 
2:14.0, , ,24-37,+3,J. Crowder makes 3-pt jump shot from 26 ft (assist by C. Johnson)
1:53.0,M. Monk misses 3-pt jump shot from 26 ft, ,24-37, , 
1:52.0,Offensive rebound by J. McDaniels, ,24-37, , 
1:52.0,J. McDaniels makes 2-pt dunk at rim,+2,26-37, , 
1:52.0,Shooting foul by D. Šarić (drawn by J. McDaniels), ,26-37, , 
1:52.0,J. McDaniels makes free throw 1 of 1,+1,27-37, , 
1:33.0, , ,27-37, ,J. Crowder misses 2-pt jump shot from 21 ft
1:31.0,Defensive rebound by J. McDaniels, ,27-37, , 
1:18.0,L. Ball makes 2-pt jump shot from 2 ft,+2,29-37, , 
1:11.0, , ,29-37, ,D. Booker misses 2-pt layup at rim (block by J. McDaniels)
1:09.0,Defensive rebound by J. McDaniels, ,29-37, , 
1:07.0,M. Bridges misses 3-pt jump shot from 23 ft, ,29-37, , 
1:02.0, , ,29-37, ,Defensive rebound by C. Johnson
1:01.0, , ,29-37, ,Turnover by C. Johnson (out of bounds lost ball)
1:01.0, , ,29-37, ,E. Moore enters the game for D. Booker
0:48.0,J. McDaniels makes 3-pt jump shot from 24 ft (assist by L. Ball),+3,32-37, , 
0:34.0, , ,32-37, ,C. Johnson misses 2-pt jump shot from 11 ft
0:32.0,Defensive rebound by B. Biyombo, ,32-37, , 
0:27.0,Personal foul by C. Payne (drawn by L. Ball), ,32-37, , 
0:27.0,L. Ball makes free throw 1 of 2,+1,33-37, , 
0:27.0,C. Martin enters the game for B. Biyombo, ,33-37, , 
0:27.0, , ,33-37, ,C. Paul enters the game for C. Payne
0:27.0,L. Ball makes free throw 2 of 2,+1,34-37, , 
0:06.0, , ,34-37, ,Shooting foul by J. McDaniels (drawn by D. Šarić)
0:06.0, , ,34-37, ,D. Šarić misses free throw 1 of 2
0:06.0, , ,34-37, ,Offensive rebound by Team
0:06.0,B. Biyombo enters the game for C. Martin, ,34-37, , 
0:06.0, , ,34-38,+1,D. Šarić makes free throw 2 of 2
0:00.0,L. Ball misses 3-pt jump shot from 27 ft, ,34-38, , 
0:00.0, , ,34-38, ,Defensive rebound by C. Paul
11:49.0,Personal foul by E. Moore (drawn by M. Bridges), ,34-38, , 
11:39.0,Personal foul by E. Moore (drawn by P. Washington), ,34-38, , 
11:28.0,Turnover by G. Hayward (bad pass; steal by D. Šarić), ,34-38, , 
11:10.0, , ,34-40,+2,D. Šarić makes 2-pt hook shot from 4 ft
10:55.0,P. Washington misses 3-pt jump shot from 25 ft, ,34-40, , 
10:53.0, , ,34-40, ,Defensive rebound by C. Paul
10:46.0, , ,34-43,+3,C. Paul makes 3-pt jump shot from 26 ft
10:28.0,P. Washington makes 2-pt jump shot from 6 ft (assist by G. Hayward),+2,36-43, , 
10:25.0, , ,36-43, ,Turnover by C. Paul (dbl dribble)
10:17.0,Shooting foul by D. Šarić (drawn by G. Hayward), ,36-43, , 
10:17.0,G. Hayward makes free throw 1 of 2,+1,37-43, , 
10:17.0,G. Hayward makes free throw 2 of 2,+1,38-43, , 
10:05.0, , ,38-43, ,Turnover by J. Crowder (bad pass)
10:05.0, , ,38-43, ,M. Bridges enters the game for E. Moore
