time,away_description,away_change,score,home_change,home_description
11:53.0, , ,0-2,+2,D. Ayton makes 2-pt dunk at rim (assist by C. Paul)
11:37.0,A. Pokusevski makes 3-pt jump shot from 24 ft (assist by T. Maledon),+3,3-2, , 
11:16.0, , ,3-5,+3,D. Booker makes 3-pt jump shot from 25 ft (assist by D. Ayton)
10:59.0,Turnover by T. Maledon (bad pass), ,3-5, , 
10:50.0, , ,3-5, ,M. Bridges misses 3-pt jump shot from 23 ft
10:46.0,Defensive rebound by T. Maledon, ,3-5, , 
10:45.0,Shooting foul by J. Crowder (drawn by T. Maledon), ,3-5, , 
10:45.0,T. Maledon makes free throw 1 of 2,+1,4-5, , 
10:45.0,T. Maledon makes free throw 2 of 2,+1,5-5, , 
10:35.0, , ,5-7,+2,C. Paul makes 2-pt jump shot from 8 ft
10:20.0,Turnover by I. Roby (bad pass), ,5-7, , 
10:15.0, , ,5-9,+2,C. Paul makes 2-pt jump shot from 14 ft
9:55.0,A. Pokusevski misses 2-pt layup from 2 ft, ,5-9, , 
9:54.0, , ,5-9, ,Defensive rebound by D. Ayton
9:49.0, , ,5-11,+2,M. Bridges makes 2-pt layup from 1 ft (assist by J. Crowder)
9:39.0,A. Pokusevski misses 2-pt jump shot from 11 ft, ,5-11, , 
9:35.0, , ,5-11, ,Defensive rebound by J. Crowder
9:28.0, , ,5-11, ,D. Ayton misses 2-pt hook shot from 7 ft (block by M. Brown)
9:26.0,Defensive rebound by I. Roby, ,5-11, , 
9:24.0,I. Roby misses 2-pt layup from 4 ft (block by M. Bridges), ,5-11, , 
9:23.0, , ,5-11, ,Defensive rebound by Team
9:07.0, , ,5-11, ,D. Booker misses 2-pt jump shot from 10 ft
9:04.0,Defensive rebound by I. Roby, ,5-11, , 
8:54.0,I. Roby misses 2-pt jump shot from 4 ft, ,5-11, , 
8:52.0, , ,5-11, ,Defensive rebound by D. Ayton
8:48.0, , ,5-11, ,D. Booker misses 2-pt layup from 1 ft
8:48.0,Defensive rebound by M. Brown, ,5-11, , 
8:41.0,A. Pokusevski misses 3-pt jump shot from 23 ft, ,5-11, , 
8:37.0,Offensive rebound by M. Brown, ,5-11, , 
8:36.0,M. Brown misses 2-pt layup from 2 ft (block by M. Bridges), ,5-11, , 
8:32.0, , ,5-11, ,Defensive rebound by C. Paul
