time,away_description,away_change,score,home_change,home_description
11:43.0, , ,0-0, ,B. Williams misses 3-pt jump shot from 27 ft
11:41.0, , ,0-0, ,Offensive rebound by T. Watford
11:34.0, , ,0-2,+2,D. Eubanks makes 2-pt hook shot from 8 ft
11:10.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by C. Kispert),+3,3-2, , 
10:55.0, , ,3-2, ,Shooting foul by D. Gafford (drawn by D. Eubanks)
10:55.0, , ,3-3,+1,D. Eubanks makes free throw 1 of 2
10:55.0, , ,3-4,+1,D. Eubanks makes free throw 2 of 2
10:34.0,K. Kuzma makes 3-pt jump shot from 28 ft (assist by R. Neto),+3,6-4, , 
10:11.0, , ,6-4, ,J. Hart misses 2-pt jump shot from 13 ft
10:08.0,Defensive rebound by R. Neto, ,6-4, , 
10:04.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Neto),+2,8-4, , 
9:50.0, , ,8-4, ,B. Williams misses 2-pt layup from 1 ft
9:46.0,Defensive rebound by C. Kispert, ,8-4, , 
9:38.0,C. Kispert makes 3-pt jump shot from 22 ft (assist by K. Kuzma),+3,11-4, , 
9:19.0, , ,11-6,+2,T. Watford makes 2-pt jump shot from 10 ft (assist by B. Williams)
9:02.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft, ,11-6, , 
9:00.0, , ,11-6, ,Defensive rebound by J. Hart
8:53.0, , ,11-8,+2,T. Watford makes 2-pt jump shot from 4 ft
8:53.0, , ,11-8, ,Shooting foul by R. Neto (drawn by T. Watford)
8:53.0, , ,11-9,+1,T. Watford makes free throw 1 of 1
8:34.0,R. Neto misses 2-pt layup from 3 ft, ,11-9, , 
8:34.0, , ,11-9, ,Defensive rebound by Team
8:23.0, , ,11-9, ,C. Elleby misses 3-pt jump shot from 23 ft
8:20.0, , ,11-9, ,Offensive rebound by D. Eubanks
8:18.0, , ,11-11,+2,C. Elleby makes 2-pt dunk from 1 ft (assist by D. Eubanks)
8:00.0,Shooting foul by D. Eubanks (drawn by K. Caldwell-Pope), ,11-11, , 
8:00.0,K. Caldwell-Pope makes free throw 1 of 2,+1,12-11, , 
8:00.0,K. Caldwell-Pope makes free throw 2 of 2,+1,13-11, , 
7:49.0, , ,13-13,+2,D. Eubanks makes 2-pt dunk from 1 ft (assist by J. Hart)
7:40.0,C. Kispert misses 3-pt jump shot from 26 ft, ,13-13, , 
7:35.0,Offensive rebound by D. Gafford, ,13-13, , 
7:34.0,D. Gafford misses 2-pt dunk at rim, ,13-13, , 
7:34.0, , ,13-13, ,Defensive rebound by J. Hart
7:28.0, , ,13-15,+2,T. Watford makes 2-pt layup from 2 ft (assist by J. Hart)
7:28.0,Washington full timeout, ,13-15, , 
7:14.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by R. Neto),+3,16-15, , 
6:50.0, , ,16-17,+2,T. Watford makes 2-pt jump shot from 2 ft
6:40.0,R. Neto misses 3-pt jump shot from 26 ft, ,16-17, , 
6:36.0, , ,16-17, ,Defensive rebound by D. Eubanks
6:23.0, , ,16-17, ,D. Eubanks misses 2-pt hook shot from 6 ft
6:21.0,Defensive rebound by K. Caldwell-Pope, ,16-17, , 
6:18.0,Personal foul by C. Elleby (drawn by D. Gafford), ,16-17, , 
6:18.0,D. Avdija enters the game for K. Caldwell-Pope, ,16-17, , 
6:06.0,K. Kuzma misses 3-pt jump shot from 23 ft, ,16-17, , 
6:04.0, , ,16-17, ,Defensive rebound by J. Hart
