time,away_description,away_change,score,home_change,home_description
2:23.0, , ,28-24, ,D. Garland enters the game for B. Goodwin
2:23.0, , ,28-25,+1,K. Love makes free throw 2 of 2
2:09.0,K. Oubre makes 3-pt jump shot from 27 ft,+3,31-25, , 
1:59.0, , ,31-25, ,Shooting foul by L. Ball (drawn by E. Mobley)
1:59.0, , ,31-25, ,E. Mobley misses free throw 1 of 2
1:59.0, , ,31-25, ,Offensive rebound by Team
1:59.0,I. Thomas enters the game for L. Ball, ,31-25, , 
1:59.0, , ,31-26,+1,E. Mobley makes free throw 2 of 2
1:43.0,K. Oubre makes 3-pt jump shot from 27 ft (assist by I. Thomas),+3,34-26, , 
1:31.0, , ,34-26, ,Turnover by D. Garland (palming)
1:18.0,P. Washington makes 2-pt layup from 1 ft (assist by I. Thomas),+2,36-26, , 
0:59.0, , ,36-28,+2,E. Mobley makes 2-pt dunk from 1 ft (assist by K. Love)
0:50.0,I. Thomas misses 2-pt jump shot from 8 ft, ,36-28, , 
0:47.0, , ,36-28, ,Defensive rebound by E. Mobley
0:41.0, , ,36-28, ,D. Garland misses 3-pt jump shot from 32 ft
0:35.0, , ,36-28, ,Offensive rebound by E. Mobley
0:33.0, , ,36-31,+3,C. Osman makes 3-pt jump shot from 26 ft
0:15.0,P. Washington makes 2-pt layup from 1 ft (assist by C. Martin),+2,38-31, , 
0:00.0, , ,38-31, ,D. Garland misses 3-pt jump shot from 29 ft
0:00.0, , ,38-31, ,Offensive rebound by Team
11:48.0,K. Oubre misses 3-pt jump shot from 25 ft, ,38-31, , 
11:46.0, , ,38-31, ,Defensive rebound by D. Garland
11:46.0, , ,38-31, ,Personal foul by M. Harrell (drawn by D. Garland)
11:29.0, , ,38-31, ,E. Mobley misses 2-pt jump shot from 20 ft
11:24.0,Defensive rebound by I. Thomas, ,38-31, , 
11:21.0,Turnover by I. Thomas (bad pass; steal by D. Garland), ,38-31, , 
11:20.0, , ,38-31, ,Turnover by D. Garland (lost ball)
11:09.0,M. Harrell makes 2-pt layup from 2 ft (assist by I. Thomas),+2,40-31, , 
10:50.0, , ,40-31, ,D. Garland misses 3-pt jump shot from 26 ft
10:50.0,Defensive rebound by I. Thomas, ,40-31, , 
10:37.0,M. Harrell misses 2-pt layup from 2 ft, ,40-31, , 
10:32.0,Offensive rebound by M. Harrell, ,40-31, , 
10:32.0,M. Harrell makes 2-pt layup at rim,+2,42-31, , 
10:13.0, , ,42-33,+2,D. Garland makes 2-pt jump shot from 5 ft
9:45.0,I. Thomas misses 2-pt jump shot from 19 ft, ,42-33, , 
9:44.0, , ,42-33, ,Defensive rebound by L. Stevens
9:40.0, , ,42-35,+2,L. Stevens makes 2-pt layup from 2 ft (assist by C. Osman)
9:29.0,Personal foul by D. Garland (drawn by I. Thomas), ,42-35, , 
9:29.0,M. Bridges enters the game for M. Harrell, ,42-35, , 
9:29.0,M. Plumlee enters the game for C. Martin, ,42-35, , 
9:29.0,J. Thor enters the game for P. Washington, ,42-35, , 
9:29.0, , ,42-35, ,J. Allen enters the game for K. Love
9:21.0,Shooting foul by J. Allen (drawn by M. Plumlee), ,42-35, , 
