time,away_description,away_change,score,home_change,home_description
11:49.0, , ,0-0, ,R. O'Neale misses 3-pt jump shot from 23 ft
11:46.0,Defensive rebound by J. Lamb, ,0-0, , 
11:28.0,J. Lamb misses 3-pt jump shot from 25 ft, ,0-0, , 
11:25.0, , ,0-0, ,Defensive rebound by R. O'Neale
11:20.0, , ,0-2,+2,D. Mitchell makes 2-pt layup from 3 ft
11:04.0,M. Brogdon makes 2-pt layup from 4 ft (assist by D. Sabonis),+2,2-2, , 
10:50.0, , ,2-4,+2,D. Mitchell makes 2-pt layup from 3 ft (assist by J. Ingles)
10:31.0,D. Sabonis makes 2-pt hook shot from 2 ft,+2,4-4, , 
10:18.0, , ,4-4, ,D. Mitchell misses 2-pt jump shot from 6 ft
10:15.0, , ,4-4, ,Offensive rebound by B. Bogdanović
10:02.0, , ,4-6,+2,R. Gobert makes 2-pt dunk from 3 ft (assist by R. O'Neale)
9:47.0,Turnover by T. Warren (step out of bounds), ,4-6, , 
9:31.0, , ,4-6, ,Turnover by B. Bogdanović (lost ball; steal by M. Turner)
9:24.0,Turnover by D. Sabonis (bad pass), ,4-6, , 
9:07.0, , ,4-6, ,D. Mitchell misses 2-pt jump shot from 17 ft
9:05.0,Defensive rebound by D. Sabonis, ,4-6, , 
8:58.0,T. Warren makes 2-pt jump shot from 16 ft,+2,6-6, , 
8:38.0, , ,6-9,+3,J. Ingles makes 3-pt jump shot from 25 ft
8:22.0,M. Brogdon misses 3-pt jump shot from 27 ft, ,6-9, , 
8:20.0, , ,6-9, ,Defensive rebound by Team
8:10.0, , ,6-11,+2,R. Gobert makes 2-pt layup from 3 ft (assist by J. Ingles)
7:53.0,Turnover by M. Turner (3 sec), ,6-11, , 
7:42.0, , ,6-13,+2,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles)
7:28.0,T. Warren makes 2-pt jump shot from 16 ft (assist by M. Brogdon),+2,8-13, , 
7:16.0, , ,8-13, ,Turnover by J. Ingles (bad pass; steal by T. Warren)
7:13.0,Personal foul by R. O'Neale (drawn by T. Warren), ,8-13, , 
7:03.0,D. Sabonis makes 2-pt jump shot from 22 ft (assist by M. Brogdon),+2,10-13, , 
