time,away_description,away_change,score,home_change,home_description
11:46.0,S. Ojeleye misses 3-pt jump shot from 24 ft, ,0-0, , 
11:44.0, , ,0-0, ,Defensive rebound by N. Noel
11:29.0, , ,0-0, ,R. Barrett misses 2-pt layup from 2 ft (block by L. Kornet)
11:27.0,Defensive rebound by G. Williams, ,0-0, , 
11:22.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by G. Williams),+3,3-0, , 
11:01.0, , ,3-3,+3,J. Randle makes 3-pt jump shot from 26 ft
10:46.0,Turnover by S. Ojeleye (bad pass; steal by J. Randle), ,3-3, , 
10:41.0, , ,3-6,+3,R. Bullock makes 3-pt jump shot from 28 ft (assist by J. Randle)
10:24.0,L. Kornet misses 3-pt jump shot from 28 ft, ,3-6, , 
10:22.0, , ,3-6, ,Defensive rebound by R. Barrett
10:12.0, , ,3-9,+3,J. Randle makes 3-pt jump shot from 28 ft (assist by R. Barrett)
9:56.0,G. Williams makes 3-pt jump shot from 23 ft (assist by P. Pritchard),+3,6-9, , 
9:39.0, , ,6-9, ,Turnover by E. Payton (bad pass; steal by R. Langford)
9:34.0,R. Langford makes 2-pt dunk from 1 ft,+2,8-9, , 
9:15.0, , ,8-9, ,R. Barrett misses 2-pt jump shot from 17 ft
9:14.0, , ,8-9, ,Offensive rebound by Team
9:14.0,Loose ball foul by R. Langford (drawn by N. Noel), ,8-9, , 
9:06.0, , ,8-9, ,Turnover by E. Payton (traveling)
8:55.0,L. Kornet misses 3-pt jump shot from 25 ft, ,8-9, , 
8:53.0, , ,8-9, ,Defensive rebound by J. Randle
8:46.0, , ,8-9, ,J. Randle misses 3-pt jump shot from 25 ft
8:44.0,Defensive rebound by P. Pritchard, ,8-9, , 
8:33.0,S. Ojeleye misses 3-pt jump shot from 26 ft, ,8-9, , 
8:31.0, , ,8-9, ,Defensive rebound by J. Randle
8:19.0, , ,8-9, ,Shooting foul by R. Langford (drawn by J. Randle)
8:19.0, , ,8-10,+1,J. Randle makes free throw 1 of 2
8:19.0, , ,8-11,+1,J. Randle makes free throw 2 of 2
8:01.0,Turnover by P. Pritchard (lost ball; steal by R. Bullock), ,8-11, , 
7:45.0, , ,8-11, ,E. Payton misses 2-pt layup from 2 ft (block by L. Kornet)
7:43.0,Defensive rebound by G. Williams, ,8-11, , 
7:24.0,R. Langford misses 2-pt layup from 2 ft, ,8-11, , 
7:22.0, , ,8-11, ,Defensive rebound by N. Noel
7:07.0, , ,8-13,+2,J. Randle makes 2-pt jump shot from 21 ft
6:52.0,P. Pritchard misses 3-pt jump shot from 28 ft, ,8-13, , 
6:50.0, , ,8-13, ,Defensive rebound by N. Noel
6:31.0, , ,8-13, ,J. Randle misses 2-pt jump shot from 14 ft
6:29.0,Defensive rebound by Team, ,8-13, , 
6:29.0, , ,8-13, ,Loose ball foul by R. Barrett (drawn by L. Kornet)
6:29.0, , ,8-13, ,New York full timeout
6:29.0,A. Nesmith enters the game for S. Ojeleye, ,8-13, , 
6:16.0,G. Williams makes 2-pt dunk at rim (assist by R. Langford),+2,10-13, , 
5:54.0, , ,10-13, ,Turnover by J. Randle (bad pass)
5:36.0,L. Kornet makes 2-pt dunk from 1 ft (assist by A. Nesmith),+2,12-13, , 
5:18.0, , ,12-16,+3,R. Bullock makes 3-pt jump shot from 24 ft (assist by E. Payton)
5:05.0,P. Pritchard makes 3-pt jump shot from 27 ft (assist by G. Williams),+3,15-16, , 
4:52.0, , ,15-16, ,Personal foul by L. Kornet (drawn by R. Bullock)
4:52.0,T. Fall enters the game for L. Kornet, ,15-16, , 
4:52.0, , ,15-16, ,T. Gibson enters the game for N. Noel
4:52.0, , ,15-16, ,D. Rose enters the game for E. Payton
4:43.0, , ,15-18,+2,T. Gibson makes 2-pt jump shot from 11 ft (assist by J. Randle)
4:24.0,G. Williams misses 2-pt jump shot from 16 ft, ,15-18, , 
4:23.0, , ,15-18, ,Defensive rebound by Team
4:07.0, , ,15-18, ,J. Randle misses 2-pt layup from 8 ft (block by T. Fall)
4:05.0,Defensive rebound by T. Fall, ,15-18, , 
3:53.0,R. Langford makes 2-pt jump shot from 4 ft,+2,17-18, , 
3:42.0, , ,17-18, ,D. Rose misses 2-pt jump shot from 12 ft
3:40.0,Defensive rebound by Team, ,17-18, , 
3:40.0,C. Edwards enters the game for R. Langford, ,17-18, , 
3:40.0,J. Parker enters the game for G. Williams, ,17-18, , 
3:27.0,A. Nesmith misses 3-pt jump shot from 25 ft, ,17-18, , 
3:25.0,Offensive rebound by J. Parker, ,17-18, , 
3:23.0,J. Parker misses 2-pt jump shot from 16 ft, ,17-18, , 
3:21.0,Offensive rebound by P. Pritchard, ,17-18, , 
3:12.0,P. Pritchard misses 3-pt jump shot from 25 ft, ,17-18, , 
3:10.0, , ,17-18, ,Defensive rebound by T. Gibson
