time,away_description,away_change,score,home_change,home_description
2:36.0, , ,27-22, ,J. McDaniels misses 2-pt jump shot from 5 ft
2:36.0, , ,27-22, ,Offensive rebound by Team
2:36.0,Sacramento full timeout, ,27-22, , 
2:36.0,T. Davis enters the game for D. Fox, ,27-22, , 
2:36.0,T. Haliburton enters the game for B. Hield, ,27-22, , 
2:36.0, , ,27-22, ,J. Hernangómez enters the game for J. McDaniels
2:19.0, , ,27-22, ,Turnover by D. Russell (bad pass; steal by R. Holmes)
2:00.0,H. Barnes makes 2-pt layup from 1 ft,+2,29-22, , 
1:41.0, , ,29-24,+2,D. Russell makes 2-pt layup from 1 ft (assist by J. McLaughlin)
1:26.0,T. Haliburton misses 2-pt jump shot from 21 ft, ,29-24, , 
1:23.0, , ,29-24, ,Defensive rebound by K. Towns
1:16.0, , ,29-26,+2,J. Hernangómez makes 2-pt layup from 1 ft (assist by D. Russell)
1:03.0,Turnover by D. Wright (traveling), ,29-26, , 
1:03.0,M. Harkless enters the game for H. Barnes, ,29-26, , 
1:03.0,H. Whiteside enters the game for R. Holmes, ,29-26, , 
1:03.0, , ,29-26, ,N. Reid enters the game for K. Towns
0:45.0, , ,29-26, ,D. Russell misses 2-pt jump shot from 17 ft
0:42.0,Defensive rebound by H. Whiteside, ,29-26, , 
0:34.0,T. Davis misses 3-pt jump shot from 24 ft, ,29-26, , 
0:31.0, , ,29-26, ,Defensive rebound by Team
0:18.0, , ,29-26, ,J. Culver misses 2-pt layup from 5 ft (block by H. Whiteside)
0:13.0,Defensive rebound by T. Haliburton, ,29-26, , 
0:00.0,D. Wright misses 3-pt jump shot from 25 ft, ,29-26, , 
0:00.0,Offensive rebound by Team, ,29-26, , 
11:43.0, , ,29-28,+2,J. McLaughlin makes 2-pt layup at rim
11:29.0,Def 3 sec tech foul by Team, ,29-28, , 
11:29.0,T. Haliburton makes technical free throw,+1,30-28, , 
11:23.0,T. Davis misses 3-pt jump shot from 25 ft, ,30-28, , 
11:21.0,Offensive rebound by T. Haliburton, ,30-28, , 
11:17.0,D. Wright misses 2-pt layup from 2 ft, ,30-28, , 
11:14.0,Offensive rebound by D. Wright, ,30-28, , 
11:12.0,T. Davis misses 3-pt jump shot from 25 ft, ,30-28, , 
11:09.0, , ,30-28, ,Defensive rebound by N. Reid
10:59.0, , ,30-28, ,A. Edwards misses 2-pt jump shot from 13 ft
10:55.0,Defensive rebound by H. Whiteside, ,30-28, , 
10:49.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by T. Haliburton),+2,32-28, , 
10:31.0, , ,32-28, ,N. Reid misses 3-pt jump shot from 25 ft
10:29.0, , ,32-28, ,Offensive rebound by J. Hernangómez
10:26.0, , ,32-28, ,Shooting foul by M. Harkless (drawn by J. Hernangómez)
10:26.0, , ,32-28, ,J. Hernangómez misses free throw 1 of 2
10:26.0, , ,32-28, ,Offensive rebound by Team
10:26.0, , ,32-29,+1,J. Hernangómez makes free throw 2 of 2
10:08.0,H. Whiteside makes 2-pt hook shot from 7 ft,+2,34-29, , 
9:55.0, , ,34-29, ,N. Reid misses 2-pt layup from 1 ft
9:53.0,Defensive rebound by D. Wright, ,34-29, , 
9:48.0,Turnover by D. Wright (bad pass; steal by J. Hernangómez), ,34-29, , 
9:44.0, , ,34-31,+2,J. McLaughlin makes 2-pt dunk from 1 ft (assist by J. Culver)
9:23.0,Shooting foul by J. Culver (drawn by H. Whiteside), ,34-31, , 
9:23.0,H. Whiteside misses free throw 1 of 2, ,34-31, , 
9:23.0,Offensive rebound by Team, ,34-31, , 
9:23.0,D. Fox enters the game for T. Haliburton, ,34-31, , 
9:23.0, , ,34-31, ,J. Layman enters the game for J. Culver
9:23.0,H. Whiteside makes free throw 2 of 2,+1,35-31, , 
9:13.0, , ,35-31, ,Shooting foul by D. Fox (drawn by J. Hernangómez)
9:13.0, , ,35-32,+1,J. Hernangómez makes free throw 1 of 2
9:13.0, , ,35-33,+1,J. Hernangómez makes free throw 2 of 2
8:59.0,D. Wright misses 3-pt jump shot from 23 ft, ,35-33, , 
8:56.0, , ,35-33, ,Defensive rebound by J. Hernangómez
8:39.0, , ,35-36,+3,N. Reid makes 3-pt jump shot from 25 ft (assist by A. Edwards)
8:39.0,B. Hield enters the game for D. Wright, ,35-36, , 
8:19.0,Turnover by H. Whiteside (lost ball; steal by J. Layman), ,35-36, , 
8:15.0, , ,35-36, ,Turnover by J. Layman (lost ball; steal by H. Whiteside)
8:11.0,H. Whiteside misses 2-pt jump shot from 5 ft, ,35-36, , 
8:08.0, , ,35-36, ,Defensive rebound by J. Hernangómez
8:03.0, , ,35-36, ,A. Edwards misses 3-pt jump shot from 23 ft
8:02.0,Defensive rebound by Team, ,35-36, , 
7:53.0,T. Davis misses 3-pt jump shot from 25 ft, ,35-36, , 
7:48.0, , ,35-36, ,Defensive rebound by A. Edwards
7:42.0, , ,35-36, ,Personal foul by M. Harkless (drawn by A. Edwards)
7:42.0,H. Barnes enters the game for T. Davis, ,35-36, , 
7:42.0,R. Holmes enters the game for H. Whiteside, ,35-36, , 
7:37.0, , ,35-36, ,J. McLaughlin misses 3-pt jump shot from 24 ft
7:35.0,Defensive rebound by H. Barnes, ,35-36, , 
7:20.0,H. Barnes misses 2-pt jump shot from 7 ft, ,35-36, , 
7:17.0, , ,35-36, ,Defensive rebound by N. Reid
7:10.0, , ,35-39,+3,A. Edwards makes 3-pt jump shot from 25 ft
6:58.0,R. Holmes makes 2-pt dunk at rim (assist by D. Fox),+2,37-39, , 
6:46.0, , ,37-39, ,A. Edwards misses 3-pt jump shot from 25 ft
6:43.0,Defensive rebound by D. Fox, ,37-39, , 
6:34.0,D. Fox misses 2-pt layup from 5 ft, ,37-39, , 
6:33.0, , ,37-39, ,Defensive rebound by N. Reid
6:29.0, , ,37-39, ,J. Layman misses 3-pt jump shot from 24 ft
6:26.0,Defensive rebound by Team, ,37-39, , 
6:26.0, , ,37-39, ,Minnesota full timeout
6:26.0, , ,37-39, ,J. McDaniels enters the game for J. Layman
6:26.0, , ,37-39, ,R. Rubio enters the game for J. McLaughlin
6:26.0, , ,37-39, ,K. Towns enters the game for N. Reid
6:11.0,D. Fox misses 2-pt layup from 4 ft (block by J. McDaniels), ,37-39, , 
6:08.0, , ,37-39, ,Defensive rebound by A. Edwards
6:04.0, , ,37-42,+3,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by R. Rubio)
5:47.0,B. Hield misses 2-pt jump shot from 17 ft, ,37-42, , 
5:44.0, , ,37-42, ,Defensive rebound by A. Edwards
5:36.0, , ,37-42, ,K. Towns misses 2-pt hook shot from 8 ft
5:31.0,Defensive rebound by B. Hield, ,37-42, , 
5:28.0,Turnover by B. Hield (lost ball; steal by K. Towns), ,37-42, , 
5:25.0, , ,37-42, ,Turnover by A. Edwards (traveling)
5:15.0,Turnover by D. Fox (bad pass; steal by A. Edwards), ,37-42, , 
5:12.0, , ,37-42, ,Shooting foul by B. Hield (drawn by A. Edwards)
5:12.0, , ,37-43,+1,A. Edwards makes free throw 1 of 2
5:12.0, , ,37-43, ,D. Russell enters the game for J. Hernangómez
5:12.0, , ,37-44,+1,A. Edwards makes free throw 2 of 2
4:57.0,D. Fox makes 2-pt jump shot from 11 ft,+2,39-44, , 
4:32.0, , ,39-46,+2,D. Russell makes 2-pt layup from 1 ft (assist by K. Towns)
4:24.0,D. Fox makes 2-pt layup from 1 ft,+2,41-46, , 
4:05.0, , ,41-48,+2,K. Towns makes 2-pt layup from 3 ft
4:05.0, , ,41-48, ,Shooting foul by R. Holmes (drawn by K. Towns)
4:05.0,T. Haliburton enters the game for M. Harkless, ,41-48, , 
4:05.0,Sacramento full timeout, ,41-48, , 
4:05.0,M. Harkless enters the game for T. Haliburton, ,41-48, , 
4:05.0,Instant Replay (Challenge: Stands), ,41-48, , 
4:05.0,T. Haliburton enters the game for M. Harkless, ,41-48, , 
4:05.0, , ,41-49,+1,K. Towns makes free throw 1 of 1
3:51.0,B. Hield misses 3-pt jump shot from 25 ft, ,41-49, , 
3:47.0,Offensive rebound by H. Barnes, ,41-49, , 
3:45.0,B. Hield makes 3-pt jump shot from 24 ft (assist by H. Barnes),+3,44-49, , 
3:32.0, , ,44-49, ,Personal foul by T. Haliburton (drawn by D. Russell)
3:32.0, , ,44-50,+1,D. Russell makes free throw 1 of 2
3:32.0, , ,44-50, ,J. Okogie enters the game for A. Edwards
3:32.0, , ,44-50, ,D. Russell misses free throw 2 of 2
3:30.0,Defensive rebound by H. Barnes, ,44-50, , 
3:21.0,D. Fox makes 2-pt layup from 1 ft,+2,46-50, , 
3:03.0, , ,46-50, ,K. Towns misses 2-pt jump shot from 3 ft
3:00.0,Defensive rebound by D. Fox, ,46-50, , 
2:59.0,Shooting foul by D. Russell (drawn by D. Fox), ,46-50, , 
2:59.0,D. Fox makes free throw 1 of 2,+1,47-50, , 
2:59.0,D. Fox makes free throw 2 of 2,+1,48-50, , 
2:45.0, , ,48-53,+3,D. Russell makes 3-pt jump shot from 25 ft (assist by R. Rubio)
2:31.0,Turnover by B. Hield (bad pass; steal by K. Towns), ,48-53, , 
2:28.0, , ,48-53, ,D. Russell misses 2-pt jump shot from 15 ft
2:25.0,Defensive rebound by B. Hield, ,48-53, , 
2:18.0, , ,48-53, ,Violation by Team (kicked ball)
2:13.0,T. Haliburton misses 3-pt jump shot from 28 ft, ,48-53, , 
2:09.0, , ,48-53, ,Defensive rebound by K. Towns
2:04.0, , ,48-53, ,D. Russell misses 3-pt jump shot from 26 ft
2:01.0,Defensive rebound by R. Holmes, ,48-53, , 
1:47.0,Turnover by B. Hield (lost ball; steal by D. Russell), ,48-53, , 
1:40.0, , ,48-53, ,J. McDaniels misses 3-pt jump shot from 25 ft
1:35.0, , ,48-53, ,Offensive rebound by K. Towns
1:35.0, , ,48-53, ,K. Towns misses 2-pt layup at rim
1:34.0,Defensive rebound by B. Hield, ,48-53, , 
1:31.0,Shooting foul by J. McDaniels (drawn by D. Fox), ,48-53, , 
1:31.0,D. Fox makes free throw 1 of 2,+1,49-53, , 
1:31.0,T. Davis enters the game for B. Hield, ,49-53, , 
1:31.0,D. Fox makes free throw 2 of 2,+1,50-53, , 
1:17.0, , ,50-53, ,D. Russell misses 2-pt layup from 1 ft
1:14.0,Defensive rebound by H. Barnes, ,50-53, , 
1:13.0,D. Fox makes 2-pt jump shot from 4 ft,+2,52-53, , 
1:13.0,Shooting foul by J. McDaniels (drawn by D. Fox), ,52-53, , 
1:13.0, , ,52-53, ,A. Edwards enters the game for J. McDaniels
1:13.0,D. Fox makes free throw 1 of 1,+1,53-53, , 
0:53.0, , ,53-55,+2,A. Edwards makes 2-pt layup from 1 ft (assist by D. Russell)
0:33.0,Shooting foul by D. Russell (drawn by D. Fox), ,53-55, , 
0:33.0,D. Fox makes free throw 1 of 2,+1,54-55, , 
0:33.0,D. Fox makes free throw 2 of 2,+1,55-55, , 
0:11.0, , ,55-55, ,D. Russell misses 3-pt jump shot from 26 ft
0:08.0,Defensive rebound by T. Davis, ,55-55, , 
0:03.0,T. Davis misses 2-pt layup from 2 ft, ,55-55, , 
0:01.0,Offensive rebound by D. Fox, ,55-55, , 
0:00.0,Turnover by D. Fox (lost ball; steal by R. Rubio), ,55-55, , 
11:49.0, , ,55-55, ,K. Towns misses 2-pt jump shot from 11 ft
11:46.0, , ,55-55, ,Offensive rebound by J. Okogie
11:46.0, , ,55-57,+2,J. Okogie makes 2-pt layup at rim
11:32.0,R. Holmes misses 2-pt jump shot from 4 ft, ,55-57, , 
11:32.0,Offensive rebound by H. Barnes, ,55-57, , 
11:28.0,B. Hield makes 3-pt jump shot from 24 ft (assist by H. Barnes),+3,58-57, , 
11:12.0, , ,58-57, ,A. Edwards misses 3-pt jump shot from 26 ft
11:09.0,Defensive rebound by B. Hield, ,58-57, , 
11:04.0,Shooting foul by J. McDaniels (drawn by D. Fox), ,58-57, , 
11:04.0,D. Fox misses free throw 1 of 2, ,58-57, , 
11:04.0,Offensive rebound by Team, ,58-57, , 
11:04.0, , ,58-57, ,J. Hernangómez enters the game for J. McDaniels
11:04.0,D. Fox makes free throw 2 of 2,+1,59-57, , 
10:48.0, , ,59-57, ,Turnover by R. Rubio (bad pass; steal by D. Fox)
10:39.0,D. Fox makes 2-pt jump shot from 11 ft,+2,61-57, , 
10:38.0, , ,61-57, ,Minnesota full timeout
10:22.0, , ,61-57, ,K. Towns misses 2-pt dunk from 2 ft (block by T. Haliburton)
10:19.0,Defensive rebound by H. Barnes, ,61-57, , 
10:14.0,H. Barnes makes 2-pt layup from 2 ft (assist by T. Haliburton),+2,63-57, , 
10:04.0, , ,63-57, ,Shooting foul by T. Haliburton (drawn by K. Towns)
10:04.0, , ,63-58,+1,K. Towns makes free throw 1 of 2
10:04.0, , ,63-59,+1,K. Towns makes free throw 2 of 2
9:42.0,D. Fox misses 3-pt jump shot from 25 ft, ,63-59, , 
9:41.0,Offensive rebound by R. Holmes, ,63-59, , 
