time,away_description,away_change,score,home_change,home_description
11:43.0, , ,0-0, ,R. Covington misses 3-pt jump shot from 26 ft
11:41.0,Defensive rebound by E. Bledsoe, ,0-0, , 
11:28.0,L. Ball makes 3-pt jump shot from 26 ft (assist by S. Adams),+3,3-0, , 
11:06.0, , ,3-0, ,Shooting foul by L. Ball (drawn by C. McCollum)
11:06.0, , ,3-1,+1,C. McCollum makes free throw 1 of 2
11:06.0, , ,3-2,+1,C. McCollum makes free throw 2 of 2
10:54.0,B. Ingram makes 2-pt jump shot from 18 ft (assist by Z. Williamson),+2,5-2, , 
10:36.0, , ,5-5,+3,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard)
10:19.0,E. Bledsoe misses 2-pt layup from 4 ft (block by C. McCollum), ,5-5, , 
10:17.0, , ,5-5, ,Defensive rebound by C. McCollum
10:11.0, , ,5-8,+3,D. Lillard makes 3-pt jump shot from 25 ft
9:52.0,B. Ingram makes 2-pt jump shot from 9 ft (assist by E. Bledsoe),+2,7-8, , 
9:41.0, , ,7-8, ,C. McCollum misses 3-pt jump shot from 27 ft
9:39.0,Defensive rebound by B. Ingram, ,7-8, , 
9:33.0, , ,7-8, ,Violation by Team (kicked ball)
9:28.0,Z. Williamson misses 2-pt layup from 2 ft, ,7-8, , 
9:26.0, , ,7-8, ,Defensive rebound by E. Freedom
9:17.0, , ,7-10,+2,E. Freedom makes 2-pt layup from 2 ft (assist by D. Lillard)
9:04.0,B. Ingram misses 2-pt jump shot from 19 ft, ,7-10, , 
9:01.0,Offensive rebound by S. Adams, ,7-10, , 
8:56.0,L. Ball makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),+3,10-10, , 
8:31.0, , ,10-10, ,Turnover by D. Lillard (bad pass; steal by S. Adams)
8:16.0,Z. Williamson makes 2-pt layup from 1 ft (assist by S. Adams),+2,12-10, , 
8:00.0, , ,12-10, ,R. Covington misses 3-pt jump shot from 31 ft
7:58.0,Defensive rebound by E. Bledsoe, ,12-10, , 
7:51.0,Shooting foul by D. Jones (drawn by Z. Williamson), ,12-10, , 
7:51.0,Z. Williamson makes free throw 1 of 2,+1,13-10, , 
7:51.0,Z. Williamson makes free throw 2 of 2,+1,14-10, , 
7:36.0, , ,14-12,+2,D. Lillard makes 2-pt jump shot from 19 ft
7:23.0,Turnover by B. Ingram (bad pass; steal by R. Covington), ,14-12, , 
7:19.0, , ,14-12, ,Turnover by R. Covington (bad pass; steal by L. Ball)
7:05.0,B. Ingram makes 3-pt jump shot from 24 ft (assist by L. Ball),+3,17-12, , 
6:42.0, , ,17-12, ,E. Freedom misses 3-pt jump shot from 26 ft
6:40.0,Defensive rebound by B. Ingram, ,17-12, , 
6:29.0,Z. Williamson makes 2-pt layup from 2 ft (assist by L. Ball),+2,19-12, , 
6:29.0, , ,19-12, ,Portland full timeout
6:15.0, , ,19-15,+3,C. McCollum makes 3-pt jump shot from 26 ft
5:53.0,L. Ball misses 3-pt jump shot from 23 ft, ,19-15, , 
5:52.0,Offensive rebound by S. Adams, ,19-15, , 
5:49.0,S. Adams misses 2-pt hook shot from 8 ft, ,19-15, , 
5:47.0,Offensive rebound by Z. Williamson, ,19-15, , 
5:47.0,Shooting foul by R. Covington (drawn by Z. Williamson), ,19-15, , 
5:47.0,Z. Williamson makes free throw 1 of 2,+1,20-15, , 
5:47.0, , ,20-15, ,C. Anthony enters the game for R. Covington
5:47.0, , ,20-15, ,N. Little enters the game for D. Jones
5:47.0,Z. Williamson makes free throw 2 of 2,+1,21-15, , 
5:28.0, , ,21-15, ,C. McCollum misses 3-pt jump shot from 31 ft
5:24.0,Defensive rebound by B. Ingram, ,21-15, , 
5:13.0,Z. Williamson makes 2-pt dunk from 1 ft (assist by L. Ball),+2,23-15, , 
5:03.0, , ,23-15, ,D. Lillard misses 3-pt jump shot from 32 ft
5:01.0,Defensive rebound by Z. Williamson, ,23-15, , 
4:55.0,S. Adams misses 2-pt layup from 2 ft, ,23-15, , 
4:54.0, , ,23-15, ,Defensive rebound by E. Freedom
4:49.0, , ,23-15, ,Shooting foul by E. Bledsoe (drawn by D. Lillard)
4:49.0, , ,23-16,+1,D. Lillard makes free throw 1 of 2
4:49.0,N. Alexander-Walker enters the game for E. Bledsoe, ,23-16, , 
4:49.0,J. Hart enters the game for Z. Williamson, ,23-16, , 
4:49.0, , ,23-16, ,G. Trent enters the game for C. McCollum
4:49.0, , ,23-17,+1,D. Lillard makes free throw 2 of 2
4:33.0,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by L. Ball),+3,26-17, , 
4:11.0, , ,26-17, ,C. Anthony misses 2-pt jump shot from 19 ft
4:09.0,Defensive rebound by J. Hart, ,26-17, , 
4:02.0,B. Ingram misses 2-pt jump shot from 24 ft, ,26-17, , 
3:59.0, , ,26-17, ,Defensive rebound by D. Lillard
3:52.0, , ,26-20,+3,D. Lillard makes 3-pt jump shot from 26 ft
3:45.0,Offensive foul by S. Adams (drawn by D. Lillard), ,26-20, , 
3:45.0,Turnover by S. Adams (offensive foul), ,26-20, , 
3:45.0,J. Hayes enters the game for S. Adams, ,26-20, , 
3:36.0, , ,26-23,+3,D. Lillard makes 3-pt jump shot from 29 ft
3:20.0,B. Ingram misses 2-pt layup from 2 ft, ,26-23, , 
3:20.0,Offensive rebound by B. Ingram, ,26-23, , 
3:20.0,Shooting foul by N. Little (drawn by B. Ingram), ,26-23, , 
3:20.0,B. Ingram makes free throw 1 of 2,+1,27-23, , 
3:20.0,B. Ingram makes free throw 2 of 2,+1,28-23, , 
2:59.0, , ,28-25,+2,E. Freedom makes 2-pt hook shot from 5 ft
2:48.0,Shooting foul by D. Lillard (drawn by B. Ingram), ,28-25, , 
2:48.0,New Orleans full timeout, ,28-25, , 
2:48.0,B. Ingram makes free throw 1 of 2,+1,29-25, , 
2:48.0,B. Ingram makes free throw 2 of 2,+1,30-25, , 
2:37.0, , ,30-25, ,G. Trent misses 3-pt jump shot from 23 ft
2:35.0,Defensive rebound by J. Hart, ,30-25, , 
2:18.0,B. Ingram makes 2-pt layup from 1 ft (assist by J. Hart),+2,32-25, , 
1:59.0, , ,32-25, ,N. Little misses 3-pt jump shot from 25 ft
1:56.0,Defensive rebound by J. Hayes, ,32-25, , 
1:49.0,J. Hart misses 3-pt jump shot from 24 ft, ,32-25, , 
1:47.0, , ,32-25, ,Defensive rebound by E. Freedom
1:37.0, , ,32-25, ,E. Freedom misses 2-pt layup from 3 ft (block by J. Hayes)
1:35.0,Defensive rebound by J. Hart, ,32-25, , 
1:31.0,N. Alexander-Walker misses 2-pt jump shot from 22 ft, ,32-25, , 
1:27.0, , ,32-25, ,Defensive rebound by N. Little
1:23.0, , ,32-28,+3,G. Trent makes 3-pt jump shot from 23 ft (assist by C. Anthony)
1:07.0,Turnover by L. Ball (bad pass; steal by C. Anthony), ,32-28, , 
1:01.0, , ,32-28, ,D. Lillard misses 3-pt jump shot from 23 ft
0:57.0,Defensive rebound by N. Alexander-Walker, ,32-28, , 
0:43.0,J. Hart misses 3-pt jump shot from 24 ft, ,32-28, , 
0:40.0, , ,32-28, ,Defensive rebound by N. Little
0:33.0, , ,32-28, ,Personal foul by J. Hayes (drawn by D. Lillard)
0:33.0,Z. Williamson enters the game for B. Ingram, ,32-28, , 
0:20.0, , ,32-28, ,Turnover by D. Lillard (bad pass; steal by Z. Williamson)
0:16.0,L. Ball makes 2-pt layup from 1 ft (assist by Z. Williamson),+2,34-28, , 
0:00.0, , ,34-28, ,C. Anthony misses 3-pt jump shot from 25 ft
0:00.0,Defensive rebound by J. Hart, ,34-28, , 
11:38.0,N. Alexander-Walker misses 2-pt jump shot from 16 ft, ,34-28, , 
11:35.0, , ,34-28, ,Defensive rebound by N. Little
11:29.0, , ,34-28, ,C. McCollum misses 2-pt jump shot from 15 ft
11:28.0,Defensive rebound by N. Alexander-Walker, ,34-28, , 
11:18.0,Z. Williamson makes 2-pt layup from 1 ft (assist by K. Lewis),+2,36-28, , 
10:58.0, , ,36-30,+2,G. Trent makes 2-pt jump shot from 2 ft (assist by N. Little)
10:40.0,N. Alexander-Walker misses 2-pt jump shot from 8 ft (block by N. Little), ,36-30, , 
10:37.0, , ,36-30, ,Defensive rebound by N. Little
10:08.0, , ,36-32,+2,C. Anthony makes 2-pt jump shot from 17 ft
9:54.0,Z. Williamson makes 2-pt layup from 1 ft,+2,38-32, , 
9:37.0, , ,38-32, ,Turnover by C. McCollum (bad pass; steal by K. Lewis)
9:32.0,J. Hart makes 2-pt layup from 1 ft (assist by Z. Williamson),+2,40-32, , 
9:18.0, , ,40-32, ,C. Anthony misses 2-pt jump shot from 12 ft (block by N. Alexander-Walker)
9:17.0,Defensive rebound by J. Hart, ,40-32, , 
9:12.0,J. Hart misses 2-pt layup from 1 ft (block by N. Little), ,40-32, , 
9:11.0,Offensive rebound by Team, ,40-32, , 
9:02.0,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by J. Hart),+3,43-32, , 
9:01.0, , ,43-32, ,Portland full timeout
8:47.0, , ,43-35,+3,G. Trent makes 3-pt jump shot from 26 ft (assist by C. Anthony)
8:24.0,N. Alexander-Walker misses 3-pt jump shot from 24 ft, ,43-35, , 
8:23.0, , ,43-35, ,Defensive rebound by Team
8:23.0,Loose ball foul by J. Hayes (drawn by C. McCollum), ,43-35, , 
8:23.0, , ,43-35, ,R. Hood enters the game for N. Little
8:10.0, , ,43-35, ,G. Trent misses 3-pt jump shot from 27 ft
8:09.0, , ,43-35, ,Offensive rebound by R. Hood
8:07.0, , ,43-35, ,R. Covington misses 3-pt jump shot from 31 ft
8:04.0,Defensive rebound by N. Alexander-Walker, ,43-35, , 
7:45.0,N. Alexander-Walker misses 3-pt jump shot from 25 ft, ,43-35, , 
7:43.0, , ,43-35, ,Defensive rebound by R. Covington
7:35.0, , ,43-35, ,C. McCollum misses 3-pt jump shot from 26 ft
7:33.0,Defensive rebound by J. Hayes, ,43-35, , 
7:24.0,Turnover by Z. Williamson (out of bounds lost ball), ,43-35, , 
7:24.0,B. Ingram enters the game for Z. Williamson, ,43-35, , 
7:07.0, , ,43-35, ,R. Covington misses 2-pt jump shot from 22 ft
7:04.0,Defensive rebound by N. Alexander-Walker, ,43-35, , 
6:57.0,B. Ingram makes 2-pt jump shot from 13 ft (assist by N. Alexander-Walker),+2,45-35, , 
6:43.0, , ,45-35, ,C. McCollum misses 2-pt jump shot from 15 ft
6:39.0,Defensive rebound by J. Hart, ,45-35, , 
6:35.0,B. Ingram misses 3-pt jump shot from 24 ft, ,45-35, , 
6:33.0, , ,45-35, ,Defensive rebound by R. Covington
6:20.0, , ,45-35, ,C. Anthony misses 2-pt layup from 3 ft (block by J. Hart)
6:18.0, , ,45-35, ,Offensive rebound by C. Anthony
6:16.0, , ,45-35, ,Turnover by C. Anthony (bad pass)
6:15.0,Away from play foul by R. Covington (drawn by B. Ingram), ,45-35, , 
6:15.0,B. Ingram makes free throw 1 of 1,+1,46-35, , 
6:15.0,L. Ball enters the game for N. Alexander-Walker, ,46-35, , 
6:15.0,E. Bledsoe enters the game for K. Lewis, ,46-35, , 
6:15.0, , ,46-35, ,D. Lillard enters the game for G. Trent
6:05.0,J. Hayes makes 2-pt dunk from 2 ft (assist by L. Ball),+2,48-35, , 
5:37.0, , ,48-35, ,D. Lillard misses 3-pt jump shot from 29 ft
5:34.0,Defensive rebound by B. Ingram, ,48-35, , 
5:27.0,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by L. Ball),+3,51-35, , 
5:26.0, , ,51-35, ,Portland full timeout
5:26.0,S. Adams enters the game for J. Hayes, ,51-35, , 
5:26.0, , ,51-35, ,D. Jones enters the game for C. Anthony
5:26.0, , ,51-35, ,E. Freedom enters the game for C. McCollum
5:11.0, , ,51-35, ,Shooting foul by S. Adams (drawn by D. Lillard)
5:11.0, , ,51-36,+1,D. Lillard makes free throw 1 of 2
5:11.0, , ,51-37,+1,D. Lillard makes free throw 2 of 2
