time,away_description,away_change,score,home_change,home_description
3:29.0,M. Beasley makes free throw 1 of 2,+1,11-17, , 
3:29.0,M. Beasley makes free throw 2 of 2,+1,12-17, , 
3:23.0, , ,12-17, ,Golden State full timeout
3:13.0, , ,12-17, ,J. Wiseman misses 2-pt hook shot from 5 ft
3:10.0,Defensive rebound by M. Beasley, ,12-17, , 
3:00.0,J. McDaniels misses 2-pt dunk from 3 ft (block by J. Wiseman), ,12-17, , 
2:58.0,Offensive rebound by J. Vanderbilt, ,12-17, , 
2:53.0,J. McLaughlin misses 2-pt jump shot from 5 ft, ,12-17, , 
2:51.0, , ,12-17, ,Defensive rebound by S. Curry
2:48.0, , ,12-17, ,Offensive foul by S. Curry (drawn by J. McLaughlin)
2:48.0, , ,12-17, ,Turnover by S. Curry (offensive foul)
2:48.0,E. Davis enters the game for M. Beasley, ,12-17, , 
2:48.0,J. Layman enters the game for J. Vanderbilt, ,12-17, , 
2:34.0,Offensive foul by J. McDaniels (drawn by D. Lee), ,12-17, , 
2:34.0,Turnover by J. McDaniels (offensive foul), ,12-17, , 
2:19.0, , ,12-17, ,S. Curry misses 3-pt jump shot from 29 ft
2:17.0,Defensive rebound by J. Layman, ,12-17, , 
1:57.0,J. McDaniels misses 3-pt jump shot from 23 ft, ,12-17, , 
1:55.0, , ,12-17, ,Defensive rebound by S. Curry
1:36.0, , ,12-19,+2,A. Wiggins makes 2-pt jump shot from 23 ft
1:19.0,A. Edwards makes 3-pt jump shot from 25 ft (assist by J. McLaughlin),+3,15-19, , 
1:08.0, , ,15-19, ,S. Curry misses 2-pt layup from 3 ft (block by J. Layman)
1:06.0,Defensive rebound by J. Layman, ,15-19, , 
0:59.0,Shooting foul by J. Wiseman (drawn by A. Edwards), ,15-19, , 
0:59.0, , ,15-19, ,M. Mulder enters the game for A. Wiggins
0:59.0,A. Edwards makes free throw 1 of 2,+1,16-19, , 
0:59.0,A. Edwards makes free throw 2 of 2,+1,17-19, , 
0:47.0, , ,17-19, ,S. Curry misses 3-pt jump shot from 28 ft
0:45.0,Defensive rebound by E. Davis, ,17-19, , 
0:36.0,A. Edwards misses 2-pt jump shot from 12 ft, ,17-19, , 
0:33.0,Offensive rebound by Team, ,17-19, , 
0:33.0, , ,17-19, ,Loose ball foul by K. Bazemore (drawn by J. McDaniels)
0:33.0,J. McDaniels makes free throw 1 of 2,+1,18-19, , 
0:33.0,J. McDaniels misses free throw 2 of 2, ,18-19, , 
0:31.0, , ,18-19, ,Defensive rebound by D. Lee
0:24.0, , ,18-22,+3,D. Lee makes 3-pt jump shot from 26 ft (assist by S. Curry)
0:24.0, , ,18-22, ,Shooting foul by J. McDaniels (drawn by D. Lee)
0:24.0, , ,18-22, ,E. Paschall enters the game for K. Bazemore
0:24.0, , ,18-22, ,B. Wanamaker enters the game for S. Curry
0:24.0, , ,18-23,+1,D. Lee makes free throw 1 of 1
0:01.0,A. Edwards makes 3-pt jump shot from 25 ft (assist by E. Davis),+3,21-23, , 
11:47.0,Turnover by A. Edwards (bad pass; steal by D. Lee), ,21-23, , 
11:42.0, , ,21-23, ,D. Lee misses 3-pt jump shot from 27 ft
11:39.0,Defensive rebound by Team, ,21-23, , 
11:30.0,Personal foul by B. Wanamaker (drawn by E. Davis), ,21-23, , 
11:18.0,A. Edwards makes 2-pt layup from 6 ft (assist by J. McDaniels),+2,23-23, , 
11:04.0, , ,23-23, ,M. Mulder misses 3-pt jump shot from 27 ft
11:02.0,Defensive rebound by E. Davis, ,23-23, , 
10:50.0,J. McDaniels makes 3-pt jump shot from 23 ft (assist by A. Edwards),+3,26-23, , 
10:31.0, , ,26-25,+2,K. Oubre makes 2-pt layup from 4 ft
10:20.0,A. Edwards misses 2-pt jump shot from 18 ft, ,26-25, , 
10:18.0, , ,26-25, ,Defensive rebound by K. Oubre
10:10.0, , ,26-28,+3,K. Oubre makes 3-pt jump shot from 27 ft (assist by B. Wanamaker)
9:44.0,A. Edwards makes 3-pt jump shot from 25 ft,+3,29-28, , 
9:25.0, , ,29-28, ,Personal foul by J. McDaniels (drawn by B. Wanamaker)
9:25.0,J. Nowell enters the game for J. McDaniels, ,29-28, , 
9:22.0, , ,29-28, ,B. Wanamaker misses 3-pt jump shot from 26 ft
9:20.0,Defensive rebound by J. Nowell, ,29-28, , 
9:12.0,J. McLaughlin makes 2-pt layup from 7 ft,+2,31-28, , 
8:51.0, , ,31-31,+3,K. Oubre makes 3-pt jump shot from 27 ft (assist by B. Wanamaker)
8:26.0,J. Layman makes 3-pt jump shot from 29 ft (assist by J. Nowell),+3,34-31, , 
8:06.0, , ,34-31, ,B. Wanamaker misses 3-pt jump shot from 24 ft
