time,away_description,away_change,score,home_change,home_description
3:01.0,Personal foul by F. Campazzo (drawn by J. Layman), ,15-31, , 
2:52.0,M. Beasley makes 2-pt layup from 4 ft (assist by R. Rubio),+2,17-31, , 
2:52.0,Shooting foul by N. Jokić (drawn by M. Beasley), ,17-31, , 
2:52.0, , ,17-31, ,Denver full timeout
2:52.0, , ,17-31, ,J. Murray enters the game for N. Jokić
2:52.0,M. Beasley makes free throw 1 of 1,+1,18-31, , 
2:33.0, , ,18-31, ,J. Green misses 2-pt jump shot from 23 ft
2:29.0,Defensive rebound by E. Davis, ,18-31, , 
2:11.0,R. Rubio misses 3-pt jump shot from 25 ft, ,18-31, , 
2:09.0, , ,18-31, ,Defensive rebound by J. Green
2:00.0, , ,18-31, ,J. Murray misses 2-pt jump shot from 14 ft
1:57.0,Defensive rebound by R. Rubio, ,18-31, , 
1:48.0,Turnover by A. Edwards (traveling), ,18-31, , 
1:48.0,D. Russell enters the game for M. Beasley, ,18-31, , 
1:38.0, , ,18-31, ,J. Murray misses 3-pt jump shot from 25 ft
1:35.0,Defensive rebound by E. Davis, ,18-31, , 
1:27.0,A. Edwards misses 2-pt layup from 3 ft, ,18-31, , 
1:27.0, , ,18-31, ,Defensive rebound by P. Dozier
1:21.0, , ,18-31, ,P. Dozier misses 3-pt jump shot from 26 ft
1:18.0,Defensive rebound by R. Rubio, ,18-31, , 
1:15.0,Shooting foul by P. Dozier (drawn by D. Russell), ,18-31, , 
1:15.0,D. Russell makes free throw 1 of 2,+1,19-31, , 
1:15.0,D. Russell makes free throw 2 of 2,+1,20-31, , 
0:54.0, , ,20-31, ,Shooting foul by J. Layman (drawn by J. Green)
0:54.0, , ,20-32,+1,J. Green makes free throw 1 of 2
0:54.0, , ,20-32, ,J. Green misses free throw 2 of 2
0:52.0,Defensive rebound by R. Rubio, ,20-32, , 
0:31.0,Shooting foul by J. Green (drawn by J. Layman), ,20-32, , 
0:31.0,J. Layman makes free throw 1 of 2,+1,21-32, , 
0:31.0,J. Layman makes free throw 2 of 2,+1,22-32, , 
0:18.0, , ,22-34,+2,J. Green makes 2-pt dunk from 1 ft (assist by M. Morris)
0:00.0,R. Rubio misses 2-pt jump shot from 15 ft, ,22-34, , 
0:00.0,Offensive rebound by Team, ,22-34, , 
11:36.0, , ,22-34, ,J. Murray misses 3-pt jump shot from 27 ft
11:35.0, , ,22-34, ,Offensive rebound by Team
11:35.0, , ,22-34, ,Turnover by Team (shot clock)
11:22.0,N. Reid makes 2-pt layup from 3 ft (assist by A. Edwards),+2,24-34, , 
11:01.0, , ,24-34, ,M. Morris misses 3-pt jump shot from 25 ft
10:56.0,Defensive rebound by A. Edwards, ,24-34, , 
10:53.0,D. Russell misses 3-pt jump shot from 27 ft, ,24-34, , 
10:50.0, , ,24-34, ,Defensive rebound by P. Dozier
10:41.0, , ,24-37,+3,J. Green makes 3-pt jump shot from 25 ft (assist by J. Murray)
10:28.0,R. Rubio misses 2-pt layup from 4 ft, ,24-37, , 
10:28.0, , ,24-37, ,Defensive rebound by Team
10:28.0,Loose ball foul by R. Rubio (drawn by P. Dozier), ,24-37, , 
10:17.0, , ,24-39,+2,F. Campazzo makes 2-pt layup from 3 ft
9:49.0,D. Russell makes 2-pt jump shot from 18 ft,+2,26-39, , 
9:49.0,Shooting foul by P. Dozier (drawn by D. Russell), ,26-39, , 
9:49.0,D. Russell makes free throw 1 of 1,+1,27-39, , 
9:35.0, , ,27-39, ,Shooting foul by N. Reid (drawn by J. Green)
9:35.0, , ,27-40,+1,J. Green makes free throw 1 of 2
9:35.0,M. Beasley enters the game for N. Reid, ,27-40, , 
9:35.0,J. Vanderbilt enters the game for D. Russell, ,27-40, , 
