time,away_description,away_change,score,home_change,home_description
11:42.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by M. Brogdon),+3,3-0, , 
11:18.0, , ,3-0, ,D. Robinson misses 2-pt jump shot from 5 ft
11:17.0,Defensive rebound by D. Sabonis, ,3-0, , 
11:08.0,C. LeVert misses 2-pt jump shot from 10 ft, ,3-0, , 
11:06.0, , ,3-0, ,Defensive rebound by K. Olynyk
10:59.0, , ,3-0, ,J. Butler misses 2-pt layup from 4 ft (block by M. Turner)
10:59.0, , ,3-0, ,Offensive rebound by Team
10:49.0, , ,3-2,+2,B. Adebayo makes 2-pt jump shot from 14 ft (assist by J. Butler)
10:28.0,M. Brogdon misses 3-pt jump shot from 26 ft, ,3-2, , 
10:25.0, , ,3-2, ,Defensive rebound by D. Robinson
10:21.0, , ,3-2, ,B. Adebayo misses 2-pt hook shot from 3 ft
10:20.0, , ,3-2, ,Offensive rebound by B. Adebayo
10:20.0, , ,3-2, ,B. Adebayo misses 2-pt layup at rim
10:18.0,Defensive rebound by D. Sabonis, ,3-2, , 
10:12.0,M. Turner misses 3-pt jump shot from 26 ft, ,3-2, , 
10:10.0, , ,3-2, ,Defensive rebound by B. Adebayo
9:45.0, , ,3-2, ,Turnover by K. Nunn (bad pass; steal by J. Holiday)
9:38.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by D. Sabonis),+3,6-2, , 
9:25.0, , ,6-2, ,K. Nunn misses 2-pt jump shot from 16 ft
9:23.0,Defensive rebound by C. LeVert, ,6-2, , 
9:15.0,M. Turner misses 2-pt layup from 3 ft, ,6-2, , 
9:13.0, , ,6-2, ,Defensive rebound by K. Olynyk
9:04.0, , ,6-4,+2,J. Butler makes 2-pt layup from 2 ft
8:45.0,D. Sabonis misses 2-pt layup from 2 ft, ,6-4, , 
8:43.0, , ,6-4, ,Defensive rebound by K. Olynyk
8:40.0, , ,6-6,+2,D. Robinson makes 2-pt layup from 2 ft (assist by K. Nunn)
8:30.0,Shooting foul by J. Butler (drawn by M. Brogdon), ,6-6, , 
8:30.0,M. Brogdon makes free throw 1 of 2,+1,7-6, , 
8:30.0,M. Brogdon misses free throw 2 of 2, ,7-6, , 
8:28.0, , ,7-6, ,Defensive rebound by B. Adebayo
8:18.0, , ,7-6, ,Shooting foul by J. Holiday (drawn by J. Butler)
8:18.0, , ,7-7,+1,J. Butler makes free throw 1 of 2
8:18.0, , ,7-8,+1,J. Butler makes free throw 2 of 2
8:00.0,D. Sabonis makes 2-pt layup from 1 ft,+2,9-8, , 
7:48.0, , ,9-8, ,Shooting foul by M. Turner (drawn by K. Nunn)
7:48.0, , ,9-9,+1,K. Nunn makes free throw 1 of 2
7:48.0, , ,9-10,+1,K. Nunn makes free throw 2 of 2
7:34.0,M. Turner makes 3-pt jump shot from 24 ft (assist by C. LeVert),+3,12-10, , 
7:15.0, , ,12-12,+2,K. Nunn makes 2-pt jump shot from 15 ft (assist by D. Robinson)
7:06.0,M. Brogdon misses 3-pt jump shot from 24 ft, ,12-12, , 
7:02.0, , ,12-12, ,Defensive rebound by K. Nunn
6:54.0, , ,12-12, ,D. Robinson misses 3-pt jump shot from 23 ft
6:53.0, , ,12-12, ,Offensive rebound by B. Adebayo
6:46.0, , ,12-15,+3,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Nunn)
6:22.0,D. Sabonis misses 3-pt jump shot from 25 ft, ,12-15, , 
6:20.0, , ,12-15, ,Defensive rebound by J. Butler
6:13.0, , ,12-15, ,K. Olynyk misses 3-pt jump shot from 23 ft
6:10.0,Defensive rebound by M. Brogdon, ,12-15, , 
6:03.0, , ,12-15, ,Miami full timeout
6:03.0, , ,12-15, ,P. Achiuwa enters the game for B. Adebayo
5:55.0,C. LeVert misses 2-pt layup from 1 ft, ,12-15, , 
5:53.0, , ,12-15, ,Defensive rebound by D. Robinson
5:45.0, , ,12-15, ,P. Achiuwa misses 2-pt layup from 2 ft
5:43.0,Defensive rebound by M. Turner, ,12-15, , 
5:31.0,D. Sabonis misses 3-pt jump shot from 25 ft, ,12-15, , 
5:29.0,Offensive rebound by M. Turner, ,12-15, , 
5:22.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by M. Brogdon),+3,15-15, , 
4:54.0, , ,15-15, ,D. Robinson misses 3-pt jump shot from 27 ft
4:51.0,Defensive rebound by D. Sabonis, ,15-15, , 
4:44.0,D. Sabonis misses 2-pt layup from 2 ft, ,15-15, , 
4:43.0,Offensive rebound by D. Sabonis, ,15-15, , 
4:43.0,D. Sabonis makes 2-pt layup from 2 ft,+2,17-15, , 
4:43.0,Shooting foul by P. Achiuwa (drawn by D. Sabonis), ,17-15, , 
4:43.0,D. McDermott enters the game for C. LeVert, ,17-15, , 
4:43.0, , ,17-15, ,T. Herro enters the game for D. Robinson
4:43.0,D. Sabonis makes free throw 1 of 1,+1,18-15, , 
4:29.0, , ,18-15, ,Shooting foul by D. Sabonis (drawn by P. Achiuwa)
4:29.0, , ,18-15, ,P. Achiuwa misses free throw 1 of 2
4:29.0, , ,18-15, ,Offensive rebound by Team
4:29.0, , ,18-15, ,G. Vincent enters the game for K. Nunn
4:29.0, , ,18-15, ,P. Achiuwa misses free throw 2 of 2
4:27.0,Defensive rebound by D. McDermott, ,18-15, , 
4:14.0,M. Turner makes 3-pt jump shot from 23 ft (assist by M. Brogdon),+3,21-15, , 
3:59.0, , ,21-17,+2,J. Butler makes 2-pt hook shot from 5 ft
3:47.0,Turnover by D. Sabonis (bad pass; steal by G. Vincent), ,21-17, , 
3:40.0, , ,21-17, ,P. Achiuwa misses 2-pt hook shot from 8 ft (block by J. Holiday)
3:38.0, , ,21-17, ,Offensive rebound by P. Achiuwa
3:36.0, , ,21-17, ,K. Olynyk misses 3-pt jump shot from 26 ft
3:34.0,Defensive rebound by D. Sabonis, ,21-17, , 
3:20.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by M. Brogdon),+3,24-17, , 
3:02.0, , ,24-19,+2,J. Butler makes 2-pt jump shot from 5 ft
2:49.0,Shooting foul by K. Olynyk (drawn by M. Turner), ,24-19, , 
2:49.0,Indiana full timeout, ,24-19, , 
2:49.0,T. McConnell enters the game for D. Sabonis, ,24-19, , 
2:49.0, , ,24-19, ,B. Adebayo enters the game for P. Achiuwa
2:49.0, , ,24-19, ,A. Iguodala enters the game for J. Butler
2:49.0, , ,24-19, ,D. Robinson enters the game for K. Olynyk
2:49.0,M. Turner makes free throw 1 of 2,+1,25-19, , 
2:49.0,M. Turner makes free throw 2 of 2,+1,26-19, , 
2:35.0, , ,26-19, ,D. Robinson misses 3-pt jump shot from 26 ft
2:31.0,Defensive rebound by D. McDermott, ,26-19, , 
2:25.0,D. McDermott misses 3-pt jump shot from 23 ft, ,26-19, , 
2:23.0,Offensive rebound by M. Brogdon, ,26-19, , 
2:22.0,M. Brogdon misses 2-pt layup from 1 ft (block by D. Robinson), ,26-19, , 
2:18.0,Offensive rebound by M. Brogdon, ,26-19, , 
2:18.0,M. Brogdon misses 2-pt layup from 3 ft, ,26-19, , 
2:16.0, , ,26-19, ,Defensive rebound by B. Adebayo
2:14.0, , ,26-21,+2,T. Herro makes 2-pt layup from 2 ft
1:55.0,M. Brogdon misses 2-pt layup from 2 ft, ,26-21, , 
1:54.0, , ,26-21, ,Defensive rebound by T. Herro
1:52.0, , ,26-21, ,Turnover by G. Vincent (traveling)
1:52.0,G. Bitadze enters the game for M. Brogdon, ,26-21, , 
1:52.0,J. Lamb enters the game for J. Holiday, ,26-21, , 
1:52.0,E. Sumner enters the game for M. Turner, ,26-21, , 
1:27.0,D. McDermott makes 2-pt layup from 1 ft (assist by T. McConnell),+2,28-21, , 
1:10.0, , ,28-24,+3,G. Vincent makes 3-pt jump shot from 23 ft (assist by T. Herro)
0:51.0,T. McConnell makes 2-pt jump shot from 8 ft,+2,30-24, , 
0:39.0, , ,30-26,+2,B. Adebayo makes 2-pt dunk from 2 ft (assist by G. Vincent)
0:26.0,J. Lamb makes 2-pt jump shot from 22 ft (assist by D. McDermott),+2,32-26, , 
0:02.0, , ,32-26, ,B. Adebayo misses 2-pt layup from 3 ft (block by G. Bitadze)
0:01.0, , ,32-26, ,Offensive rebound by A. Iguodala
0:00.0, , ,32-26, ,G. Vincent misses 3-pt jump shot from 26 ft
0:00.0, , ,32-26, ,Offensive rebound by Team
