time,away_description,away_change,score,home_change,home_description
11:45.0, , ,0-0, ,H. Whiteside misses 2-pt layup from 2 ft (block by M. Williams)
11:41.0, , ,0-0, ,Offensive rebound by R. McGruder
11:40.0, , ,0-2,+2,R. McGruder makes 2-pt layup from 1 ft
11:24.0,N. Batum misses 2-pt jump shot from 13 ft, ,0-2, , 
11:21.0, , ,0-2, ,Defensive rebound by H. Whiteside
11:19.0, , ,0-2, ,G. Dragić misses 2-pt layup from 1 ft
11:09.0, , ,0-2, ,Offensive rebound by H. Whiteside
11:09.0, , ,0-4,+2,H. Whiteside makes 2-pt dunk from 1 ft
11:01.0,J. Lamb misses 3-pt jump shot from 25 ft, ,0-4, , 
11:00.0, , ,0-4, ,Defensive rebound by J. Richardson
10:55.0, , ,0-7,+3,J. Richardson makes 3-pt jump shot from 25 ft
10:36.0,K. Walker misses 2-pt jump shot from 17 ft, ,0-7, , 
10:34.0, , ,0-7, ,Defensive rebound by H. Whiteside
10:21.0, , ,0-7, ,G. Dragić misses 3-pt jump shot from 23 ft
10:19.0,Defensive rebound by M. Williams, ,0-7, , 
10:02.0,M. Williams makes 2-pt layup from 2 ft (assist by K. Walker),+2,2-7, , 
9:39.0, , ,2-7, ,J. Richardson misses 3-pt jump shot from 25 ft
9:37.0,Defensive rebound by J. Lamb, ,2-7, , 
9:31.0,J. Lamb misses 2-pt hook shot from 6 ft, ,2-7, , 
9:26.0,Offensive rebound by J. Lamb, ,2-7, , 
9:26.0,J. Lamb makes 2-pt layup at rim,+2,4-7, , 
9:07.0, , ,4-9,+2,J. Richardson makes 2-pt jump shot from 12 ft
8:52.0,N. Batum misses 2-pt layup from 1 ft (block by H. Whiteside), ,4-9, , 
8:48.0, , ,4-9, ,Defensive rebound by R. McGruder
8:38.0, , ,4-9, ,H. Whiteside misses 2-pt jump shot from 13 ft (block by J. Lamb)
8:32.0, , ,4-9, ,Offensive rebound by Team
8:28.0, , ,4-12,+3,R. McGruder makes 3-pt jump shot from 26 ft (assist by G. Dragić)
8:27.0,Charlotte full timeout, ,4-12, , 
8:15.0,K. Walker makes 2-pt jump shot from 12 ft,+2,6-12, , 
7:56.0, , ,6-15,+3,D. Jones makes 3-pt jump shot from 24 ft (assist by G. Dragić)
7:38.0,C. Zeller makes 2-pt layup from 2 ft (assist by K. Walker),+2,8-15, , 
7:38.0,Shooting foul by H. Whiteside (drawn by C. Zeller), ,8-15, , 
7:38.0,C. Zeller makes free throw 1 of 1,+1,9-15, , 
7:20.0, , ,9-15, ,D. Jones misses 2-pt jump shot from 8 ft (block by M. Williams)
7:20.0,Defensive rebound by M. Williams, ,9-15, , 
7:13.0,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),+3,12-15, , 
7:01.0, , ,12-15, ,Turnover by J. Richardson (bad pass; steal by N. Batum)
6:55.0,K. Walker makes 2-pt layup from 2 ft (assist by N. Batum),+2,14-15, , 
6:44.0, , ,14-17,+2,G. Dragić makes 2-pt layup from 1 ft
6:39.0,Offensive foul by C. Zeller (drawn by J. Richardson), ,14-17, , 
6:39.0,Turnover by C. Zeller (offensive foul), ,14-17, , 
6:39.0,M. Kidd-Gilchrist enters the game for M. Williams, ,14-17, , 
6:39.0, , ,14-17, ,D. Wade enters the game for J. Richardson
6:27.0, , ,14-19,+2,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder)
6:11.0,K. Walker makes 3-pt jump shot from 26 ft,+3,17-19, , 
5:54.0, , ,17-21,+2,D. Jones makes 2-pt dunk from 1 ft
5:38.0,K. Walker misses 3-pt jump shot from 26 ft, ,17-21, , 
5:36.0, , ,17-21, ,Defensive rebound by R. McGruder
5:32.0, , ,17-21, ,G. Dragić misses 2-pt layup from 1 ft
5:29.0,Defensive rebound by C. Zeller, ,17-21, , 
5:22.0,N. Batum makes 3-pt jump shot from 26 ft,+3,20-21, , 
5:21.0, , ,20-21, ,Miami full timeout
5:06.0, , ,20-21, ,D. Jones misses 2-pt layup from 5 ft (block by M. Kidd-Gilchrist)
5:02.0, , ,20-21, ,Offensive rebound by Team
4:57.0, , ,20-21, ,G. Dragić misses 3-pt jump shot from 25 ft
4:57.0,Defensive rebound by Team, ,20-21, , 
4:57.0, , ,20-21, ,Loose ball foul by H. Whiteside (drawn by C. Zeller)
4:57.0,W. Hernangómez enters the game for C. Zeller, ,20-21, , 
4:57.0, , ,20-21, ,B. Adebayo enters the game for H. Whiteside
4:48.0,Personal foul by D. Wade (drawn by W. Hernangómez), ,20-21, , 
4:48.0,M. Monk enters the game for J. Lamb, ,20-21, , 
4:42.0,K. Walker makes 2-pt layup from 2 ft,+2,22-21, , 
4:33.0, , ,22-21, ,D. Wade misses 3-pt jump shot from 25 ft
4:32.0,Defensive rebound by W. Hernangómez, ,22-21, , 
4:16.0,W. Hernangómez makes 2-pt hook shot from 5 ft,+2,24-21, , 
4:08.0, , ,24-21, ,Turnover by D. Jones (bad pass)
4:04.0,Personal foul by R. McGruder (drawn by K. Walker), ,24-21, , 
4:04.0, , ,24-21, ,J. Richardson enters the game for G. Dragić
3:55.0,Turnover by M. Kidd-Gilchrist (out of bounds lost ball), ,24-21, , 
3:40.0, , ,24-21, ,Personal foul by W. Hernangómez (drawn by D. Jones)
3:40.0, , ,24-21, ,T. Johnson enters the game for D. Jones
3:40.0, , ,24-21, ,K. Olynyk enters the game for R. McGruder
3:33.0, , ,24-21, ,B. Adebayo misses 2-pt jump shot from 6 ft (block by M. Kidd-Gilchrist)
3:28.0, , ,24-21, ,Offensive rebound by Team
3:25.0, , ,24-21, ,D. Wade misses 2-pt jump shot from 21 ft
3:22.0,Defensive rebound by W. Hernangómez, ,24-21, , 
3:17.0,K. Walker misses 3-pt jump shot from 25 ft, ,24-21, , 
3:13.0,Offensive rebound by W. Hernangómez, ,24-21, , 
3:11.0,Personal foul by J. Richardson (drawn by N. Batum), ,24-21, , 
3:11.0,N. Batum makes free throw 1 of 2,+1,25-21, , 
3:11.0,N. Batum makes free throw 2 of 2,+1,26-21, , 
2:50.0, , ,26-21, ,J. Richardson misses 3-pt jump shot from 26 ft
2:47.0,Defensive rebound by N. Batum, ,26-21, , 
2:41.0,Shooting foul by T. Johnson (drawn by W. Hernangómez), ,26-21, , 
2:41.0,W. Hernangómez makes free throw 1 of 2,+1,27-21, , 
2:41.0,W. Hernangómez makes free throw 2 of 2,+1,28-21, , 
2:30.0, , ,28-23,+2,D. Wade makes 2-pt layup from 2 ft
2:24.0,K. Walker misses 2-pt layup from 2 ft (block by B. Adebayo), ,28-23, , 
2:20.0, , ,28-23, ,Defensive rebound by J. Richardson
2:08.0, , ,28-25,+2,D. Wade makes 2-pt jump shot from 10 ft
1:56.0,K. Walker makes 3-pt jump shot from 25 ft,+3,31-25, , 
1:47.0, , ,31-25, ,Turnover by J. Richardson (traveling)
1:38.0,Turnover by W. Hernangómez (out of bounds lost ball), ,31-25, , 
1:27.0,Violation by Team (kicked ball), ,31-25, , 
1:27.0,T. Parker enters the game for K. Walker, ,31-25, , 
1:25.0, , ,31-25, ,Personal foul by T. Parker (drawn by D. Wade)
1:13.0, , ,31-27,+2,D. Wade makes 2-pt layup from 1 ft (assist by T. Johnson)
0:55.0,N. Batum misses 3-pt jump shot from 25 ft, ,31-27, , 
0:53.0,Offensive rebound by W. Hernangómez, ,31-27, , 
0:46.0,Shooting foul by T. Johnson (drawn by T. Parker), ,31-27, , 
0:46.0,T. Parker misses free throw 1 of 2, ,31-27, , 
0:46.0,Offensive rebound by Team, ,31-27, , 
0:46.0,T. Parker misses free throw 2 of 2, ,31-27, , 
0:44.0, , ,31-27, ,Defensive rebound by K. Olynyk
0:40.0, , ,31-27, ,Offensive foul by D. Wade (drawn by W. Hernangómez)
0:40.0, , ,31-27, ,Turnover by D. Wade (offensive foul)
0:32.0,M. Monk makes 3-pt jump shot from 25 ft,+3,34-27, , 
0:11.0, , ,34-29,+2,J. Richardson makes 2-pt jump shot from 17 ft
0:02.0,M. Monk misses 3-pt jump shot from 26 ft, ,34-29, , 
0:02.0, , ,34-29, ,Defensive rebound by B. Adebayo
11:43.0,W. Hernangómez misses 2-pt jump shot from 6 ft, ,34-29, , 
11:37.0,Offensive rebound by W. Hernangómez, ,34-29, , 
11:37.0,W. Hernangómez makes 2-pt layup at rim,+2,36-29, , 
11:22.0, , ,36-29, ,D. Wade misses 2-pt jump shot from 14 ft
11:19.0,Defensive rebound by W. Hernangómez, ,36-29, , 
11:10.0,M. Monk misses 3-pt jump shot from 24 ft, ,36-29, , 
11:07.0, , ,36-29, ,Defensive rebound by B. Adebayo
11:02.0, , ,36-31,+2,T. Johnson makes 2-pt jump shot from 14 ft
10:42.0,J. Lamb makes 2-pt jump shot from 10 ft (assist by W. Hernangómez),+2,38-31, , 
10:18.0, , ,38-31, ,K. Olynyk misses 3-pt jump shot from 26 ft
10:15.0, , ,38-31, ,Offensive rebound by J. Richardson
10:03.0, , ,38-33,+2,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Richardson)
9:50.0,M. Kidd-Gilchrist misses 2-pt layup from 3 ft (block by D. Wade), ,38-33, , 
9:48.0, , ,38-33, ,Defensive rebound by D. Wade
9:46.0, , ,38-33, ,J. Richardson misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist)
9:46.0, , ,38-33, ,Offensive rebound by Team
9:39.0, , ,38-33, ,B. Adebayo misses 2-pt layup from 1 ft
9:36.0, , ,38-33, ,Offensive rebound by B. Adebayo
9:32.0, , ,38-33, ,B. Adebayo misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist)
9:28.0,Defensive rebound by W. Hernangómez, ,38-33, , 
9:19.0,W. Hernangómez misses 2-pt jump shot from 2 ft (block by K. Olynyk), ,38-33, , 
9:14.0, , ,38-33, ,Defensive rebound by D. Wade
9:11.0, , ,38-33, ,Shooting foul by M. Kidd-Gilchrist (drawn by B. Adebayo)
9:11.0, , ,38-34,+1,B. Adebayo makes free throw 1 of 2
9:11.0,M. Williams enters the game for W. Hernangómez, ,38-34, , 
9:11.0,C. Zeller enters the game for M. Kidd-Gilchrist, ,38-34, , 
9:11.0, , ,38-34, ,R. McGruder enters the game for D. Wade
9:11.0, , ,38-35,+1,B. Adebayo makes free throw 2 of 2
8:56.0,M. Monk makes 3-pt jump shot from 23 ft (assist by T. Parker),+3,41-35, , 
8:47.0, , ,41-35, ,Offensive foul by B. Adebayo (drawn by M. Monk)
8:47.0, , ,41-35, ,Turnover by B. Adebayo (offensive foul)
8:47.0, , ,41-35, ,H. Whiteside enters the game for B. Adebayo
8:25.0,C. Zeller makes 2-pt layup from 2 ft (assist by J. Lamb),+2,43-35, , 
8:08.0, , ,43-35, ,K. Olynyk misses 3-pt jump shot from 25 ft
8:06.0,Defensive rebound by J. Lamb, ,43-35, , 
7:57.0,T. Parker misses 2-pt jump shot from 16 ft, ,43-35, , 
7:54.0, , ,43-35, ,Defensive rebound by H. Whiteside
7:52.0, , ,43-35, ,Offensive foul by H. Whiteside (drawn by C. Zeller)
7:52.0, , ,43-35, ,Turnover by H. Whiteside (offensive foul)
7:52.0,K. Walker enters the game for T. Parker, ,43-35, , 
7:52.0, , ,43-35, ,D. Jones enters the game for H. Whiteside
7:36.0,Shooting foul by D. Jones (drawn by J. Lamb), ,43-35, , 
7:36.0,J. Lamb makes free throw 1 of 2,+1,44-35, , 
7:36.0, , ,44-35, ,G. Dragić enters the game for J. Richardson
7:36.0,J. Lamb makes free throw 2 of 2,+1,45-35, , 
7:28.0, , ,45-35, ,Turnover by R. McGruder (bad pass; steal by J. Lamb)
7:21.0,M. Williams misses 3-pt jump shot from 23 ft, ,45-35, , 
7:18.0,Offensive rebound by C. Zeller, ,45-35, , 
7:18.0,C. Zeller makes 2-pt dunk from 2 ft,+2,47-35, , 
7:18.0, , ,47-35, ,Miami full timeout
7:07.0, , ,47-35, ,Personal foul by K. Walker (drawn by K. Olynyk)
6:54.0, , ,47-37,+2,K. Olynyk makes 2-pt jump shot from 12 ft (assist by T. Johnson)
6:44.0,Personal foul by K. Olynyk (drawn by K. Walker), ,47-37, , 
6:44.0,N. Batum enters the game for M. Monk, ,47-37, , 
6:35.0,Turnover by K. Walker (bad pass; steal by T. Johnson), ,47-37, , 
6:27.0, , ,47-37, ,D. Jones misses 2-pt jump shot from 5 ft
6:24.0, , ,47-37, ,Offensive rebound by K. Olynyk
6:19.0, , ,47-37, ,G. Dragić misses 2-pt layup from 2 ft (block by M. Williams)
6:16.0,Defensive rebound by K. Walker, ,47-37, , 
6:14.0,J. Lamb misses 2-pt layup from 2 ft, ,47-37, , 
6:14.0, , ,47-37, ,Defensive rebound by R. McGruder
6:14.0, , ,47-37, ,Personal foul by J. Lamb (drawn by R. McGruder)
5:56.0, , ,47-37, ,D. Jones misses 3-pt jump shot from 23 ft
5:56.0, , ,47-37, ,Offensive rebound by Team
5:56.0,Loose ball foul by C. Zeller (drawn by K. Olynyk), ,47-37, , 
