time,away_description,away_change,score,home_change,home_description
3:38.0,J. Butler misses 2-pt jump shot from 20 ft, ,15-13, , 
3:35.0, , ,15-13, ,Defensive rebound by K. Middleton
3:29.0, , ,15-15,+2,J. Holiday makes 2-pt jump shot from 15 ft
3:06.0,T. Herro misses 2-pt jump shot from 18 ft, ,15-15, , 
3:04.0,Offensive rebound by Team, ,15-15, , 
3:04.0,A. Iguodala enters the game for T. Ariza, ,15-15, , 
2:57.0,D. Dedmon makes 2-pt layup from 3 ft (assist by T. Herro),+2,17-15, , 
2:57.0,Shooting foul by B. Portis (drawn by D. Dedmon), ,17-15, , 
2:57.0, , ,17-15, ,G. Antetokounmpo enters the game for K. Middleton
2:57.0,D. Dedmon misses free throw 1 of 1, ,17-15, , 
2:54.0, , ,17-15, ,Defensive rebound by J. Holiday
2:43.0, , ,17-15, ,P. Tucker misses 3-pt jump shot from 24 ft
2:41.0, , ,17-15, ,Offensive rebound by G. Antetokounmpo
2:39.0, , ,17-15, ,B. Forbes misses 3-pt jump shot from 29 ft
2:39.0, , ,17-15, ,Offensive rebound by Team
2:27.0, , ,17-15, ,G. Antetokounmpo misses 2-pt jump shot from 14 ft
2:24.0,Defensive rebound by D. Dedmon, ,17-15, , 
2:18.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by T. Herro),+3,20-15, , 
1:57.0, , ,20-17,+2,B. Portis makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo)
1:38.0,J. Butler misses 2-pt jump shot from 16 ft, ,20-17, , 
1:34.0, , ,20-17, ,Defensive rebound by B. Forbes
1:30.0, , ,20-19,+2,B. Forbes makes 2-pt layup from 1 ft (assist by J. Holiday)
1:30.0, , ,20-19, ,Shooting foul by A. Iguodala (drawn by B. Forbes)
1:30.0,B. Adebayo enters the game for J. Butler, ,20-19, , 
1:30.0,K. Nunn enters the game for D. Dedmon, ,20-19, , 
1:30.0, , ,20-19, ,P. Connaughton enters the game for P. Tucker
1:30.0, , ,20-20,+1,B. Forbes makes free throw 1 of 1
1:06.0,Turnover by T. Herro (bad pass; steal by B. Portis), ,20-20, , 
1:03.0, , ,20-20, ,G. Antetokounmpo misses 2-pt layup from 3 ft
0:59.0,Defensive rebound by A. Iguodala, ,20-20, , 
0:55.0,K. Nunn misses 3-pt jump shot from 27 ft, ,20-20, , 
0:55.0,Offensive rebound by B. Adebayo, ,20-20, , 
0:54.0,T. Herro misses 3-pt jump shot from 25 ft, ,20-20, , 
0:53.0,Offensive rebound by A. Iguodala, ,20-20, , 
0:51.0,A. Iguodala makes 2-pt dunk from 1 ft,+2,22-20, , 
0:35.0, , ,22-20, ,B. Portis misses 3-pt jump shot from 26 ft
0:32.0, , ,22-20, ,Offensive rebound by P. Connaughton
0:30.0, , ,22-22,+2,P. Connaughton makes 2-pt layup from 1 ft
0:18.0,G. Dragić makes 2-pt jump shot from 14 ft,+2,24-22, , 
0:00.0, , ,24-22, ,J. Holiday misses 3-pt jump shot from 26 ft
0:00.0, , ,24-22, ,Offensive rebound by Team
11:47.0, , ,24-22, ,K. Middleton misses 3-pt jump shot from 26 ft
11:43.0, , ,24-22, ,Offensive rebound by G. Antetokounmpo
11:43.0, , ,24-22, ,G. Antetokounmpo misses 2-pt layup at rim
11:43.0,Defensive rebound by A. Iguodala, ,24-22, , 
11:31.0,G. Dragić misses 2-pt jump shot from 20 ft, ,24-22, , 
11:28.0, , ,24-22, ,Defensive rebound by P. Connaughton
11:22.0, , ,24-22, ,Turnover by D. DiVincenzo (traveling)
10:57.0,K. Nunn makes 2-pt jump shot from 10 ft,+2,26-22, , 
10:37.0, , ,26-22, ,D. DiVincenzo misses 3-pt jump shot from 29 ft
10:34.0,Defensive rebound by K. Nunn, ,26-22, , 
10:29.0,Turnover by G. Dragić (bad pass; steal by G. Antetokounmpo), ,26-22, , 
10:14.0, , ,26-24,+2,B. Portis makes 2-pt hook shot from 6 ft (assist by K. Middleton)
10:02.0,K. Nunn makes 3-pt jump shot from 27 ft (assist by T. Herro),+3,29-24, , 
9:49.0, , ,29-26,+2,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton)
9:36.0,T. Herro misses 2-pt layup from 3 ft, ,29-26, , 
9:31.0, , ,29-26, ,Defensive rebound by G. Antetokounmpo
9:29.0, , ,29-26, ,G. Antetokounmpo misses 2-pt jump shot from 10 ft
9:26.0,Defensive rebound by A. Iguodala, ,29-26, , 
9:21.0,T. Herro misses 3-pt jump shot from 27 ft, ,29-26, , 
