time,away_description,away_change,score,home_change,home_description
2:55.0,T. Parker enters the game for M. Williams, ,14-14, , 
2:55.0, , ,14-14, ,J. Richardson enters the game for D. Jones
2:44.0,J. Lamb makes 3-pt jump shot from 29 ft (assist by D. Bacon),+3,17-14, , 
2:27.0, , ,17-14, ,D. Wade misses 2-pt layup from 2 ft
2:25.0,Defensive rebound by D. Bacon, ,17-14, , 
2:16.0,D. Bacon misses 2-pt layup from 3 ft, ,17-14, , 
2:14.0,Offensive rebound by M. Kidd-Gilchrist, ,17-14, , 
2:08.0,J. Lamb makes 3-pt jump shot from 24 ft (assist by D. Bacon),+3,20-14, , 
1:50.0, , ,20-17,+3,G. Dragić makes 3-pt jump shot from 23 ft (assist by K. Olynyk)
1:37.0,J. Lamb misses 3-pt jump shot from 26 ft, ,20-17, , 
1:34.0,Offensive rebound by M. Kidd-Gilchrist, ,20-17, , 
1:25.0,F. Kaminsky misses 3-pt jump shot from 24 ft, ,20-17, , 
1:24.0, , ,20-17, ,Defensive rebound by D. Wade
1:18.0, , ,20-17, ,D. Wade misses 2-pt layup from 2 ft
1:17.0, , ,20-17, ,Offensive rebound by H. Whiteside
1:14.0, , ,20-19,+2,H. Whiteside makes 2-pt dunk from 1 ft
0:45.0,D. Bacon misses 2-pt jump shot from 15 ft, ,20-19, , 
0:44.0, , ,20-19, ,Defensive rebound by K. Olynyk
0:42.0, , ,20-19, ,G. Dragić misses 2-pt layup from 1 ft (block by D. Bacon)
0:41.0, , ,20-19, ,Offensive rebound by Team
0:41.0, , ,20-19, ,J. Johnson enters the game for K. Olynyk
0:21.0, , ,20-19, ,J. Johnson misses 3-pt jump shot from 23 ft
0:18.0,Defensive rebound by F. Kaminsky, ,20-19, , 
0:00.0,J. Lamb misses 3-pt jump shot from 24 ft, ,20-19, , 
0:00.0, , ,20-19, ,Defensive rebound by G. Dragić
11:39.0,F. Kaminsky misses 2-pt hook shot from 9 ft, ,20-19, , 
11:37.0, , ,20-19, ,Defensive rebound by G. Dragić
11:29.0, , ,20-21,+2,G. Dragić makes 2-pt layup from 2 ft
11:29.0, , ,20-21, ,Shooting foul by M. Kidd-Gilchrist (drawn by G. Dragić)
11:29.0, , ,20-22,+1,G. Dragić makes free throw 1 of 1
11:14.0,Turnover by J. Lamb (bad pass), ,20-22, , 
10:55.0, , ,20-22, ,J. Johnson misses 2-pt hook shot from 7 ft
10:54.0, , ,20-22, ,Offensive rebound by H. Whiteside
10:53.0, , ,20-24,+2,H. Whiteside makes 2-pt layup at rim
10:43.0,Turnover by T. Parker (bad pass), ,20-24, , 
10:32.0, , ,20-24, ,J. Richardson misses 3-pt jump shot from 24 ft
10:30.0,Defensive rebound by T. Parker, ,20-24, , 
10:24.0,T. Parker makes 2-pt layup from 3 ft,+2,22-24, , 
10:07.0, , ,22-24, ,H. Whiteside misses 2-pt jump shot from 3 ft
10:05.0,Defensive rebound by F. Kaminsky, ,22-24, , 
10:02.0,Personal foul by D. Wade (drawn by M. Kidd-Gilchrist), ,22-24, , 
9:51.0,T. Parker makes 3-pt jump shot from 25 ft (assist by J. Lamb),+3,25-24, , 
9:36.0, , ,25-26,+2,D. Wade makes 2-pt jump shot from 17 ft (assist by J. Richardson)
9:36.0, , ,25-26, ,Shooting foul by J. Lamb (drawn by D. Wade)
9:36.0, , ,25-27,+1,D. Wade makes free throw 1 of 1
9:15.0,T. Parker misses 3-pt jump shot from 28 ft, ,25-27, , 
9:13.0, , ,25-27, ,Defensive rebound by D. Wade
9:08.0, , ,25-27, ,Personal take foul by D. Bacon (drawn by H. Whiteside)
