time,away_description,away_change,score,home_change,home_description
11:39.0, , ,0-0, ,D. Ayton misses 2-pt jump shot from 17 ft
11:37.0,Defensive rebound by J. Valančiūnas, ,0-0, , 
11:24.0,J. Valančiūnas makes 2-pt jump shot from 7 ft (assist by K. Leonard),+2,2-0, , 
11:16.0, , ,2-0, ,Personal foul by K. Lowry (drawn by T. Ariza)
11:14.0, , ,2-0, ,D. Booker misses 2-pt jump shot from 16 ft
11:11.0, , ,2-0, ,Offensive rebound by D. Ayton
10:59.0, , ,2-0, ,Turnover by I. Canaan (bad pass; steal by J. Valančiūnas)
10:55.0,Turnover by K. Leonard (off goaltending), ,2-0, , 
10:40.0, , ,2-0, ,T. Ariza misses 3-pt jump shot from 25 ft
10:37.0,Defensive rebound by K. Lowry, ,2-0, , 
10:26.0,J. Valančiūnas misses 2-pt hook shot from 6 ft, ,2-0, , 
10:23.0,Offensive rebound by K. Lowry, ,2-0, , 
10:20.0,J. Valančiūnas makes 2-pt dunk from 2 ft (assist by K. Lowry),+2,4-0, , 
9:54.0, , ,4-2,+2,D. Booker makes 2-pt jump shot from 13 ft
9:41.0,Offensive foul by K. Lowry (drawn by D. Booker), ,4-2, , 
9:41.0,Turnover by K. Lowry (offensive foul), ,4-2, , 
9:25.0, , ,4-4,+2,D. Booker makes 2-pt layup from 1 ft (assist by D. Ayton)
9:14.0,Personal foul by I. Canaan (drawn by D. Green), ,4-4, , 
9:08.0,K. Lowry misses 3-pt jump shot from 28 ft, ,4-4, , 
9:05.0, , ,4-4, ,Defensive rebound by D. Ayton
8:58.0, , ,4-6,+2,T. Ariza makes 2-pt jump shot from 5 ft
8:42.0,K. Leonard misses 2-pt jump shot from 17 ft, ,4-6, , 
8:40.0, , ,4-6, ,Defensive rebound by T. Ariza
8:29.0, , ,4-6, ,Turnover by T. Warren (bad pass)
8:18.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),+2,6-6, , 
8:00.0, , ,6-6, ,D. Booker misses 3-pt jump shot from 27 ft
7:57.0,Defensive rebound by D. Green, ,6-6, , 
