time,away_description,away_change,score,home_change,home_description
11:46.0, , ,0-0, ,S. Adams misses 2-pt hook shot from 4 ft
11:45.0, , ,0-0, ,Offensive rebound by S. Adams
11:43.0, , ,0-0, ,S. Adams misses 2-pt dunk at rim
11:41.0, , ,0-0, ,Offensive rebound by S. Adams
11:41.0, , ,0-0, ,Shooting foul by L. Dončić (drawn by S. Adams)
11:41.0, , ,0-0, ,S. Adams misses free throw 1 of 2
11:41.0, , ,0-0, ,Offensive rebound by Team
11:41.0, , ,0-1,+1,S. Adams makes free throw 2 of 2
11:21.0,Personal foul by T. Ferguson (drawn by L. Dončić), ,0-1, , 
11:13.0,J. Brunson misses 3-pt jump shot from 22 ft, ,0-1, , 
11:11.0, , ,0-1, ,Defensive rebound by D. Gallinari
11:02.0, , ,0-1, ,Turnover by D. Gallinari (bad pass; steal by D. Powell)
10:54.0,L. Dončić makes 2-pt jump shot from 4 ft,+2,2-1, , 
10:54.0,Shooting foul by T. Ferguson (drawn by L. Dončić), ,2-1, , 
10:54.0,L. Dončić makes free throw 1 of 1,+1,3-1, , 
10:40.0, , ,3-1, ,D. Gallinari misses 3-pt jump shot from 25 ft
10:36.0,Defensive rebound by D. Powell, ,3-1, , 
10:23.0,J. Brunson makes 2-pt jump shot from 11 ft,+2,5-1, , 
10:04.0, , ,5-1, ,D. Gallinari misses 3-pt jump shot from 27 ft
10:01.0,Defensive rebound by L. Dončić, ,5-1, , 
9:52.0,D. Finney-Smith misses 2-pt layup from 8 ft (block by S. Gilgeous-Alexander), ,5-1, , 
9:50.0, , ,5-1, ,Defensive rebound by C. Paul
9:35.0, , ,5-1, ,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by D. Powell)
9:35.0, , ,5-1, ,Offensive rebound by Team
9:26.0, , ,5-3,+2,D. Gallinari makes 2-pt jump shot from 13 ft
9:14.0,L. Dončić misses 3-pt jump shot from 25 ft, ,5-3, , 
9:11.0, , ,5-3, ,Defensive rebound by S. Adams
9:03.0, , ,5-3, ,Turnover by C. Paul (bad pass)
8:44.0,L. Dončić misses 2-pt jump shot from 11 ft, ,5-3, , 
8:39.0, , ,5-3, ,Defensive rebound by C. Paul
8:24.0, , ,5-5,+2,S. Adams makes 2-pt layup from 2 ft
8:01.0,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by D. Powell),+3,8-5, , 
7:43.0, , ,8-7,+2,S. Adams makes 2-pt dunk from 1 ft (assist by D. Gallinari)
7:29.0,Turnover by J. Brunson (bad pass; steal by S. Adams), ,8-7, , 
7:13.0, , ,8-7, ,T. Ferguson misses 3-pt jump shot from 23 ft
7:09.0,Defensive rebound by L. Dončić, ,8-7, , 
7:03.0,L. Dončić makes 2-pt layup from 2 ft,+2,10-7, , 
7:03.0, , ,10-7, ,Oklahoma City full timeout
7:03.0,B. Marjanović enters the game for D. Powell, ,10-7, , 
7:03.0, , ,10-7, ,N. Noel enters the game for S. Adams
