time,away_description,away_change,score,home_change,home_description
11:36.0, , ,0-0, ,E. Fournier misses 2-pt layup from 2 ft
11:28.0, , ,0-0, ,Offensive rebound by J. Isaac
11:28.0, , ,0-0, ,J. Isaac misses 2-pt layup at rim
11:28.0, , ,0-0, ,Offensive rebound by N. Vučević
11:24.0, , ,0-2,+2,N. Vučević makes 2-pt layup at rim
11:21.0,K. Walker misses 2-pt layup from 3 ft (block by N. Vučević), ,0-2, , 
11:21.0, , ,0-2, ,Defensive rebound by J. Isaac
11:07.0, , ,0-2, ,N. Vučević misses 2-pt layup from 2 ft
11:00.0,Defensive rebound by C. Zeller, ,0-2, , 
10:58.0,J. Lamb misses 2-pt layup from 1 ft, ,0-2, , 
10:53.0, , ,0-2, ,Defensive rebound by A. Gordon
10:48.0, , ,0-4,+2,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon)
10:25.0,Shooting foul by J. Isaac (drawn by J. Lamb), ,0-4, , 
10:25.0,J. Lamb makes free throw 1 of 2,+1,1-4, , 
10:25.0,J. Lamb makes free throw 2 of 2,+1,2-4, , 
10:07.0, , ,2-4, ,A. Gordon misses 3-pt jump shot from 23 ft
10:04.0,Defensive rebound by N. Batum, ,2-4, , 
9:56.0,K. Walker misses 3-pt jump shot from 26 ft, ,2-4, , 
9:53.0, , ,2-4, ,Defensive rebound by N. Vučević
9:48.0, , ,2-4, ,Turnover by D. Augustin (traveling)
9:37.0,C. Zeller misses 2-pt layup from 2 ft (block by N. Vučević), ,2-4, , 
9:33.0,Offensive rebound by C. Zeller, ,2-4, , 
9:33.0,C. Zeller misses 2-pt layup from 2 ft (block by A. Gordon), ,2-4, , 
9:33.0,Offensive rebound by M. Williams, ,2-4, , 
9:33.0,Turnover by M. Williams (traveling), ,2-4, , 
9:16.0, , ,2-4, ,N. Vučević misses 2-pt hook shot from 6 ft
9:16.0,Defensive rebound by N. Batum, ,2-4, , 
9:08.0,N. Batum makes 3-pt jump shot from 25 ft,+3,5-4, , 
8:51.0, , ,5-4, ,D. Augustin misses 2-pt jump shot from 21 ft
8:47.0,Defensive rebound by N. Batum, ,5-4, , 
8:41.0,K. Walker misses 3-pt jump shot from 24 ft, ,5-4, , 
8:38.0, , ,5-4, ,Defensive rebound by J. Isaac
8:31.0, , ,5-4, ,J. Isaac misses 3-pt jump shot from 26 ft
8:31.0,Defensive rebound by C. Zeller, ,5-4, , 
8:25.0,Shooting foul by E. Fournier (drawn by K. Walker), ,5-4, , 
8:25.0,K. Walker makes free throw 1 of 2,+1,6-4, , 
8:25.0,K. Walker makes free throw 2 of 2,+1,7-4, , 
8:08.0, , ,7-4, ,E. Fournier misses 3-pt jump shot from 23 ft
8:07.0,Defensive rebound by Team, ,7-4, , 
7:54.0,Turnover by K. Walker (bad pass; steal by J. Isaac), ,7-4, , 
7:49.0, , ,7-4, ,D. Augustin misses 3-pt jump shot from 22 ft
7:47.0,Defensive rebound by C. Zeller, ,7-4, , 
7:43.0,J. Lamb misses 2-pt layup from 2 ft, ,7-4, , 
7:37.0, , ,7-4, ,Defensive rebound by A. Gordon
7:31.0, , ,7-6,+2,D. Augustin makes 2-pt layup from 1 ft (assist by N. Vučević)
7:10.0,K. Walker misses 3-pt jump shot from 26 ft, ,7-6, , 
7:08.0, , ,7-6, ,Defensive rebound by E. Fournier
7:05.0, , ,7-6, ,E. Fournier misses 3-pt jump shot from 26 ft
7:01.0,Defensive rebound by M. Williams, ,7-6, , 
6:50.0,M. Williams misses 3-pt jump shot from 26 ft, ,7-6, , 
6:47.0, , ,7-6, ,Defensive rebound by A. Gordon
6:42.0, , ,7-6, ,A. Gordon misses 2-pt jump shot from 12 ft
6:39.0,Defensive rebound by J. Lamb, ,7-6, , 
6:30.0,Charlotte full timeout, ,7-6, , 
6:22.0,M. Williams misses 3-pt jump shot from 26 ft, ,7-6, , 
6:20.0, , ,7-6, ,Defensive rebound by J. Isaac
6:17.0, , ,7-6, ,Offensive foul by J. Isaac (drawn by M. Williams)
6:17.0, , ,7-6, ,Turnover by J. Isaac (offensive foul)
6:17.0,W. Hernangómez enters the game for M. Williams, ,7-6, , 
6:17.0,M. Kidd-Gilchrist enters the game for C. Zeller, ,7-6, , 
6:17.0, , ,7-6, ,M. Bamba enters the game for A. Gordon
6:17.0, , ,7-6, ,T. Ross enters the game for J. Isaac
6:05.0,N. Batum makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),+2,9-6, , 
5:57.0, , ,9-6, ,Turnover by  (5 sec)
5:45.0,J. Lamb makes 2-pt layup from 2 ft (assist by M. Kidd-Gilchrist),+2,11-6, , 
5:29.0, , ,11-6, ,T. Ross misses 3-pt jump shot from 27 ft
5:29.0,Defensive rebound by Team, ,11-6, , 
5:29.0, , ,11-6, ,Loose ball foul by N. Vučević (drawn by W. Hernangómez)
5:18.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),+3,14-6, , 
5:03.0, , ,14-6, ,N. Vučević misses 2-pt jump shot from 20 ft
4:59.0,Defensive rebound by M. Kidd-Gilchrist, ,14-6, , 
4:49.0,W. Hernangómez misses 2-pt hook shot from 8 ft, ,14-6, , 
