time,away_description,away_change,score,home_change,home_description
11:40.0, , ,0-0, ,N. Powell misses 3-pt jump shot from 26 ft
11:36.0,Defensive rebound by W. Barton, ,0-0, , 
11:28.0,J. Green misses 3-pt jump shot from 25 ft, ,0-0, , 
11:25.0, , ,0-0, ,Defensive rebound by D. Lillard
11:14.0, , ,0-0, ,J. Nurkić misses 2-pt layup from 2 ft
11:14.0, , ,0-0, ,Offensive rebound by J. Nurkić
11:14.0, , ,0-0, ,J. Nurkić misses 2-pt layup from 1 ft (block by J. Green)
11:14.0, , ,0-0, ,Offensive rebound by Team
11:07.0, , ,0-0, ,Turnover by N. Powell (traveling)
10:51.0,A. Gordon makes 2-pt jump shot from 2 ft,+2,2-0, , 
10:34.0, , ,2-0, ,J. Nurkić misses 2-pt layup from 1 ft
10:31.0,Defensive rebound by J. Green, ,2-0, , 
10:12.0,J. Green misses 3-pt jump shot from 23 ft, ,2-0, , 
10:09.0, , ,2-0, ,Defensive rebound by N. Powell
10:03.0, , ,2-2,+2,D. Lillard makes 2-pt layup from 1 ft
9:39.0,Turnover by M. Morris (lost ball; steal by D. Lillard), ,2-2, , 
9:35.0, , ,2-2, ,Shooting foul by A. Gordon (drawn by N. Powell)
9:35.0, , ,2-3,+1,N. Powell makes free throw 1 of 2
9:35.0, , ,2-4,+1,N. Powell makes free throw 2 of 2
9:21.0,A. Gordon makes 2-pt layup from 4 ft (assist by J. Green),+2,4-4, , 
9:21.0,Shooting foul by N. Powell (drawn by A. Gordon), ,4-4, , 
9:21.0,A. Gordon makes free throw 1 of 1,+1,5-4, , 
9:07.0, , ,5-6,+2,D. Lillard makes 2-pt jump shot from 23 ft
8:53.0,Turnover by M. Morris (bad pass), ,5-6, , 
8:45.0, , ,5-6, ,R. Covington misses 3-pt jump shot from 27 ft
8:45.0,Defensive rebound by W. Barton, ,5-6, , 
8:35.0,J. Green misses 2-pt hook shot from 4 ft, ,5-6, , 
8:35.0,Offensive rebound by J. Green, ,5-6, , 
8:35.0,Shooting foul by R. Covington (drawn by J. Green), ,5-6, , 
8:35.0,J. Green makes free throw 1 of 2,+1,6-6, , 
8:35.0,J. Green makes free throw 2 of 2,+1,7-6, , 
8:22.0, , ,7-8,+2,C. McCollum makes 2-pt jump shot from 6 ft
8:22.0, , ,7-8, ,Shooting foul by J. Green (drawn by C. McCollum)
8:22.0, , ,7-9,+1,C. McCollum makes free throw 1 of 1
8:16.0,Turnover by A. Gordon (lost ball; steal by N. Powell), ,7-9, , 
8:11.0, , ,7-11,+2,N. Powell makes 2-pt layup at rim (assist by D. Lillard)
