time,away_description,away_change,score,home_change,home_description
11:42.0,D. Robinson misses 3-pt jump shot from 28 ft, ,0-0, , 
11:40.0, , ,0-0, ,Defensive rebound by Team
11:20.0, , ,0-2,+2,D. Sabonis makes 2-pt layup from 5 ft (assist by A. Holiday)
11:02.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Butler),+2,2-2, , 
10:38.0, , ,2-2, ,A. Holiday misses 3-pt jump shot from 25 ft
10:35.0,Defensive rebound by B. Adebayo, ,2-2, , 
10:26.0,M. Leonard misses 3-pt jump shot from 28 ft, ,2-2, , 
10:23.0, , ,2-2, ,Defensive rebound by J. Lamb
10:14.0, , ,2-5,+3,M. Turner makes 3-pt jump shot from 24 ft (assist by D. Sabonis)
9:58.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by D. Robinson),+3,5-5, , 
9:42.0, , ,5-5, ,T. Warren misses 2-pt jump shot from 19 ft
9:38.0, , ,5-5, ,Offensive rebound by T. Warren
9:37.0, , ,5-7,+2,T. Warren makes 2-pt jump shot from 8 ft
9:26.0,K. Nunn makes 2-pt jump shot from 20 ft,+2,7-7, , 
9:10.0, , ,7-7, ,M. Turner misses 3-pt jump shot from 23 ft
9:06.0,Defensive rebound by J. Butler, ,7-7, , 
8:55.0,B. Adebayo makes 2-pt jump shot from 7 ft (assist by J. Butler),+2,9-7, , 
8:36.0, , ,9-7, ,D. Sabonis misses 2-pt layup from 1 ft
8:34.0,Defensive rebound by B. Adebayo, ,9-7, , 
8:27.0,B. Adebayo misses 2-pt layup from 8 ft (block by A. Holiday), ,9-7, , 
8:27.0,Offensive rebound by Team, ,9-7, , 
8:25.0,K. Nunn misses 2-pt jump shot from 14 ft, ,9-7, , 
8:23.0, , ,9-7, ,Defensive rebound by D. Sabonis
8:14.0, , ,9-7, ,Shooting foul by D. Robinson (drawn by T. Warren)
8:14.0, , ,9-8,+1,T. Warren makes free throw 1 of 2
8:14.0, , ,9-8, ,T. Warren misses free throw 2 of 2
8:12.0,Defensive rebound by M. Leonard, ,9-8, , 
7:59.0,D. Robinson misses 3-pt jump shot from 28 ft, ,9-8, , 
7:56.0, , ,9-8, ,Defensive rebound by D. Sabonis
7:46.0, , ,9-8, ,Turnover by D. Sabonis (bad pass; steal by M. Leonard)
7:43.0,K. Nunn makes 2-pt layup from 1 ft (assist by D. Robinson),+2,11-8, , 
7:29.0, , ,11-11,+3,J. Lamb makes 3-pt jump shot from 26 ft (assist by D. Sabonis)
7:09.0,B. Adebayo misses 2-pt jump shot from 21 ft, ,11-11, , 
7:06.0, , ,11-11, ,Defensive rebound by D. Sabonis
6:54.0, , ,11-11, ,A. Holiday misses 2-pt jump shot from 16 ft
6:51.0,Defensive rebound by M. Leonard, ,11-11, , 
6:45.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),+3,14-11, , 
6:28.0, , ,14-11, ,M. Turner misses 2-pt layup from 2 ft
6:26.0,Defensive rebound by M. Leonard, ,14-11, , 
6:17.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),+2,16-11, , 
5:50.0, , ,16-11, ,T. Warren misses 2-pt jump shot from 11 ft
5:47.0,Defensive rebound by B. Adebayo, ,16-11, , 
5:33.0,D. Robinson makes 3-pt jump shot from 23 ft,+3,19-11, , 
5:26.0, , ,19-11, ,Indiana full timeout
5:26.0,D. Jones enters the game for M. Leonard, ,19-11, , 
5:12.0, , ,19-11, ,A. Holiday misses 2-pt layup from 8 ft (block by B. Adebayo)
5:07.0, , ,19-11, ,Offensive rebound by D. Sabonis
5:07.0, , ,19-13,+2,D. Sabonis makes 2-pt layup from 1 ft
4:52.0,D. Robinson misses 3-pt jump shot from 27 ft, ,19-13, , 
4:49.0, , ,19-13, ,Defensive rebound by M. Turner
4:37.0, , ,19-15,+2,D. Sabonis makes 2-pt jump shot from 9 ft
4:26.0,K. Nunn makes 2-pt layup from 1 ft,+2,21-15, , 
4:11.0, , ,21-17,+2,M. Turner makes 2-pt jump shot from 16 ft (assist by D. Sabonis)
3:55.0,D. Jones makes 2-pt layup from 1 ft (assist by J. Butler),+2,23-17, , 
3:36.0, , ,23-19,+2,A. Holiday makes 2-pt layup from 2 ft
3:30.0,Miami full timeout, ,23-19, , 
3:30.0,G. Dragić enters the game for D. Robinson, ,23-19, , 
3:30.0, , ,23-19, ,J. Holiday enters the game for A. Holiday
3:30.0, , ,23-19, ,T. McConnell enters the game for J. Lamb
3:30.0, , ,23-19, ,E. Sumner enters the game for D. Sabonis
3:17.0,J. Butler makes 2-pt jump shot from 12 ft,+2,25-19, , 
2:59.0, , ,25-21,+2,J. Holiday makes 2-pt layup at rim (assist by M. Turner)
2:59.0, , ,25-21, ,Shooting foul by K. Nunn (drawn by J. Holiday)
2:59.0,T. Herro enters the game for K. Nunn, ,25-21, , 
2:59.0, , ,25-21, ,J. Holiday misses free throw 1 of 1
2:58.0,Defensive rebound by B. Adebayo, ,25-21, , 
2:50.0,J. Butler makes 2-pt dunk from 2 ft (assist by G. Dragić),+2,27-21, , 
2:32.0, , ,27-21, ,Turnover by T. McConnell (bad pass; steal by J. Butler)
2:29.0,J. Butler makes 2-pt dunk from 3 ft,+2,29-21, , 
2:06.0, , ,29-21, ,M. Turner misses 2-pt hook shot from 11 ft
2:03.0,Defensive rebound by B. Adebayo, ,29-21, , 
1:43.0,T. Herro misses 2-pt jump shot from 16 ft, ,29-21, , 
