time,away_description,away_change,score,home_change,home_description
11:56.0,J. Randle makes 2-pt layup from 1 ft (assist by A. Davis),+2,2-0, , 
11:44.0, , ,2-0, ,Personal foul by S. Hill (drawn by J. Tatum)
11:35.0, , ,2-2,+2,M. Morris makes 2-pt jump shot from 11 ft
11:12.0,A. Davis misses 2-pt layup from 4 ft, ,2-2, , 
11:09.0, , ,2-2, ,Defensive rebound by T. Rozier
10:55.0, , ,2-4,+2,J. Tatum makes 2-pt layup at rim (assist by M. Morris)
10:37.0,S. Hill makes 3-pt jump shot from 27 ft (assist by T. Frazier),+3,5-4, , 
10:20.0, , ,5-4, ,J. Tatum misses 3-pt jump shot from 25 ft
10:17.0,Defensive rebound by A. Davis, ,5-4, , 
10:06.0,J. Randle misses 2-pt jump shot from 20 ft, ,5-4, , 
10:05.0, , ,5-4, ,Defensive rebound by T. Rozier
9:54.0, , ,5-6,+2,T. Rozier makes 2-pt layup from 1 ft (assist by M. Morris)
9:33.0,J. Holiday makes 2-pt layup from 3 ft (assist by J. Randle),+2,7-6, , 
9:07.0, , ,7-6, ,Turnover by M. Morris (bad pass; steal by A. Davis)
8:51.0,J. Randle misses 2-pt hook shot from 8 ft, ,7-6, , 
8:49.0, , ,7-6, ,Defensive rebound by D. Theis
8:42.0, , ,7-8,+2,D. Theis makes 2-pt dunk from 1 ft (assist by T. Rozier)
8:25.0,Shooting foul by J. Tatum (drawn by J. Randle), ,7-8, , 
8:25.0,J. Randle misses free throw 1 of 2, ,7-8, , 
8:25.0,Offensive rebound by Team, ,7-8, , 
8:25.0,J. Randle makes free throw 2 of 2,+1,8-8, , 
8:12.0, , ,8-11,+3,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Morris)
7:58.0,T. Frazier makes 2-pt jump shot from 15 ft,+2,10-11, , 
7:37.0, , ,10-13,+2,J. Tatum makes 2-pt jump shot from 15 ft
7:26.0,A. Davis makes 2-pt jump shot from 22 ft (assist by T. Frazier),+2,12-13, , 
7:10.0, , ,12-13, ,M. Smart misses 3-pt jump shot from 25 ft
7:09.0, , ,12-13, ,Offensive rebound by D. Theis
7:08.0, , ,12-15,+2,D. Theis makes 2-pt dunk from 1 ft
6:59.0,Personal foul by D. Theis (drawn by A. Davis), ,12-15, , 
6:59.0, , ,12-15, ,Boston full timeout
6:43.0,A. Davis makes 2-pt jump shot from 22 ft (assist by J. Randle),+2,14-15, , 
6:31.0, , ,14-15, ,T. Rozier misses 3-pt jump shot from 25 ft
6:30.0,Defensive rebound by S. Hill, ,14-15, , 
6:19.0,Turnover by J. Randle (bad pass; steal by D. Theis), ,14-15, , 
6:09.0, , ,14-15, ,D. Theis misses 2-pt dunk from 2 ft
6:08.0,Defensive rebound by J. Randle, ,14-15, , 
6:04.0,S. Hill misses 3-pt jump shot from 29 ft, ,14-15, , 
6:02.0, , ,14-15, ,Defensive rebound by Team
6:02.0,N. Mirotić enters the game for J. Randle, ,14-15, , 
5:45.0, , ,14-15, ,D. Theis misses 2-pt jump shot from 17 ft
5:42.0,Defensive rebound by S. Hill, ,14-15, , 
5:30.0,Personal foul by D. Theis (drawn by A. Davis), ,14-15, , 
5:30.0, , ,14-15, ,J. Brown enters the game for M. Smart
5:30.0, , ,14-15, ,S. Ojeleye enters the game for J. Tatum
5:30.0, , ,14-15, ,R. Williams enters the game for D. Theis
5:24.0,N. Mirotić misses 2-pt jump shot from 20 ft, ,14-15, , 
5:23.0, , ,14-15, ,Defensive rebound by J. Brown
5:08.0, , ,14-15, ,M. Morris misses 3-pt jump shot from 25 ft
5:07.0,Defensive rebound by A. Davis, ,14-15, , 
5:00.0,A. Davis misses 2-pt jump shot from 8 ft, ,14-15, , 
4:59.0, , ,14-15, ,Defensive rebound by M. Morris
4:51.0, , ,14-15, ,Turnover by J. Brown (lost ball; steal by J. Holiday)
4:46.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by T. Frazier),+3,17-15, , 
4:24.0, , ,17-17,+2,M. Morris makes 2-pt layup at rim
4:20.0,Turnover by T. Frazier (bad pass), ,17-17, , 
4:20.0,D. Miller enters the game for T. Frazier, ,17-17, , 
4:10.0, , ,17-17, ,Shooting foul by A. Davis (drawn by M. Morris)
4:10.0, , ,17-18,+1,M. Morris makes free throw 1 of 2
4:10.0, , ,17-19,+1,M. Morris makes free throw 2 of 2
4:03.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),+2,19-19, , 
3:39.0, , ,19-21,+2,M. Morris makes 2-pt hook shot from 11 ft
3:30.0,N. Mirotić misses 3-pt jump shot from 25 ft, ,19-21, , 
3:29.0, , ,19-21, ,Defensive rebound by S. Ojeleye
3:24.0, , ,19-21, ,J. Brown misses 2-pt layup from 2 ft
3:24.0,Defensive rebound by N. Mirotić, ,19-21, , 
3:11.0,Turnover by J. Holiday (bad pass; steal by T. Rozier), ,19-21, , 
3:08.0, , ,19-21, ,J. Brown misses 3-pt jump shot from 23 ft
3:06.0, , ,19-21, ,Offensive rebound by R. Williams
3:06.0, , ,19-21, ,R. Williams misses 2-pt layup from 1 ft
3:04.0, , ,19-21, ,Offensive rebound by Team
3:00.0, , ,19-21, ,M. Morris misses 3-pt jump shot from 23 ft
2:58.0,Defensive rebound by J. Holiday, ,19-21, , 
2:51.0,A. Davis misses 2-pt hook shot from 4 ft (block by R. Williams), ,19-21, , 
2:50.0, , ,19-21, ,Defensive rebound by M. Morris
2:36.0, , ,19-21, ,J. Brown misses 3-pt jump shot from 25 ft
2:35.0, , ,19-21, ,Offensive rebound by S. Ojeleye
2:33.0, , ,19-21, ,Turnover by J. Brown (traveling)
2:33.0,New Orleans full timeout, ,19-21, , 
2:33.0,T. Frazier enters the game for S. Hill, ,19-21, , 
2:33.0,W. Johnson enters the game for J. Holiday, ,19-21, , 
2:33.0, , ,19-21, ,J. Tatum enters the game for M. Morris
2:33.0, , ,19-21, ,B. Wanamaker enters the game for T. Rozier
2:19.0,A. Davis misses 2-pt jump shot from 12 ft, ,19-21, , 
2:15.0, , ,19-21, ,Defensive rebound by J. Tatum
2:10.0, , ,19-21, ,S. Ojeleye misses 3-pt jump shot from 24 ft
2:09.0,Defensive rebound by A. Davis, ,19-21, , 
1:58.0,Turnover by T. Frazier (bad pass), ,19-21, , 
1:44.0, , ,19-23,+2,J. Tatum makes 2-pt jump shot from 16 ft
1:28.0,N. Mirotić misses 3-pt jump shot from 23 ft, ,19-23, , 
1:26.0, , ,19-23, ,Defensive rebound by R. Williams
1:19.0, , ,19-26,+3,J. Brown makes 3-pt jump shot from 26 ft (assist by B. Wanamaker)
1:08.0,New Orleans full timeout, ,19-26, , 
0:58.0,T. Frazier misses 2-pt jump shot from 13 ft, ,19-26, , 
0:57.0,Offensive rebound by Team, ,19-26, , 
0:48.0,N. Mirotić misses 3-pt jump shot from 24 ft, ,19-26, , 
0:43.0, , ,19-26, ,Defensive rebound by B. Wanamaker
0:39.0, , ,19-26, ,Shooting foul by D. Miller (drawn by J. Brown)
0:39.0, , ,19-27,+1,J. Brown makes free throw 1 of 2
0:39.0, , ,19-28,+1,J. Brown makes free throw 2 of 2
0:29.0,A. Davis makes 2-pt layup from 1 ft (assist by T. Frazier),+2,21-28, , 
0:07.0, , ,21-28, ,J. Tatum misses 3-pt jump shot from 25 ft
0:05.0, , ,21-28, ,Offensive rebound by R. Williams
0:05.0, , ,21-28, ,R. Williams misses 2-pt layup from 1 ft
0:01.0,Defensive rebound by A. Davis, ,21-28, , 
0:00.0,A. Davis misses 3-pt jump shot from 27 ft, ,21-28, , 
0:00.0,Offensive rebound by Team, ,21-28, , 
11:46.0, , ,21-28, ,Personal foul by D. Miller (drawn by J. Brown)
11:38.0, , ,21-30,+2,S. Ojeleye makes 2-pt layup from 1 ft (assist by B. Wanamaker)
