time,away_description,away_change,score,home_change,home_description
11:39.0, , ,0-0, ,Turnover by J. Embiid (bad pass; steal by T. Rozier)
11:34.0,M. Bridges makes 2-pt layup from 1 ft (assist by T. Rozier),+2,2-0, , 
11:17.0, , ,2-0, ,T. Maxey misses 2-pt jump shot from 13 ft
11:14.0,Defensive rebound by P. Washington, ,2-0, , 
11:00.0,M. Plumlee misses 2-pt layup from 2 ft, ,2-0, , 
10:57.0, , ,2-0, ,Defensive rebound by J. Embiid
10:55.0, , ,2-2,+2,M. Thybulle makes 2-pt dunk from 1 ft (assist by J. Embiid)
10:38.0,L. Ball makes 3-pt jump shot from 27 ft (assist by M. Plumlee),+3,5-2, , 
10:26.0, , ,5-2, ,J. Harden misses 3-pt jump shot from 27 ft
10:23.0,Defensive rebound by M. Plumlee, ,5-2, , 
10:17.0,Shooting foul by M. Thybulle (drawn by T. Rozier), ,5-2, , 
10:17.0,T. Rozier makes free throw 1 of 3,+1,6-2, , 
10:17.0,T. Rozier makes free throw 2 of 3,+1,7-2, , 
10:17.0,T. Rozier makes free throw 3 of 3,+1,8-2, , 
10:01.0, , ,8-5,+3,T. Harris makes 3-pt jump shot from 26 ft (assist by J. Harden)
9:42.0,T. Rozier misses 3-pt jump shot from 23 ft, ,8-5, , 
9:40.0, , ,8-5, ,Defensive rebound by T. Harris
9:29.0, , ,8-5, ,Turnover by T. Harris (bad pass; steal by P. Washington)
9:20.0,P. Washington misses 2-pt layup from 4 ft, ,8-5, , 
9:20.0, , ,8-5, ,Defensive rebound by J. Embiid
9:20.0, , ,8-5, ,Personal foul by M. Plumlee (drawn by J. Embiid)
9:02.0, , ,8-5, ,T. Harris misses 2-pt jump shot from 9 ft
8:59.0,Defensive rebound by M. Bridges, ,8-5, , 
8:52.0,Shooting foul by T. Maxey (drawn by T. Rozier), ,8-5, , 
8:52.0,T. Rozier makes free throw 1 of 2,+1,9-5, , 
8:52.0,T. Rozier misses free throw 2 of 2, ,9-5, , 
8:49.0, , ,9-5, ,Defensive rebound by J. Harden
8:35.0, , ,9-7,+2,J. Embiid makes 2-pt hook shot from 8 ft (assist by J. Harden)
8:26.0,M. Bridges misses 3-pt jump shot from 27 ft, ,9-7, , 
8:26.0, , ,9-7, ,Defensive rebound by M. Thybulle
