time,away_description,away_change,score,home_change,home_description
11:46.0, , ,0-2,+2,A. Len makes 2-pt dunk from 2 ft (assist by R. Westbrook)
11:24.0,J. Allen makes 2-pt layup from 3 ft,+2,2-2, , 
11:08.0, , ,2-2, ,R. Hachimura misses 2-pt hook shot from 8 ft
11:06.0,Defensive rebound by C. Osman, ,2-2, , 
10:59.0,J. Allen makes 2-pt jump shot from 11 ft (assist by C. Osman),+2,4-2, , 
10:49.0, , ,4-2, ,Shooting foul by C. Osman (drawn by D. Bertāns)
10:49.0, , ,4-3,+1,D. Bertāns makes free throw 1 of 3
10:49.0, , ,4-4,+1,D. Bertāns makes free throw 2 of 3
10:49.0, , ,4-4, ,D. Bertāns misses free throw 3 of 3
10:47.0,Defensive rebound by J. Allen, ,4-4, , 
10:31.0,C. Sexton makes 2-pt layup from 4 ft (assist by C. Osman),+2,6-4, , 
10:11.0, , ,6-4, ,R. Hachimura misses 2-pt jump shot from 15 ft
10:08.0,Defensive rebound by D. Wade, ,6-4, , 
10:00.0,Turnover by C. Osman (lost ball; steal by D. Bertāns), ,6-4, , 
9:58.0, , ,6-4, ,D. Bertāns misses 3-pt jump shot from 28 ft
9:54.0,Defensive rebound by I. Okoro, ,6-4, , 
9:45.0,C. Sexton misses 2-pt layup from 8 ft, ,6-4, , 
9:42.0, , ,6-4, ,Defensive rebound by A. Len
9:38.0, , ,6-6,+2,R. Hachimura makes 2-pt layup from 8 ft (assist by R. Westbrook)
9:22.0,C. Sexton misses 2-pt layup from 2 ft (block by C. Hutchison), ,6-6, , 
9:22.0,Offensive rebound by Team, ,6-6, , 
9:13.0,I. Okoro misses 3-pt jump shot from 25 ft, ,6-6, , 
9:09.0, , ,6-6, ,Defensive rebound by A. Len
8:59.0, , ,6-6, ,C. Hutchison misses 2-pt layup from 5 ft
8:57.0, , ,6-6, ,Offensive rebound by A. Len
8:56.0, , ,6-6, ,A. Len misses 2-pt layup from 4 ft
8:56.0, , ,6-6, ,Offensive rebound by A. Len
8:56.0, , ,6-8,+2,A. Len makes 2-pt layup at rim
8:38.0,C. Osman makes 2-pt jump shot from 13 ft,+2,8-8, , 
8:24.0, , ,8-10,+2,R. Hachimura makes 2-pt jump shot from 12 ft
8:09.0,I. Okoro misses 3-pt jump shot from 26 ft, ,8-10, , 
8:05.0,Offensive rebound by I. Okoro, ,8-10, , 
7:57.0,Shooting foul by D. Bertāns (drawn by D. Wade), ,8-10, , 
7:57.0,D. Wade makes free throw 1 of 2,+1,9-10, , 
7:57.0,D. Wade makes free throw 2 of 2,+1,10-10, , 
7:44.0, , ,10-10, ,R. Hachimura misses 3-pt jump shot from 26 ft
7:42.0,Defensive rebound by J. Allen, ,10-10, , 
7:32.0,J. Allen makes 2-pt jump shot from 6 ft (assist by I. Okoro),+2,12-10, , 
7:23.0, , ,12-10, ,R. Westbrook misses 3-pt jump shot from 27 ft
7:20.0,Defensive rebound by D. Wade, ,12-10, , 
7:16.0,I. Okoro makes 3-pt jump shot from 26 ft (assist by C. Sexton),+3,15-10, , 
7:00.0, , ,15-10, ,R. Hachimura misses 2-pt jump shot from 10 ft
6:58.0,Defensive rebound by D. Wade, ,15-10, , 
6:46.0,Turnover by C. Osman (bad pass), ,15-10, , 
6:46.0, , ,15-10, ,Washington full timeout
6:46.0,D. Garland enters the game for C. Sexton, ,15-10, , 
6:34.0, , ,15-12,+2,R. Westbrook makes 2-pt layup from 3 ft
6:21.0,Shooting foul by A. Len (drawn by J. Allen), ,15-12, , 
6:21.0,J. Allen misses free throw 1 of 2, ,15-12, , 
6:21.0,Offensive rebound by Team, ,15-12, , 
6:21.0,M. Kabengele enters the game for D. Wade, ,15-12, , 
6:21.0, , ,15-12, ,D. Gafford enters the game for A. Len
6:21.0, , ,15-12, ,I. Smith enters the game for R. Westbrook
6:21.0,J. Allen makes free throw 2 of 2,+1,16-12, , 
6:03.0, , ,16-14,+2,C. Hutchison makes 2-pt layup from 2 ft (assist by I. Smith)
6:03.0, , ,16-14, ,Shooting foul by I. Okoro (drawn by C. Hutchison)
6:03.0, , ,16-15,+1,C. Hutchison makes free throw 1 of 1
5:45.0,J. Allen misses 2-pt hook shot from 3 ft, ,16-15, , 
5:44.0, , ,16-15, ,Defensive rebound by C. Hutchison
5:41.0, , ,16-15, ,Turnover by C. Hutchison (bad pass)
5:28.0,C. Osman makes 2-pt jump shot from 13 ft (assist by I. Okoro),+2,18-15, , 
5:09.0, , ,18-15, ,Personal foul by M. Kabengele (drawn by R. Hachimura)
5:09.0,B. Thomas enters the game for C. Osman, ,18-15, , 
5:09.0, , ,18-15, ,A. Gill enters the game for D. Bertāns
5:03.0, , ,18-15, ,Shooting foul by J. Allen (drawn by D. Gafford)
