time,away_description,away_change,score,home_change,home_description
11:57.0, , ,0-0, ,B. Ingram misses 2-pt layup from 1 ft
11:56.0,Defensive rebound by J. Brunson, ,0-0, , 
11:39.0,K. Porziņģis makes 2-pt jump shot from 8 ft,+2,2-0, , 
11:31.0, , ,2-0, ,Turnover by B. Ingram (bad pass; steal by D. Finney-Smith)
11:17.0,C. Lee misses 2-pt layup from 8 ft, ,2-0, , 
11:16.0,Offensive rebound by Team, ,2-0, , 
11:14.0,K. Porziņģis misses 2-pt jump shot from 13 ft, ,2-0, , 
11:11.0, , ,2-0, ,Defensive rebound by L. Ball
11:02.0,Violation by Team (kicked ball), ,2-0, , 
10:55.0, , ,2-2,+2,D. Favors makes 2-pt layup from 3 ft (assist by J. Redick)
10:37.0,D. Finney-Smith misses 3-pt jump shot from 22 ft, ,2-2, , 
10:32.0, , ,2-2, ,Defensive rebound by L. Ball
10:30.0, , ,2-2, ,L. Ball misses 3-pt jump shot from 26 ft
10:22.0,Defensive rebound by J. Brunson, ,2-2, , 
10:14.0,L. Dončić misses 2-pt jump shot from 3 ft, ,2-2, , 
10:13.0,Offensive rebound by D. Finney-Smith, ,2-2, , 
10:13.0,D. Finney-Smith makes 2-pt dunk from 1 ft,+2,4-2, , 
10:02.0, , ,4-5,+3,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Ingram)
9:44.0,Turnover by K. Porziņģis (lost ball; steal by J. Holiday), ,4-5, , 
9:39.0, , ,4-7,+2,L. Ball makes 2-pt dunk from 1 ft (assist by J. Holiday)
9:29.0,Turnover by D. Finney-Smith (bad pass), ,4-7, , 
9:13.0, , ,4-7, ,D. Favors misses 2-pt dunk from 2 ft (block by K. Porziņģis)
9:06.0, , ,4-7, ,Offensive rebound by D. Favors
9:06.0, , ,4-10,+3,B. Ingram makes 3-pt jump shot from 26 ft (assist by D. Favors)
9:06.0,Dallas full timeout, ,4-10, , 
8:50.0,C. Lee makes 2-pt jump shot from 18 ft (assist by J. Brunson),+2,6-10, , 
8:25.0, , ,6-12,+2,D. Favors makes 2-pt hook shot from 3 ft
