time,away_description,away_change,score,home_change,home_description
11:43.0,K. Towns misses 2-pt jump shot from 2 ft, ,0-0, , 
11:40.0,Offensive rebound by A. Edwards, ,0-0, , 
11:36.0,J. Vanderbilt misses 2-pt layup from 3 ft, ,0-0, , 
11:33.0, , ,0-0, ,Defensive rebound by R. Hachimura
11:23.0, , ,0-0, ,Turnover by R. Westbrook (bad pass; steal by R. Rubio)
11:14.0,J. Vanderbilt makes 2-pt dunk from 3 ft (assist by R. Rubio),+2,2-0, , 
10:59.0, , ,2-2,+2,R. Hachimura makes 2-pt hook shot from 3 ft (assist by R. Westbrook)
10:45.0,J. Vanderbilt misses 2-pt layup from 3 ft, ,2-2, , 
10:42.0,Offensive rebound by J. Vanderbilt, ,2-2, , 
10:34.0,J. Vanderbilt misses 2-pt layup from 3 ft, ,2-2, , 
10:31.0, , ,2-2, ,Defensive rebound by B. Beal
10:26.0, , ,2-4,+2,R. Hachimura makes 2-pt layup from 5 ft (assist by B. Beal)
10:16.0,A. Edwards misses 3-pt jump shot from 28 ft, ,2-4, , 
10:13.0,Offensive rebound by K. Towns, ,2-4, , 
10:12.0,J. Vanderbilt makes 2-pt layup from 3 ft (assist by K. Towns),+2,4-4, , 
10:12.0,Shooting foul by M. Wagner (drawn by J. Vanderbilt), ,4-4, , 
10:12.0,J. Vanderbilt misses free throw 1 of 1, ,4-4, , 
10:08.0, , ,4-4, ,Defensive rebound by R. Westbrook
10:02.0, , ,4-6,+2,B. Beal makes 2-pt layup from 3 ft
9:40.0,A. Edwards makes 2-pt layup from 2 ft,+2,6-6, , 
9:21.0, , ,6-9,+3,M. Wagner makes 3-pt jump shot from 27 ft (assist by R. Hachimura)
9:05.0,K. Towns makes 2-pt layup from 3 ft,+2,8-9, , 
8:51.0, , ,8-12,+3,M. Wagner makes 3-pt jump shot from 28 ft (assist by R. Westbrook)
8:32.0,A. Edwards misses 2-pt layup from 4 ft, ,8-12, , 
8:30.0,Offensive rebound by A. Edwards, ,8-12, , 
8:23.0,A. Edwards misses 2-pt layup from 5 ft, ,8-12, , 
8:18.0,Offensive rebound by K. Towns, ,8-12, , 
8:17.0,K. Towns makes 2-pt layup from 2 ft,+2,10-12, , 
8:12.0, , ,10-12, ,R. Westbrook misses 2-pt jump shot from 16 ft
8:12.0,Defensive rebound by K. Towns, ,10-12, , 
8:10.0,J. Okogie makes 2-pt layup from 3 ft (assist by R. Rubio),+2,12-12, , 
8:10.0, , ,12-12, ,Washington full timeout
