time,away_description,away_change,score,home_change,home_description
3:12.0, , ,18-20, ,T. Luwawu-Cabarrot enters the game for D. Hunter
3:12.0, , ,18-21,+1,T. Young makes free throw 2 of 2
3:00.0,Q. Grimes makes 3-pt jump shot from 23 ft (assist by J. Randle),+3,21-21, , 
2:45.0, , ,21-23,+2,T. Young makes 2-pt layup from 1 ft
2:29.0,J. Randle misses 3-pt jump shot from 25 ft, ,21-23, , 
2:25.0, , ,21-23, ,Defensive rebound by O. Okongwu
2:14.0, , ,21-23, ,D. Gallinari misses 2-pt jump shot from 13 ft
2:12.0,Defensive rebound by I. Quickley, ,21-23, , 
1:52.0,R. Barrett misses 2-pt jump shot from 8 ft, ,21-23, , 
1:48.0,Offensive rebound by Q. Grimes, ,21-23, , 
1:47.0,Q. Grimes makes 2-pt jump shot from 20 ft,+2,23-23, , 
1:36.0, , ,23-23, ,T. Young misses 3-pt jump shot from 32 ft
1:33.0,Defensive rebound by T. Gibson, ,23-23, , 
1:23.0,T. Gibson makes 2-pt layup at rim (assist by J. Randle),+2,25-23, , 
1:22.0, , ,25-23, ,Atlanta full timeout
1:22.0,O. Toppin enters the game for J. Randle, ,25-23, , 
1:22.0, , ,25-23, ,L. Williams enters the game for T. Young
1:05.0, , ,25-23, ,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft
1:03.0, , ,25-23, ,Offensive rebound by D. Wright
0:57.0, , ,25-26,+3,D. Gallinari makes 3-pt jump shot from 26 ft
0:43.0,T. Gibson makes 2-pt jump shot from 5 ft (assist by Q. Grimes),+2,27-26, , 
0:32.0, , ,27-26, ,L. Williams misses 3-pt jump shot from 26 ft
0:29.0,Defensive rebound by R. Barrett, ,27-26, , 
0:23.0,R. Barrett makes 2-pt layup at rim,+2,29-26, , 
0:23.0,Shooting foul by O. Okongwu (drawn by R. Barrett), ,29-26, , 
0:23.0,R. Barrett makes free throw 1 of 1,+1,30-26, , 
0:03.0, , ,30-26, ,Personal foul by Q. Grimes (drawn by L. Williams)
0:03.0, , ,30-27,+1,L. Williams makes free throw 1 of 2
0:03.0, , ,30-27, ,J. Collins enters the game for O. Okongwu
0:03.0, , ,30-28,+1,L. Williams makes free throw 2 of 2
0:02.0,Personal foul by J. Collins (drawn by T. Gibson), ,30-28, , 
0:02.0,T. Gibson makes free throw 1 of 2,+1,31-28, , 
0:02.0,T. Gibson misses free throw 2 of 2, ,31-28, , 
0:00.0, , ,31-28, ,Defensive rebound by J. Collins
11:48.0,R. Barrett misses 3-pt jump shot from 25 ft, ,31-28, , 
11:44.0, , ,31-28, ,Defensive rebound by L. Williams
11:31.0, , ,31-31,+3,D. Wright makes 3-pt jump shot from 25 ft (assist by L. Williams)
11:06.0,R. Barrett misses 2-pt layup from 1 ft, ,31-31, , 
11:05.0,Offensive rebound by Team, ,31-31, , 
11:05.0,Turnover by Team (shot clock), ,31-31, , 
10:48.0, , ,31-33,+2,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by L. Williams)
10:33.0,I. Quickley makes 3-pt jump shot from 25 ft (assist by R. Barrett),+3,34-33, , 
10:13.0, , ,34-33, ,D. Gallinari misses 3-pt jump shot from 27 ft
10:10.0,Defensive rebound by I. Quickley, ,34-33, , 
