time,away_description,away_change,score,home_change,home_description
2:52.0,D. Reed makes 2-pt jump shot from 11 ft (assist by B. Hyland),+2,18-21, , 
2:29.0, , ,18-24,+3,D. Augustin makes 3-pt jump shot from 23 ft (assist by C. Anthony)
2:15.0,W. Barton misses 3-pt jump shot from 26 ft, ,18-24, , 
2:13.0, , ,18-24, ,Defensive rebound by S. Johnson
1:55.0, , ,18-26,+2,C. Anthony makes 2-pt jump shot from 16 ft (assist by S. Johnson)
1:41.0,D. Cousins misses 3-pt jump shot from 26 ft, ,18-26, , 
1:38.0, , ,18-26, ,Defensive rebound by C. Anthony
1:23.0, , ,18-26, ,Turnover by M. Monk (out of bounds lost ball)
1:23.0, , ,18-26, ,LA Lakers full timeout
1:23.0,A. Gordon enters the game for W. Barton, ,18-26, , 
1:23.0, , ,18-26, ,W. Gabriel enters the game for D. Howard
1:23.0, , ,18-26, ,R. Westbrook enters the game for M. Monk
1:14.0,Shooting foul by W. Gabriel (drawn by D. Cousins), ,18-26, , 
1:14.0,D. Cousins makes free throw 1 of 2,+1,19-26, , 
1:14.0,D. Cousins makes free throw 2 of 2,+1,20-26, , 
0:59.0, , ,20-26, ,Turnover by S. Johnson (bad pass; steal by D. Reed)
0:52.0,A. Gordon makes 2-pt dunk from 2 ft (assist by D. Cousins),+2,22-26, , 
0:41.0, , ,22-28,+2,R. Westbrook makes 2-pt jump shot from 20 ft (assist by W. Gabriel)
0:22.0,D. Cousins makes 2-pt hook shot from 4 ft (assist by B. Hyland),+2,24-28, , 
0:00.0, , ,24-28, ,S. Johnson misses 3-pt jump shot from 27 ft
0:00.0, , ,24-28, ,Offensive rebound by Team
11:48.0,A. Gordon makes 2-pt layup from 2 ft (assist by B. Hyland),+2,26-28, , 
11:36.0, , ,26-28, ,C. Anthony misses 3-pt jump shot from 26 ft
11:33.0,Defensive rebound by B. Hyland, ,26-28, , 
11:24.0,B. Hyland makes 2-pt jump shot from 17 ft,+2,28-28, , 
11:19.0, , ,28-28, ,Personal foul by D. Cousins (drawn by R. Westbrook)
11:05.0, , ,28-30,+2,W. Gabriel makes 2-pt layup from 4 ft (assist by C. Anthony)
10:44.0,D. Cousins misses 2-pt layup from 2 ft (block by W. Gabriel), ,28-30, , 
10:41.0, , ,28-30, ,Defensive rebound by W. Gabriel
10:38.0, , ,28-32,+2,R. Westbrook makes 2-pt jump shot from 10 ft
10:27.0,D. Cousins makes 2-pt layup from 3 ft (assist by D. Reed),+2,30-32, , 
10:27.0,Shooting foul by W. Gabriel (drawn by D. Cousins), ,30-32, , 
10:27.0,D. Cousins misses free throw 1 of 1, ,30-32, , 
10:24.0, , ,30-32, ,Defensive rebound by T. Horton-Tucker
10:06.0, , ,30-34,+2,C. Anthony makes 2-pt jump shot from 12 ft
10:01.0,Personal foul by C. Anthony (drawn by D. Reed), ,30-34, , 
9:46.0,A. Gordon makes 2-pt dunk from 2 ft (assist by D. Reed),+2,32-34, , 
9:30.0, , ,32-34, ,T. Horton-Tucker misses 2-pt jump shot from 15 ft
9:28.0,Defensive rebound by A. Gordon, ,32-34, , 
9:21.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by D. Cousins),+3,35-34, , 
9:19.0, , ,35-34, ,LA Lakers full timeout
9:07.0, , ,35-36,+2,R. Westbrook makes 2-pt layup from 4 ft
9:07.0,Violation by Team (def goaltending), ,35-36, , 
8:53.0,B. Hyland misses 3-pt jump shot from 27 ft, ,35-36, , 
8:48.0,Offensive rebound by D. Cousins, ,35-36, , 
8:46.0,D. Cousins makes 2-pt layup from 1 ft,+2,37-36, , 
8:28.0, , ,37-38,+2,W. Gabriel makes 2-pt jump shot from 9 ft (assist by R. Westbrook)
8:04.0,A. Gordon misses 2-pt jump shot from 22 ft, ,37-38, , 
8:02.0, , ,37-38, ,Defensive rebound by R. Westbrook
8:00.0, , ,37-40,+2,C. Anthony makes 2-pt layup from 1 ft (assist by R. Westbrook)
8:00.0,Denver full timeout, ,37-40, , 
8:00.0,J. Green enters the game for A. Gordon, ,37-40, , 
8:00.0,M. Morris enters the game for A. Rivers, ,37-40, , 
8:00.0, , ,37-40, ,D. Augustin enters the game for C. Anthony
8:00.0, , ,37-40, ,A. Davis enters the game for S. Johnson
7:37.0,D. Reed misses 2-pt layup from 11 ft (block by A. Davis), ,37-40, , 
7:33.0, , ,37-40, ,Defensive rebound by R. Westbrook
7:33.0, , ,37-42,+2,T. Horton-Tucker makes 2-pt layup from 3 ft (assist by R. Westbrook)
7:33.0, , ,37-42, ,Shooting foul by B. Hyland (drawn by T. Horton-Tucker)
7:33.0,W. Barton enters the game for D. Cousins, ,37-42, , 
7:33.0,N. Jokić enters the game for D. Reed, ,37-42, , 
7:33.0, , ,37-42, ,D. Howard enters the game for W. Gabriel
7:33.0, , ,37-43,+1,T. Horton-Tucker makes free throw 1 of 1
7:12.0,N. Jokić makes 2-pt jump shot from 18 ft (assist by J. Green),+2,39-43, , 
6:48.0, , ,39-43, ,T. Horton-Tucker misses 3-pt jump shot from 24 ft
6:45.0,Defensive rebound by N. Jokić, ,39-43, , 
6:35.0,N. Jokić misses 3-pt jump shot from 26 ft, ,39-43, , 
6:33.0, , ,39-43, ,Defensive rebound by D. Howard
6:27.0, , ,39-45,+2,A. Davis makes 2-pt layup from 4 ft
6:27.0, , ,39-45, ,Shooting foul by J. Green (drawn by A. Davis)
6:27.0,A. Gordon enters the game for J. Green, ,39-45, , 
6:27.0, , ,39-46,+1,A. Davis makes free throw 1 of 1
6:11.0,B. Hyland misses 3-pt jump shot from 23 ft, ,39-46, , 
6:09.0, , ,39-46, ,Defensive rebound by D. Howard
5:59.0, , ,39-48,+2,R. Westbrook makes 2-pt layup from 2 ft
5:50.0,W. Barton makes 2-pt layup from 3 ft,+2,41-48, , 
