time,away_description,away_change,score,home_change,home_description
11:44.0,J. Allen misses 2-pt hook shot from 4 ft, ,0-0, , 
11:41.0, , ,0-0, ,Defensive rebound by A. Gordon
11:30.0, , ,0-0, ,M. Fultz misses 3-pt jump shot from 26 ft
11:25.0,Defensive rebound by T. Prince, ,0-0, , 
11:10.0,T. Prince misses 3-pt jump shot from 23 ft, ,0-0, , 
11:07.0, , ,0-0, ,Defensive rebound by N. Vučević
11:03.0, , ,0-0, ,Turnover by A. Gordon (out of bounds lost ball)
10:52.0,Personal foul by W. Iwundu (drawn by J. Allen), ,0-0, , 
10:46.0,J. Harris makes 3-pt jump shot from 27 ft (assist by G. Temple),+3,3-0, , 
10:26.0, , ,3-3,+3,W. Iwundu makes 3-pt jump shot from 25 ft
10:12.0,S. Dinwiddie misses 3-pt jump shot from 27 ft, ,3-3, , 
10:10.0, , ,3-3, ,Defensive rebound by M. Fultz
10:04.0, , ,3-5,+2,M. Fultz makes 2-pt layup from 3 ft
9:48.0,J. Harris makes 2-pt layup from 2 ft (assist by J. Allen),+2,5-5, , 
9:34.0, , ,5-5, ,A. Gordon misses 3-pt jump shot from 26 ft
9:31.0,Defensive rebound by G. Temple, ,5-5, , 
9:24.0,G. Temple misses 2-pt jump shot from 11 ft, ,5-5, , 
9:21.0,Offensive rebound by J. Allen, ,5-5, , 
9:19.0,S. Dinwiddie misses 3-pt jump shot from 26 ft, ,5-5, , 
9:16.0, , ,5-5, ,Defensive rebound by N. Vučević
9:10.0, , ,5-7,+2,M. Fultz makes 2-pt layup from 3 ft
9:01.0,T. Prince makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),+3,8-7, , 
8:47.0, , ,8-9,+2,M. Fultz makes 2-pt jump shot from 17 ft
8:35.0,G. Temple misses 3-pt jump shot from 25 ft, ,8-9, , 
8:35.0, , ,8-9, ,Defensive rebound by N. Vučević
8:22.0, , ,8-12,+3,M. Fultz makes 3-pt jump shot from 25 ft (assist by N. Vučević)
8:05.0,J. Allen misses 2-pt layup from 4 ft, ,8-12, , 
8:02.0, , ,8-12, ,Defensive rebound by N. Vučević
7:56.0, , ,8-12, ,W. Iwundu misses 3-pt jump shot from 25 ft
7:54.0,Defensive rebound by J. Allen, ,8-12, , 
7:42.0,T. Prince misses 3-pt jump shot from 25 ft, ,8-12, , 
7:40.0, , ,8-12, ,Defensive rebound by N. Vučević
7:33.0, , ,8-12, ,Turnover by M. Fultz (lost ball; steal by J. Allen)
7:22.0,G. Temple misses 3-pt jump shot from 23 ft, ,8-12, , 
7:17.0, , ,8-12, ,Defensive rebound by W. Iwundu
7:05.0, , ,8-12, ,Turnover by N. Vučević (bad pass; steal by J. Allen)
7:02.0,Shooting foul by E. Fournier (drawn by G. Temple), ,8-12, , 
7:02.0,G. Temple makes free throw 1 of 2,+1,9-12, , 
7:02.0,G. Temple misses free throw 2 of 2, ,9-12, , 
6:59.0, , ,9-12, ,Defensive rebound by N. Vučević
6:48.0, , ,9-12, ,Personal foul by T. Prince (drawn by A. Gordon)
6:48.0, , ,9-12, ,Orlando full timeout
6:36.0, , ,9-12, ,M. Fultz misses 2-pt jump shot from 13 ft
6:33.0,Defensive rebound by J. Allen, ,9-12, , 
6:20.0,T. Prince misses 3-pt jump shot from 25 ft, ,9-12, , 
6:17.0, , ,9-12, ,Defensive rebound by N. Vučević
6:10.0, , ,9-12, ,E. Fournier misses 2-pt jump shot from 20 ft
6:07.0,Defensive rebound by J. Harris, ,9-12, , 
5:59.0,S. Dinwiddie misses 2-pt jump shot from 9 ft, ,9-12, , 
5:56.0, , ,9-12, ,Defensive rebound by A. Gordon
5:52.0, , ,9-14,+2,A. Gordon makes 2-pt layup from 2 ft
5:26.0,S. Dinwiddie makes 3-pt jump shot from 28 ft (assist by G. Temple),+3,12-14, , 
5:00.0, , ,12-14, ,N. Vučević misses 2-pt jump shot from 15 ft
4:57.0,Defensive rebound by T. Prince, ,12-14, , 
4:49.0,J. Allen misses 2-pt hook shot from 7 ft, ,12-14, , 
4:45.0, , ,12-14, ,Defensive rebound by N. Vučević
4:39.0, , ,12-16,+2,W. Iwundu makes 2-pt layup from 2 ft (assist by M. Fultz)
4:23.0,J. Harris makes 2-pt layup from 2 ft,+2,14-16, , 
4:23.0,Shooting foul by N. Vučević (drawn by J. Harris), ,14-16, , 
