time,away_description,away_change,score,home_change,home_description
11:46.0,A. Davis misses 2-pt jump shot from 19 ft, ,0-0, , 
11:42.0, , ,0-0, ,Defensive rebound by B. Ingram
11:29.0, , ,0-0, ,J. Redick misses 2-pt jump shot from 14 ft
11:26.0,Defensive rebound by A. Davis, ,0-0, , 
11:18.0,D. Green makes 2-pt layup from 2 ft (assist by A. Davis),+2,2-0, , 
11:00.0, , ,2-0, ,Turnover by J. Hayes (bad pass; steal by D. Green)
10:55.0,A. Davis makes 2-pt dunk from 1 ft (assist by L. James),+2,4-0, , 
10:49.0, , ,4-3,+3,B. Ingram makes 3-pt jump shot from 26 ft
10:43.0,Turnover by L. James (bad pass; steal by J. Holiday), ,4-3, , 
10:38.0, , ,4-3, ,Turnover by J. Holiday (lost ball; steal by L. James)
10:30.0,Turnover by J. McGee (bad pass; steal by J. Holiday), ,4-3, , 
10:26.0, , ,4-6,+3,J. Holiday makes 3-pt jump shot from 26 ft
10:12.0,A. Davis misses 2-pt jump shot from 15 ft, ,4-6, , 
10:08.0, , ,4-6, ,Defensive rebound by B. Ingram
9:58.0, , ,4-6, ,J. Holiday misses 2-pt jump shot from 9 ft
9:55.0,Defensive rebound by J. McGee, ,4-6, , 
9:37.0,A. Davis misses 2-pt jump shot from 12 ft, ,4-6, , 
9:35.0, , ,4-6, ,Defensive rebound by B. Ingram
9:31.0, , ,4-6, ,Offensive foul by B. Ingram (drawn by D. Green)
9:31.0, , ,4-6, ,Turnover by B. Ingram (offensive foul)
9:17.0,Turnover by D. Green (bad pass), ,4-6, , 
9:05.0, , ,4-6, ,J. Holiday misses 2-pt layup from 3 ft
9:00.0,Defensive rebound by J. McGee, ,4-6, , 
8:56.0,L. James makes 2-pt layup from 2 ft,+2,6-6, , 
8:45.0, , ,6-6, ,B. Ingram misses 3-pt jump shot from 25 ft
8:42.0, , ,6-6, ,Offensive rebound by K. Williams
8:37.0, , ,6-6, ,J. Redick misses 2-pt jump shot from 18 ft
8:37.0,Defensive rebound by Team, ,6-6, , 
8:24.0,A. Davis makes 2-pt jump shot from 9 ft,+2,8-6, , 
8:06.0, , ,8-6, ,J. Holiday misses 2-pt layup from 6 ft
8:04.0,Defensive rebound by J. McGee, ,8-6, , 
7:52.0,J. McGee misses 2-pt layup from 6 ft (block by J. Hayes), ,8-6, , 
7:51.0,Offensive rebound by J. McGee, ,8-6, , 
7:51.0,J. McGee misses 2-pt layup from 2 ft, ,8-6, , 
7:51.0, , ,8-6, ,Defensive rebound by Team
7:32.0, , ,8-6, ,Shooting foul by J. McGee (drawn by B. Ingram)
7:32.0, , ,8-7,+1,B. Ingram makes free throw 1 of 2
7:32.0, , ,8-8,+1,B. Ingram makes free throw 2 of 2
7:18.0,A. Davis makes 2-pt hook shot from 5 ft,+2,10-8, , 
7:09.0, , ,10-11,+3,K. Williams makes 3-pt jump shot from 27 ft (assist by J. Holiday)
6:55.0,A. Davis misses 2-pt hook shot from 9 ft, ,10-11, , 
6:52.0, , ,10-11, ,Defensive rebound by J. Holiday
6:50.0, , ,10-11, ,Shooting foul by D. Green (drawn by J. Redick)
6:50.0, , ,10-11, ,New Orleans full timeout
6:50.0, , ,10-11, ,J. Okafor enters the game for J. Hayes
6:50.0, , ,10-11, ,J. Redick misses free throw 1 of 2
6:50.0, , ,10-11, ,Offensive rebound by Team
6:50.0, , ,10-12,+1,J. Redick makes free throw 2 of 2
6:43.0,D. Green misses 3-pt jump shot from 23 ft, ,10-12, , 
6:39.0, , ,10-12, ,Defensive rebound by B. Ingram
6:31.0, , ,10-12, ,B. Ingram misses 2-pt jump shot from 9 ft
6:31.0, , ,10-12, ,Offensive rebound by J. Okafor
6:31.0, , ,10-12, ,Personal foul by J. McGee (drawn by J. Okafor)
6:29.0, , ,10-15,+3,J. Redick makes 3-pt jump shot from 27 ft (assist by J. Holiday)
6:11.0,J. McGee makes 2-pt jump shot from 7 ft (assist by K. Caldwell-Pope),+2,12-15, , 
6:04.0, , ,12-18,+3,K. Williams makes 3-pt jump shot from 23 ft (assist by J. Holiday)
5:40.0,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by L. James),+2,14-18, , 
5:28.0, , ,14-18, ,Personal foul by A. Davis (drawn by J. Okafor)
5:28.0,K. Kuzma enters the game for D. Green, ,14-18, , 
5:28.0,R. Rondo enters the game for J. McGee, ,14-18, , 
5:21.0, , ,14-21,+3,J. Holiday makes 3-pt jump shot from 25 ft
5:06.0,Offensive foul by K. Kuzma (drawn by B. Ingram), ,14-21, , 
5:06.0,Turnover by K. Kuzma (offensive foul), ,14-21, , 
4:57.0, , ,14-21, ,Turnover by J. Holiday (bad pass; steal by A. Davis)
4:49.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft, ,14-21, , 
4:46.0, , ,14-21, ,Defensive rebound by B. Ingram
4:41.0, , ,14-21, ,Turnover by B. Ingram (bad pass; steal by R. Rondo)
4:36.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft, ,14-21, , 
4:31.0, , ,14-21, ,Defensive rebound by B. Ingram
4:17.0, , ,14-23,+2,J. Holiday makes 2-pt jump shot from 14 ft
3:53.0,L. James makes 3-pt jump shot from 24 ft (assist by R. Rondo),+3,17-23, , 
3:33.0, , ,17-25,+2,J. Holiday makes 2-pt jump shot from 6 ft
3:32.0,LA Lakers full timeout, ,17-25, , 
3:32.0,T. Daniels enters the game for L. James, ,17-25, , 
3:32.0, , ,17-25, ,J. Hart enters the game for B. Ingram
3:16.0,Shooting foul by J. Okafor (drawn by A. Davis), ,17-25, , 
3:16.0,A. Davis makes free throw 1 of 2,+1,18-25, , 
3:16.0,A. Davis makes free throw 2 of 2,+1,19-25, , 
2:51.0, , ,19-28,+3,J. Hart makes 3-pt jump shot from 26 ft (assist by J. Holiday)
2:38.0,A. Davis misses 2-pt jump shot from 6 ft, ,19-28, , 
2:35.0, , ,19-28, ,Defensive rebound by K. Williams
2:24.0, , ,19-30,+2,J. Okafor makes 2-pt dunk from 1 ft (assist by J. Holiday)
2:02.0,Shooting foul by J. Okafor (drawn by A. Davis), ,19-30, , 
2:02.0,A. Davis makes free throw 1 of 2,+1,20-30, , 
2:02.0,A. Caruso enters the game for K. Caldwell-Pope, ,20-30, , 
2:02.0, , ,20-30, ,E. Moore enters the game for J. Redick
2:02.0,A. Davis makes free throw 2 of 2,+1,21-30, , 
1:52.0, , ,21-33,+3,J. Hart makes 3-pt jump shot from 25 ft (assist by E. Moore)
1:34.0,A. Davis misses 2-pt jump shot from 17 ft, ,21-33, , 
1:30.0, , ,21-33, ,Defensive rebound by J. Hart
1:19.0, , ,21-33, ,J. Holiday misses 2-pt jump shot from 12 ft
1:15.0,Defensive rebound by K. Kuzma, ,21-33, , 
1:07.0,A. Davis makes 2-pt dunk from 1 ft (assist by R. Rondo),+2,23-33, , 
0:49.0, , ,23-33, ,J. Hart misses 3-pt jump shot from 26 ft
0:46.0,Defensive rebound by K. Kuzma, ,23-33, , 
0:42.0,A. Davis makes 2-pt dunk at rim (assist by K. Kuzma),+2,25-33, , 
0:34.0, , ,25-33, ,J. Holiday misses 2-pt layup from 3 ft
0:32.0, , ,25-33, ,Offensive rebound by J. Holiday
0:32.0, , ,25-35,+2,J. Holiday makes 2-pt layup from 1 ft
0:14.0,R. Rondo misses 3-pt jump shot from 25 ft, ,25-35, , 
0:12.0, , ,25-35, ,Defensive rebound by E. Moore
0:00.0, , ,25-38,+3,J. Holiday makes 3-pt jump shot from 26 ft
0:00.0, , ,25-38, ,Instant Replay (Request: Ruling Stands)
11:46.0, , ,25-38, ,N. Melli misses 3-pt jump shot from 24 ft
11:42.0,Defensive rebound by R. Rondo, ,25-38, , 
11:21.0,D. Howard makes 2-pt dunk from 1 ft (assist by L. James),+2,27-38, , 
11:02.0, , ,27-38, ,E. Moore misses 2-pt jump shot from 8 ft
11:02.0,Defensive rebound by D. Howard, ,27-38, , 
10:45.0,D. Howard makes 2-pt dunk at rim (assist by A. Caruso),+2,29-38, , 
10:31.0, , ,29-38, ,F. Jackson misses 2-pt layup from 2 ft (block by A. Caruso)
10:31.0, , ,29-38, ,Offensive rebound by Team
10:23.0, , ,29-38, ,E. Moore misses 2-pt jump shot from 9 ft
10:20.0,Defensive rebound by D. Howard, ,29-38, , 
10:14.0,Personal foul by E. Moore (drawn by D. Howard), ,29-38, , 
10:11.0,Turnover by R. Rondo (bad pass; steal by N. Melli), ,29-38, , 
9:51.0, , ,29-41,+3,F. Jackson makes 3-pt jump shot from 23 ft (assist by E. Moore)
9:29.0,L. James makes 2-pt dunk from 1 ft (assist by A. Caruso),+2,31-41, , 
9:22.0, , ,31-41, ,Offensive foul by J. Hart (drawn by L. James)
9:22.0, , ,31-41, ,Turnover by J. Hart (offensive foul)
9:13.0,L. James misses 3-pt jump shot from 25 ft, ,31-41, , 
9:09.0, , ,31-41, ,Defensive rebound by E. Moore
8:59.0, , ,31-43,+2,B. Ingram makes 2-pt jump shot from 11 ft
8:39.0,K. Kuzma misses 2-pt jump shot from 20 ft, ,31-43, , 
8:36.0, , ,31-43, ,Defensive rebound by E. Moore
8:32.0, , ,31-43, ,J. Hart misses 3-pt jump shot from 27 ft
8:30.0,Defensive rebound by K. Kuzma, ,31-43, , 
8:25.0,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),+2,33-43, , 
8:01.0, , ,33-43, ,B. Ingram misses 3-pt jump shot from 27 ft
7:58.0,Defensive rebound by L. James, ,33-43, , 
7:42.0,D. Howard makes 2-pt dunk from 2 ft (assist by R. Rondo),+2,35-43, , 
7:33.0, , ,35-43, ,New Orleans full timeout
7:33.0,D. Green enters the game for R. Rondo, ,35-43, , 
7:22.0, , ,35-45,+2,E. Moore makes 2-pt layup from 2 ft (assist by B. Ingram)
7:03.0,D. Howard misses 2-pt layup from 3 ft (block by N. Melli), ,35-45, , 
7:03.0,Offensive rebound by Team, ,35-45, , 
6:56.0,K. Kuzma makes 2-pt hook shot from 10 ft,+2,37-45, , 
6:44.0, , ,37-45, ,Personal foul by A. Caruso (drawn by N. Melli)
6:27.0, , ,37-45, ,B. Ingram misses 3-pt jump shot from 28 ft
6:27.0, , ,37-45, ,Offensive rebound by J. Hart
6:17.0, , ,37-45, ,B. Ingram misses 3-pt jump shot from 26 ft
6:13.0,Defensive rebound by D. Howard, ,37-45, , 
6:13.0,A. Davis enters the game for L. James, ,37-45, , 
6:13.0,R. Rondo enters the game for K. Kuzma, ,37-45, , 
6:13.0, , ,37-45, ,J. Holiday enters the game for F. Jackson
6:13.0, , ,37-45, ,J. Okafor enters the game for N. Melli
6:13.0, , ,37-45, ,J. Redick enters the game for E. Moore
6:03.0,Personal foul by J. Okafor (drawn by A. Davis), ,37-45, , 
5:51.0,A. Davis makes 2-pt jump shot from 4 ft (assist by R. Rondo),+2,39-45, , 
5:38.0, , ,39-47,+2,J. Holiday makes 2-pt layup from 2 ft (assist by J. Hart)
5:23.0,A. Davis misses 2-pt layup from 6 ft, ,39-47, , 
5:23.0,Offensive rebound by A. Davis, ,39-47, , 
5:23.0,A. Davis makes 2-pt layup from 2 ft,+2,41-47, , 
5:23.0,Shooting foul by J. Okafor (drawn by A. Davis), ,41-47, , 
5:23.0, , ,41-47, ,J. Hayes enters the game for J. Okafor
5:23.0,A. Davis makes free throw 1 of 1,+1,42-47, , 
5:12.0, , ,42-49,+2,J. Holiday makes 2-pt layup from 3 ft
5:12.0, , ,42-49, ,Shooting foul by D. Howard (drawn by J. Holiday)
5:12.0, , ,42-49, ,K. Williams enters the game for J. Hart
5:12.0, , ,42-50,+1,J. Holiday makes free throw 1 of 1
4:58.0,R. Rondo misses 3-pt jump shot from 23 ft, ,42-50, , 
4:55.0, , ,42-50, ,Defensive rebound by J. Redick
4:35.0, , ,42-50, ,J. Redick misses 2-pt jump shot from 2 ft (block by D. Howard)
4:32.0, , ,42-50, ,Offensive rebound by J. Hayes
4:31.0, , ,42-50, ,B. Ingram misses 3-pt jump shot from 27 ft
