time,away_description,away_change,score,home_change,home_description
2:11.0,T. Prince makes 3-pt jump shot from 23 ft (assist by J. McLaughlin),+3,25-22, , 
1:55.0, , ,25-22, ,L. Dončić misses 3-pt jump shot from 29 ft
1:52.0,Defensive rebound by T. Prince, ,25-22, , 
1:48.0,T. Prince misses 2-pt jump shot from 8 ft (block by J. Green), ,25-22, , 
1:47.0, , ,25-22, ,Defensive rebound by S. Dinwiddie
1:46.0, , ,25-22, ,Personal take foul by J. McLaughlin (drawn by S. Dinwiddie)
1:46.0, , ,25-22, ,S. Dinwiddie misses free throw 1 of 2
1:46.0, , ,25-22, ,Offensive rebound by Team
1:46.0, , ,25-23,+1,S. Dinwiddie makes free throw 2 of 2
1:33.0,T. Prince makes 2-pt jump shot from 10 ft (assist by J. Nowell),+2,27-23, , 
1:18.0, , ,27-23, ,S. Dinwiddie misses 3-pt jump shot from 23 ft
1:15.0,Defensive rebound by J. Nowell, ,27-23, , 
1:09.0,Turnover by K. Towns (traveling), ,27-23, , 
0:55.0, , ,27-23, ,J. Green misses 3-pt jump shot from 23 ft
0:54.0,Defensive rebound by K. Towns, ,27-23, , 
0:44.0,J. Nowell makes 2-pt jump shot from 12 ft,+2,29-23, , 
0:35.0, , ,29-23, ,S. Dinwiddie misses 3-pt jump shot from 26 ft
0:32.0,Defensive rebound by K. Towns, ,29-23, , 
0:16.0,J. McLaughlin misses 3-pt jump shot from 25 ft, ,29-23, , 
0:13.0, , ,29-23, ,Defensive rebound by R. Bullock
0:00.0, , ,29-23, ,J. Green misses 2-pt jump shot from 5 ft
0:00.0,Defensive rebound by J. Nowell, ,29-23, , 
11:50.0, , ,29-23, ,Offensive foul by M. Kleber (drawn by T. Prince)
11:50.0, , ,29-23, ,Turnover by M. Kleber (offensive foul)
11:37.0,Turnover by J. McLaughlin (bad pass; steal by J. Green), ,29-23, , 
11:32.0, , ,29-25,+2,J. Green makes 2-pt layup from 1 ft (assist by R. Bullock)
11:13.0,M. Beasley misses 3-pt jump shot from 23 ft, ,29-25, , 
11:09.0, , ,29-25, ,Defensive rebound by S. Dinwiddie
11:06.0, , ,29-28,+3,S. Dinwiddie makes 3-pt jump shot from 25 ft
10:43.0,J. Nowell misses 3-pt jump shot from 24 ft, ,29-28, , 
10:41.0, , ,29-28, ,Defensive rebound by R. Bullock
10:27.0, , ,29-28, ,Turnover by J. Green (bad pass; steal by J. McLaughlin)
10:23.0,N. Reid makes 2-pt dunk from 1 ft (assist by J. Nowell),+2,31-28, , 
9:56.0, , ,31-28, ,M. Kleber misses 2-pt jump shot from 16 ft
9:54.0,Defensive rebound by M. Beasley, ,31-28, , 
9:43.0,J. McLaughlin misses 2-pt layup from 3 ft (block by M. Kleber), ,31-28, , 
