time,away_description,away_change,score,home_change,home_description
11:40.0,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),+2,2-0, , 
11:20.0, , ,2-2,+2,C. McCollum makes 2-pt jump shot from 15 ft (assist by D. Lillard)
11:12.0,Personal foul by M. Leonard (drawn by J. Ingles), ,2-2, , 
11:06.0,D. Favors makes 2-pt hook shot from 2 ft (assist by R. Rubio),+2,4-2, , 
10:46.0, , ,4-4,+2,C. McCollum makes 2-pt jump shot from 12 ft
10:28.0,Turnover by R. Rubio (traveling), ,4-4, , 
10:11.0, , ,4-6,+2,M. Leonard makes 2-pt jump shot from 9 ft (assist by A. Aminu)
10:00.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),+3,7-6, , 
9:41.0, , ,7-8,+2,D. Lillard makes 2-pt jump shot from 22 ft
9:28.0,Shooting foul by M. Harkless (drawn by J. Ingles), ,7-8, , 
9:28.0,J. Ingles makes free throw 1 of 2,+1,8-8, , 
9:28.0,J. Ingles makes free throw 2 of 2,+1,9-8, , 
9:22.0, , ,9-8, ,Personal foul by R. Rubio (drawn by D. Lillard)
9:17.0, , ,9-8, ,D. Lillard misses 3-pt jump shot from 26 ft
9:15.0,Defensive rebound by R. Gobert, ,9-8, , 
9:05.0,D. Favors misses 3-pt jump shot from 23 ft, ,9-8, , 
9:03.0,Offensive rebound by D. Mitchell, ,9-8, , 
9:01.0,D. Mitchell makes 2-pt layup from 1 ft,+2,11-8, , 
8:51.0, , ,11-10,+2,D. Lillard makes 2-pt jump shot from 15 ft
8:34.0,R. Gobert makes 2-pt hook shot from 2 ft (assist by R. Rubio),+2,13-10, , 
8:11.0, , ,13-12,+2,C. McCollum makes 2-pt jump shot from 7 ft (assist by M. Leonard)
7:57.0,R. Gobert misses 2-pt dunk from 2 ft, ,13-12, , 
7:54.0, , ,13-12, ,Defensive rebound by D. Lillard
7:47.0, , ,13-15,+3,M. Leonard makes 3-pt jump shot from 22 ft (assist by A. Aminu)
7:28.0,R. Rubio misses 2-pt jump shot from 20 ft, ,13-15, , 
7:26.0, , ,13-15, ,Defensive rebound by A. Aminu
7:20.0, , ,13-17,+2,C. McCollum makes 2-pt jump shot from 2 ft (assist by D. Lillard)
7:20.0,Utah full timeout, ,13-17, , 
7:20.0,J. Crowder enters the game for D. Favors, ,13-17, , 
7:03.0,Shooting foul by M. Harkless (drawn by D. Mitchell), ,13-17, , 
7:03.0,K. Korver enters the game for J. Ingles, ,13-17, , 
7:03.0,R. O'Neale enters the game for R. Rubio, ,13-17, , 
7:03.0,D. Mitchell makes free throw 1 of 2,+1,14-17, , 
7:03.0,D. Mitchell makes free throw 2 of 2,+1,15-17, , 
6:42.0, , ,15-17, ,D. Lillard misses 2-pt jump shot from 15 ft
6:41.0, , ,15-17, ,Offensive rebound by M. Harkless
6:39.0, , ,15-17, ,A. Aminu misses 3-pt jump shot from 25 ft
6:36.0,Defensive rebound by R. Gobert, ,15-17, , 
6:27.0,D. Mitchell makes 2-pt layup from 1 ft,+2,17-17, , 
6:14.0, , ,17-20,+3,M. Leonard makes 3-pt jump shot from 25 ft (assist by D. Lillard)
5:56.0,J. Crowder misses 3-pt jump shot from 24 ft, ,17-20, , 
5:56.0, , ,17-20, ,Defensive rebound by Team
5:56.0,Loose ball foul by R. Gobert (drawn by M. Leonard), ,17-20, , 
5:41.0, , ,17-20, ,M. Leonard misses 3-pt jump shot from 24 ft
5:37.0,Defensive rebound by K. Korver, ,17-20, , 
5:28.0,R. Gobert makes 2-pt layup from 2 ft (assist by K. Korver),+2,19-20, , 
5:20.0, , ,19-23,+3,C. McCollum makes 3-pt jump shot from 24 ft
5:02.0,Offensive foul by J. Crowder (drawn by C. McCollum), ,19-23, , 
5:02.0,Turnover by J. Crowder (offensive foul), ,19-23, , 
4:49.0, , ,19-23, ,Shooting foul by D. Mitchell (drawn by D. Lillard)
4:49.0, , ,19-24,+1,D. Lillard makes free throw 1 of 3
4:49.0, , ,19-25,+1,D. Lillard makes free throw 2 of 3
4:49.0, , ,19-26,+1,D. Lillard makes free throw 3 of 3
4:37.0,D. Mitchell misses 3-pt jump shot from 25 ft, ,19-26, , 
4:36.0, , ,19-26, ,Defensive rebound by M. Leonard
4:25.0, , ,19-29,+3,C. McCollum makes 3-pt jump shot from 23 ft (assist by D. Lillard)
4:12.0,Turnover by R. O'Neale (lost ball; steal by D. Lillard), ,19-29, , 
4:09.0, , ,19-31,+2,D. Lillard makes 2-pt layup from 3 ft
4:09.0,Utah full timeout, ,19-31, , 
4:09.0, , ,19-31, ,J. Layman enters the game for A. Aminu
4:09.0, , ,19-31, ,E. Turner enters the game for M. Harkless
3:55.0,K. Korver misses 3-pt jump shot from 25 ft, ,19-31, , 
3:53.0, , ,19-31, ,Defensive rebound by M. Leonard
3:43.0, , ,19-34,+3,J. Layman makes 3-pt jump shot from 25 ft (assist by D. Lillard)
3:30.0,Turnover by D. Mitchell (lost ball; steal by E. Turner), ,19-34, , 
3:23.0, , ,19-36,+2,C. McCollum makes 2-pt jump shot from 16 ft
3:01.0,Shooting foul by D. Lillard (drawn by D. Mitchell), ,19-36, , 
3:01.0,D. Favors enters the game for R. Gobert, ,19-36, , 
3:01.0,R. Rubio enters the game for R. O'Neale, ,19-36, , 
3:01.0, , ,19-36, ,Z. Collins enters the game for M. Leonard
3:01.0,D. Mitchell makes free throw 1 of 2,+1,20-36, , 
3:01.0,D. Mitchell makes free throw 2 of 2,+1,21-36, , 
2:47.0, , ,21-36, ,D. Lillard misses 2-pt jump shot from 21 ft
2:44.0, , ,21-36, ,Offensive rebound by Z. Collins
2:37.0, , ,21-38,+2,Z. Collins makes 2-pt hook shot from 2 ft (assist by D. Lillard)
2:37.0,J. Ingles enters the game for D. Mitchell, ,21-38, , 
2:17.0,D. Favors misses 2-pt layup from 2 ft, ,21-38, , 
2:16.0, , ,21-38, ,Defensive rebound by D. Lillard
2:06.0, , ,21-38, ,Z. Collins misses 3-pt jump shot from 25 ft
2:03.0,Defensive rebound by R. Rubio, ,21-38, , 
1:46.0,D. Favors misses 2-pt layup from 2 ft (block by J. Layman), ,21-38, , 
1:44.0, , ,21-38, ,Defensive rebound by C. McCollum
1:41.0, , ,21-40,+2,C. McCollum makes 2-pt jump shot from 9 ft
1:23.0,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),+2,23-40, , 
1:02.0, , ,23-43,+3,Z. Collins makes 3-pt jump shot from 25 ft (assist by E. Turner)
0:50.0,D. Favors makes 2-pt hook shot from 4 ft (assist by R. Rubio),+2,25-43, , 
0:35.0, , ,25-43, ,Offensive foul by D. Lillard (drawn by R. Rubio)
0:35.0, , ,25-43, ,Turnover by D. Lillard (offensive foul)
0:35.0, , ,25-43, ,Violation by Team (delay of game)
0:35.0, , ,25-43, ,S. Curry enters the game for D. Lillard
0:23.0,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),+2,27-43, , 
0:02.0, , ,27-45,+2,C. McCollum makes 2-pt jump shot from 18 ft
0:00.0,R. Rubio misses 3-pt jump shot from 47 ft, ,27-45, , 
0:00.0,Offensive rebound by Team, ,27-45, , 
11:48.0, , ,27-45, ,J. Layman misses 2-pt hook shot from 5 ft
11:47.0,Defensive rebound by J. Ingles, ,27-45, , 
11:39.0,R. Rubio misses 3-pt jump shot from 23 ft, ,27-45, , 
11:36.0, , ,27-45, ,Defensive rebound by E. Turner
11:30.0, , ,27-47,+2,E. Turner makes 2-pt layup from 2 ft
11:13.0,J. Crowder misses 3-pt jump shot from 25 ft, ,27-47, , 
11:11.0, , ,27-47, ,Defensive rebound by E. Turner
11:03.0, , ,27-47, ,Z. Collins misses 2-pt jump shot from 14 ft
11:00.0,Defensive rebound by J. Ingles, ,27-47, , 
10:50.0,R. Rubio makes 2-pt jump shot from 8 ft,+2,29-47, , 
10:35.0, , ,29-47, ,Personal foul by R. Rubio (drawn by S. Curry)
10:35.0, , ,29-47, ,Offensive foul by J. Layman (drawn by R. Rubio)
10:35.0, , ,29-47, ,Turnover by J. Layman (offensive foul)
