time,away_description,away_change,score,home_change,home_description
11:34.0, , ,0-2,+2,J. Allen makes 2-pt hook shot from 5 ft
11:14.0,R. Holmes makes 2-pt hook shot from 5 ft (assist by H. Barnes),+2,2-2, , 
11:02.0, , ,2-4,+2,D. Garland makes 2-pt jump shot from 3 ft (assist by C. Sexton)
10:52.0,D. Fox makes 2-pt jump shot from 15 ft,+2,4-4, , 
10:40.0, , ,4-4, ,J. Allen misses 2-pt jump shot from 7 ft
10:38.0,Defensive rebound by R. Holmes, ,4-4, , 
10:31.0,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Fox),+3,7-4, , 
10:19.0, , ,7-4, ,Turnover by C. Sexton (lost ball; steal by R. Holmes)
10:12.0,H. Barnes misses 3-pt jump shot from 25 ft, ,7-4, , 
10:09.0, , ,7-4, ,Defensive rebound by C. Sexton
10:04.0, , ,7-6,+2,C. Sexton makes 2-pt layup from 1 ft
9:48.0,D. Fox misses 2-pt jump shot from 6 ft, ,7-6, , 
9:46.0, , ,7-6, ,Defensive rebound by L. Nance
9:40.0, , ,7-8,+2,L. Nance makes 2-pt layup from 2 ft (assist by C. Sexton)
9:24.0,T. Haliburton makes 2-pt jump shot from 12 ft,+2,9-8, , 
9:19.0, , ,9-8, ,Cleveland full timeout
9:03.0, , ,9-8, ,L. Nance misses 2-pt dunk from 2 ft
8:59.0,Defensive rebound by H. Barnes, ,9-8, , 
8:54.0,T. Haliburton makes 3-pt jump shot from 25 ft (assist by H. Barnes),+3,12-8, , 
8:39.0, , ,12-8, ,J. Allen misses 2-pt hook shot from 6 ft
8:37.0,Defensive rebound by R. Holmes, ,12-8, , 
8:30.0,H. Barnes misses 2-pt jump shot from 7 ft, ,12-8, , 
8:27.0, , ,12-8, ,Defensive rebound by L. Nance
8:22.0, , ,12-10,+2,D. Garland makes 2-pt layup from 1 ft
8:07.0,Turnover by D. Fox (bad pass; steal by L. Nance), ,12-10, , 
8:03.0, , ,12-12,+2,C. Sexton makes 2-pt layup from 1 ft (assist by L. Nance)
7:48.0,D. Fox misses 2-pt jump shot from 2 ft, ,12-12, , 
7:46.0, , ,12-12, ,Defensive rebound by J. Allen
7:42.0, , ,12-12, ,C. Sexton misses 2-pt jump shot from 11 ft
7:40.0,Defensive rebound by R. Holmes, ,12-12, , 
7:32.0,T. Haliburton makes 2-pt jump shot from 13 ft,+2,14-12, , 
7:13.0, , ,14-12, ,Turnover by L. Nance (bad pass; steal by D. Fox)
7:09.0,B. Hield makes 2-pt layup from 2 ft (assist by D. Fox),+2,16-12, , 
6:58.0, , ,16-12, ,C. Sexton misses 3-pt jump shot from 26 ft
6:55.0,Defensive rebound by B. Hield, ,16-12, , 
6:46.0,R. Holmes makes 2-pt layup from 1 ft (assist by B. Hield),+2,18-12, , 
6:32.0, , ,18-12, ,D. Garland misses 2-pt jump shot from 5 ft (block by T. Haliburton)
6:29.0,Defensive rebound by B. Hield, ,18-12, , 
6:26.0,H. Barnes misses 3-pt jump shot from 28 ft, ,18-12, , 
6:23.0, , ,18-12, ,Defensive rebound by L. Nance
6:18.0, , ,18-15,+3,D. Garland makes 3-pt jump shot from 28 ft (assist by L. Nance)
5:56.0,T. Haliburton makes 3-pt jump shot from 23 ft (assist by R. Holmes),+3,21-15, , 
5:43.0, , ,21-15, ,J. Allen misses 2-pt layup from 1 ft
5:40.0,Defensive rebound by H. Barnes, ,21-15, , 
5:38.0,T. Haliburton misses 3-pt jump shot from 26 ft, ,21-15, , 
5:32.0,Offensive rebound by H. Barnes, ,21-15, , 
5:32.0,H. Barnes makes 2-pt dunk at rim,+2,23-15, , 
5:24.0, , ,23-17,+2,C. Sexton makes 2-pt jump shot from 6 ft
5:16.0,Shooting foul by D. Garland (drawn by D. Fox), ,23-17, , 
5:16.0,D. Fox makes free throw 1 of 2,+1,24-17, , 
