time,away_description,away_change,score,home_change,home_description
11:34.0, , ,0-2,+2,M. Morris makes 2-pt layup from 3 ft
11:20.0,Shooting foul by A. Drummond (drawn by K. Martin), ,0-2, , 
11:20.0,K. Martin makes free throw 1 of 2,+1,1-2, , 
11:20.0,K. Martin makes free throw 2 of 2,+1,2-2, , 
11:08.0, , ,2-2, ,Turnover by T. Horton-Tucker (bad pass; steal by K. Thomas)
11:02.0,K. Martin makes 2-pt dunk from 2 ft (assist by K. Olynyk),+2,4-2, , 
10:53.0, , ,4-4,+2,T. Horton-Tucker makes 2-pt layup from 2 ft
10:36.0,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Augustin),+3,7-4, , 
10:11.0, , ,7-7,+3,W. Matthews makes 3-pt jump shot from 25 ft (assist by T. Horton-Tucker)
9:47.0,K. Olynyk makes 2-pt hook shot from 3 ft (assist by K. Martin),+2,9-7, , 
9:37.0, , ,9-7, ,Turnover by A. Drummond (bad pass)
9:22.0,J. Tate makes 3-pt jump shot from 23 ft (assist by D. Augustin),+3,12-7, , 
9:07.0, , ,12-9,+2,A. Drummond makes 2-pt layup from 3 ft (assist by M. Morris)
9:07.0, , ,12-9, ,Shooting foul by K. Olynyk (drawn by A. Drummond)
9:07.0, , ,12-9, ,A. Drummond misses free throw 1 of 1
9:03.0,Defensive rebound by K. Olynyk, ,12-9, , 
8:55.0,K. Thomas makes 2-pt layup from 4 ft (assist by K. Olynyk),+2,14-9, , 
8:55.0, , ,14-9, ,LA Lakers full timeout
8:38.0, , ,14-9, ,M. Morris misses 2-pt hook shot from 8 ft
8:35.0,Defensive rebound by J. Tate, ,14-9, , 
8:34.0,K. Thomas makes 2-pt layup from 2 ft (assist by J. Tate),+2,16-9, , 
8:34.0, , ,16-9, ,Violation by Team (def goaltending)
8:22.0, , ,16-9, ,T. Horton-Tucker misses 3-pt jump shot from 26 ft
8:20.0,Defensive rebound by J. Tate, ,16-9, , 
8:11.0,Turnover by K. Olynyk (lost ball; steal by K. Caldwell-Pope), ,16-9, , 
8:10.0, , ,16-9, ,Personal take foul by J. Tate (drawn by W. Matthews)
7:57.0, , ,16-11,+2,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by A. Drummond)
7:37.0,D. Augustin misses 3-pt jump shot from 28 ft, ,16-11, , 
7:34.0, , ,16-11, ,Defensive rebound by A. Drummond
7:25.0, , ,16-11, ,T. Horton-Tucker misses 2-pt layup from 1 ft
7:23.0,Defensive rebound by K. Olynyk, ,16-11, , 
7:22.0,Turnover by K. Olynyk (bad pass), ,16-11, , 
7:08.0, , ,16-11, ,A. Drummond misses 2-pt layup from 7 ft
7:06.0, , ,16-11, ,Offensive rebound by A. Drummond
7:06.0, , ,16-11, ,Offensive foul by A. Drummond (drawn by K. Olynyk)
7:06.0, , ,16-11, ,Turnover by A. Drummond (offensive foul)
7:06.0,A. Lamb enters the game for J. Tate, ,16-11, , 
6:53.0,K. Martin misses 2-pt hook shot from 4 ft, ,16-11, , 
6:51.0, , ,16-11, ,Defensive rebound by W. Matthews
6:44.0, , ,16-13,+2,W. Matthews makes 2-pt jump shot from 12 ft
6:23.0,K. Thomas misses 3-pt jump shot from 23 ft, ,16-13, , 
6:20.0, , ,16-13, ,Defensive rebound by A. Drummond
6:11.0, , ,16-16,+3,M. Morris makes 3-pt jump shot from 27 ft (assist by W. Matthews)
6:11.0,Houston full timeout, ,16-16, , 
6:11.0, , ,16-16, ,K. Kuzma enters the game for W. Matthews
5:51.0,K. Thomas misses 3-pt jump shot from 27 ft, ,16-16, , 
5:48.0, , ,16-16, ,Defensive rebound by M. Morris
5:46.0, , ,16-18,+2,T. Horton-Tucker makes 2-pt layup from 1 ft (assist by M. Morris)
5:34.0,Turnover by A. Lamb (step out of bounds), ,16-18, , 
5:27.0, , ,16-20,+2,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by M. Morris)
5:27.0, , ,16-20, ,Shooting foul by D. Augustin (drawn by K. Caldwell-Pope)
5:27.0,A. Brooks enters the game for K. Thomas, ,16-20, , 
5:27.0, , ,16-20, ,B. McLemore enters the game for T. Horton-Tucker
5:27.0, , ,16-21,+1,K. Caldwell-Pope makes free throw 1 of 1
5:04.0,K. Martin misses 3-pt jump shot from 27 ft, ,16-21, , 
5:02.0, , ,16-21, ,Defensive rebound by K. Caldwell-Pope
4:48.0, , ,16-23,+2,A. Drummond makes 2-pt hook shot from 6 ft (assist by B. McLemore)
4:38.0,Shooting foul by M. Morris (drawn by K. Olynyk), ,16-23, , 
4:38.0,K. Olynyk makes free throw 1 of 2,+1,17-23, , 
4:38.0,K. Olynyk misses free throw 2 of 2, ,17-23, , 
4:35.0, , ,17-23, ,Defensive rebound by A. Drummond
4:25.0, , ,17-23, ,M. Morris misses 3-pt jump shot from 25 ft
4:22.0, , ,17-23, ,Offensive rebound by A. Drummond
4:20.0, , ,17-23, ,M. Morris misses 2-pt layup from 1 ft
4:17.0,Defensive rebound by A. Lamb, ,17-23, , 
4:07.0,A. Brooks misses 3-pt jump shot from 26 ft, ,17-23, , 
4:03.0, , ,17-23, ,Defensive rebound by M. Morris
3:59.0, , ,17-26,+3,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by K. Kuzma)
3:37.0,D. Augustin misses 3-pt jump shot from 25 ft, ,17-26, , 
3:35.0, , ,17-26, ,Defensive rebound by K. Kuzma
3:26.0, , ,17-26, ,K. Kuzma misses 3-pt jump shot from 29 ft
3:24.0,Defensive rebound by A. Lamb, ,17-26, , 
3:16.0,K. Olynyk misses 2-pt jump shot from 1 ft, ,17-26, , 
3:13.0, , ,17-26, ,Defensive rebound by A. Drummond
3:03.0, , ,17-26, ,K. Caldwell-Pope misses 2-pt layup from 3 ft
3:00.0,Defensive rebound by K. Martin, ,17-26, , 
2:59.0,Personal take foul by M. Morris (drawn by K. Martin), ,17-26, , 
2:59.0,C. Oliver enters the game for D. Augustin, ,17-26, , 
2:59.0,K. Thomas enters the game for K. Olynyk, ,17-26, , 
2:59.0, , ,17-26, ,M. Harrell enters the game for K. Caldwell-Pope
2:59.0, , ,17-26, ,T. Horton-Tucker enters the game for A. Drummond
2:59.0, , ,17-26, ,A. McKinnie enters the game for M. Morris
2:49.0,A. Brooks misses 2-pt layup from 2 ft, ,17-26, , 
2:49.0, , ,17-26, ,Defensive rebound by Team
2:31.0, , ,17-26, ,A. McKinnie misses 3-pt jump shot from 25 ft
2:28.0,Defensive rebound by A. Lamb, ,17-26, , 
2:10.0,K. Martin makes 2-pt dunk from 1 ft (assist by A. Lamb),+2,19-26, , 
1:55.0, , ,19-26, ,T. Horton-Tucker misses 2-pt layup from 2 ft
1:53.0,Defensive rebound by K. Thomas, ,19-26, , 
1:37.0,K. Thomas misses 2-pt jump shot from 21 ft, ,19-26, , 
1:35.0,Offensive rebound by A. Brooks, ,19-26, , 
1:32.0,A. Brooks makes 2-pt hook shot from 4 ft,+2,21-26, , 
1:17.0, , ,21-29,+3,K. Kuzma makes 3-pt jump shot from 27 ft (assist by T. Horton-Tucker)
