time,away_description,away_change,score,home_change,home_description
0:42.0,T. Haliburton misses 2-pt layup from 1 ft (block by A. Drummond), ,31-25, , 
0:39.0, , ,31-25, ,Defensive rebound by D. Green
0:37.0, , ,31-25, ,G. Niang misses 3-pt jump shot from 26 ft
0:37.0, , ,31-25, ,Offensive rebound by T. Maxey
0:32.0, , ,31-27,+2,D. Green makes 2-pt layup from 2 ft (assist by T. Maxey)
0:09.0,M. Harkless misses 3-pt jump shot from 26 ft, ,31-27, , 
0:06.0, , ,31-27, ,Defensive rebound by G. Niang
0:01.0, , ,31-27, ,F. Korkmaz misses 3-pt jump shot from 23 ft
0:00.0,Defensive rebound by B. Hield, ,31-27, , 
11:40.0, , ,31-27, ,Turnover by F. Korkmaz (bad pass)
11:16.0,C. Metu misses 2-pt jump shot from 16 ft, ,31-27, , 
11:14.0, , ,31-27, ,Defensive rebound by A. Drummond
11:07.0, , ,31-27, ,F. Korkmaz misses 3-pt jump shot from 27 ft
11:04.0,Defensive rebound by C. Metu, ,31-27, , 
10:52.0,B. Hield misses 3-pt jump shot from 29 ft, ,31-27, , 
10:48.0, , ,31-27, ,Defensive rebound by A. Drummond
10:34.0, , ,31-27, ,Turnover by C. Brown (lost ball; steal by C. Metu)
10:28.0,C. Metu makes 3-pt jump shot from 27 ft (assist by T. Haliburton),+3,34-27, , 
10:12.0, , ,34-27, ,Shooting foul by R. Holmes (drawn by A. Drummond)
10:12.0, , ,34-28,+1,A. Drummond makes free throw 1 of 2
10:12.0,H. Barnes enters the game for M. Harkless, ,34-28, , 
10:12.0, , ,34-28, ,A. Drummond misses free throw 2 of 2
10:09.0,Defensive rebound by H. Barnes, ,34-28, , 
9:58.0,R. Holmes makes 2-pt dunk at rim (assist by T. Haliburton),+2,36-28, , 
9:51.0, , ,36-28, ,Turnover by A. Drummond (bad pass)
9:42.0,Shooting foul by C. Brown (drawn by T. Haliburton), ,36-28, , 
9:42.0,T. Haliburton makes free throw 1 of 2,+1,37-28, , 
9:42.0, , ,37-28, ,S. Curry enters the game for C. Brown
9:42.0,T. Haliburton makes free throw 2 of 2,+1,38-28, , 
9:20.0, , ,38-28, ,G. Niang misses 2-pt jump shot from 7 ft
9:17.0,Defensive rebound by H. Barnes, ,38-28, , 
9:11.0,T. Haliburton makes 2-pt layup from 1 ft (assist by B. Hield),+2,40-28, , 
9:11.0, , ,40-28, ,Philadelphia full timeout
9:11.0, , ,40-28, ,T. Maxey enters the game for D. Green
8:49.0, , ,40-28, ,F. Korkmaz misses 3-pt jump shot from 26 ft
8:45.0,Defensive rebound by T. Haliburton, ,40-28, , 
8:33.0,T. Haliburton misses 2-pt jump shot from 6 ft, ,40-28, , 
8:28.0,Offensive rebound by R. Holmes, ,40-28, , 
8:28.0,R. Holmes misses 2-pt layup at rim, ,40-28, , 
8:27.0, , ,40-28, ,Defensive rebound by A. Drummond
8:20.0, , ,40-28, ,S. Curry misses 3-pt jump shot from 26 ft
8:17.0,Defensive rebound by H. Barnes, ,40-28, , 
8:12.0,T. Haliburton misses 3-pt jump shot from 26 ft, ,40-28, , 
8:11.0, , ,40-28, ,Defensive rebound by Team
8:11.0, , ,40-28, ,T. Harris enters the game for F. Korkmaz
7:46.0, , ,40-30,+2,T. Maxey makes 2-pt jump shot from 12 ft
7:27.0,B. Hield misses 3-pt jump shot from 26 ft (block by S. Curry), ,40-30, , 
7:24.0, , ,40-30, ,Defensive rebound by S. Curry
7:21.0, , ,40-30, ,Turnover by S. Curry (out of bounds lost ball)
7:21.0,M. Bagley enters the game for T. Haliburton, ,40-30, , 
7:21.0,D. Mitchell enters the game for C. Metu, ,40-30, , 
7:21.0, , ,40-30, ,J. Embiid enters the game for A. Drummond
7:06.0,R. Holmes makes 2-pt layup from 2 ft,+2,42-30, , 
6:44.0, , ,42-30, ,S. Curry misses 3-pt jump shot from 26 ft
6:41.0,Defensive rebound by B. Hield, ,42-30, , 
6:35.0,B. Hield misses 3-pt jump shot from 26 ft, ,42-30, , 
6:33.0,Offensive rebound by M. Bagley, ,42-30, , 
6:29.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by H. Barnes),+3,45-30, , 
6:03.0, , ,45-30, ,J. Embiid misses 3-pt jump shot from 26 ft
6:00.0,Defensive rebound by M. Bagley, ,45-30, , 
5:53.0,D. Mitchell misses 2-pt jump shot from 15 ft, ,45-30, , 
5:51.0, , ,45-30, ,Defensive rebound by J. Embiid
5:38.0, , ,45-30, ,T. Harris misses 2-pt layup from 2 ft
5:37.0, , ,45-30, ,Offensive rebound by Team
5:32.0, , ,45-30, ,J. Embiid misses 2-pt jump shot from 12 ft
5:30.0,Defensive rebound by B. Hield, ,45-30, , 
5:28.0,Turnover by M. Bagley (out of bounds lost ball), ,45-30, , 
5:04.0, , ,45-30, ,Shooting foul by R. Holmes (drawn by J. Embiid)
5:04.0, , ,45-30, ,J. Embiid misses free throw 1 of 2
5:04.0, , ,45-30, ,Offensive rebound by Team
5:04.0,T. Haliburton enters the game for B. Hield, ,45-30, , 
5:04.0, , ,45-31,+1,J. Embiid makes free throw 2 of 2
4:54.0,Shooting foul by S. Curry (drawn by T. Haliburton), ,45-31, , 
4:54.0,T. Haliburton makes free throw 1 of 2,+1,46-31, , 
4:54.0,D. Jones enters the game for R. Holmes, ,46-31, , 
4:54.0, , ,46-31, ,M. Thybulle enters the game for G. Niang
4:54.0,T. Haliburton misses free throw 2 of 2, ,46-31, , 
4:51.0, , ,46-31, ,Defensive rebound by T. Harris
4:49.0, , ,46-31, ,Shooting foul by D. Jones (drawn by J. Embiid)
4:49.0, , ,46-32,+1,J. Embiid makes free throw 1 of 2
4:49.0, , ,46-33,+1,J. Embiid makes free throw 2 of 2
4:32.0,M. Bagley makes 2-pt layup from 2 ft (assist by D. Jones),+2,48-33, , 
4:18.0, , ,48-33, ,Turnover by J. Embiid (out of bounds lost ball)
4:10.0,M. Bagley makes 2-pt jump shot from 8 ft (assist by H. Barnes),+2,50-33, , 
3:54.0, , ,50-35,+2,M. Thybulle makes 2-pt dunk from 1 ft (assist by J. Embiid)
3:48.0,Shooting foul by M. Thybulle (drawn by T. Haliburton), ,50-35, , 
3:48.0,T. Haliburton makes free throw 1 of 2,+1,51-35, , 
3:48.0,T. Haliburton makes free throw 2 of 2,+1,52-35, , 
3:35.0, , ,52-35, ,Personal foul by D. Mitchell (drawn by T. Harris)
3:29.0, , ,52-37,+2,T. Harris makes 2-pt jump shot from 12 ft
3:20.0,Turnover by D. Jones (lost ball; steal by S. Curry), ,52-37, , 
3:15.0, , ,52-39,+2,T. Maxey makes 2-pt layup from 1 ft (assist by S. Curry)
3:02.0,T. Haliburton makes 2-pt jump shot from 8 ft,+2,54-39, , 
2:53.0, , ,54-39, ,Shooting foul by D. Jones (drawn by J. Embiid)
2:53.0,Sacramento full timeout, ,54-39, , 
