time,away_description,away_change,score,home_change,home_description
4:03.0,E. İlyasova enters the game for B. Lopez, ,19-15, , 
4:03.0, , ,19-15, ,R. Hollis-Jefferson enters the game for T. Graham
4:03.0,K. Middleton makes free throw 2 of 2,+1,20-15, , 
3:43.0, , ,20-15, ,S. Napier misses 3-pt jump shot from 25 ft
3:39.0,Defensive rebound by G. Hill, ,20-15, , 
3:29.0,S. Brown misses 3-pt jump shot from 24 ft, ,20-15, , 
3:25.0, , ,20-15, ,Defensive rebound by R. Hollis-Jefferson
3:10.0, , ,20-15, ,Turnover by R. Hollis-Jefferson (bad pass; steal by S. Brown)
3:06.0,E. İlyasova misses 3-pt jump shot from 26 ft, ,20-15, , 
3:02.0, , ,20-15, ,Defensive rebound by J. Allen
2:59.0, , ,20-15, ,Shooting foul by E. İlyasova (drawn by T. Pinson)
2:59.0, , ,20-16,+1,T. Pinson makes free throw 1 of 2
2:59.0,M. Brogdon enters the game for K. Middleton, ,20-16, , 
2:59.0, , ,20-16, ,E. Davis enters the game for J. Allen
2:59.0, , ,20-16, ,D. Russell enters the game for S. Napier
2:59.0, , ,20-17,+1,T. Pinson makes free throw 2 of 2
2:46.0,D. Wilson makes 3-pt jump shot from 26 ft (assist by M. Brogdon),+3,23-17, , 
2:32.0, , ,23-17, ,R. Hollis-Jefferson misses 3-pt jump shot from 25 ft
2:28.0,Defensive rebound by D. Wilson, ,23-17, , 
2:22.0,D. Wilson misses 3-pt jump shot from 26 ft, ,23-17, , 
2:19.0,Offensive rebound by E. İlyasova, ,23-17, , 
2:09.0,D. Wilson misses 2-pt jump shot from 6 ft (block by E. Davis), ,23-17, , 
2:08.0,Offensive rebound by M. Brogdon, ,23-17, , 
2:08.0,M. Brogdon misses 3-pt jump shot from 25 ft, ,23-17, , 
2:07.0,Offensive rebound by Team, ,23-17, , 
2:07.0,Turnover by Team (shot clock), ,23-17, , 
1:59.0, , ,23-17, ,Offensive foul by E. Davis (drawn by S. Brown)
1:59.0, , ,23-17, ,Turnover by E. Davis (offensive foul)
1:59.0,T. Snell enters the game for S. Brown, ,23-17, , 
