dates,start,visitor,pts_visitor,home,pts_home,ot,attendance,arena,urls,id
"Thu, Feb 6, 2020",8:00p,New Orleans Pelicans,125,Chicago Bulls,119,,"18,247",United Center,https://www.basketball-reference.com/boxscores/pbp/202002060CHI.html,202002060CHI
"Thu, Feb 6, 2020",8:00p,Philadelphia 76ers,101,Milwaukee Bucks,112,,"17,928",Fiserv Forum,https://www.basketball-reference.com/boxscores/pbp/202002060MIL.html,202002060MIL
"Thu, Feb 6, 2020",10:00p,San Antonio Spurs,117,Portland Trail Blazers,125,,"19,653",Moda Center,https://www.basketball-reference.com/boxscores/pbp/202002060POR.html,202002060POR
"Thu, Feb 6, 2020",10:30p,Houston Rockets,121,Los Angeles Lakers,111,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/202002060LAL.html,202002060LAL
"Fri, Feb 7, 2020",7:00p,Memphis Grizzlies,107,Philadelphia 76ers,119,,"20,779",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/202002070PHI.html,202002070PHI
"Fri, Feb 7, 2020",7:00p,Dallas Mavericks,118,Washington Wizards,119,,"20,476",Capital One Arena,https://www.basketball-reference.com/boxscores/pbp/202002070WAS.html,202002070WAS
"Fri, Feb 7, 2020",7:30p,Atlanta Hawks,107,Boston Celtics,112,,"19,156",TD Garden,https://www.basketball-reference.com/boxscores/pbp/202002070BOS.html,202002070BOS
"Fri, Feb 7, 2020",8:00p,Toronto Raptors,115,Indiana Pacers,106,,"17,028",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002070IND.html,202002070IND
"Fri, Feb 7, 2020",8:00p,Detroit Pistons,101,Oklahoma City Thunder,108,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/202002070OKC.html,202002070OKC
"Fri, Feb 7, 2020",9:00p,Houston Rockets,91,Phoenix Suns,127,,"17,043",Talking Stick Resort Arena,https://www.basketball-reference.com/boxscores/pbp/202002070PHO.html,202002070PHO
"Fri, Feb 7, 2020",10:00p,Miami Heat,97,Sacramento Kings,105,,"16,760",Golden 1 Center,https://www.basketball-reference.com/boxscores/pbp/202002070SAC.html,202002070SAC
"Fri, Feb 7, 2020",10:30p,Portland Trail Blazers,114,Utah Jazz,117,,"18,306",Vivint Smart Home Arena,https://www.basketball-reference.com/boxscores/pbp/202002070UTA.html,202002070UTA
"Sat, Feb 8, 2020",5:00p,Milwaukee Bucks,111,Orlando Magic,95,,"16,632",Amway Center,https://www.basketball-reference.com/boxscores/pbp/202002080ORL.html,202002080ORL
"Sat, Feb 8, 2020",7:00p,Dallas Mavericks,116,Charlotte Hornets,100,,"19,370",Spectrum Center,https://www.basketball-reference.com/boxscores/pbp/202002080CHO.html,202002080CHO
"Sat, Feb 8, 2020",7:00p,New York Knicks,95,Detroit Pistons,92,,"15,980",Little Caesars Arena,https://www.basketball-reference.com/boxscores/pbp/202002080DET.html,202002080DET
"Sat, Feb 8, 2020",7:30p,New Orleans Pelicans,124,Indiana Pacers,117,,"17,923",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/202002080IND.html,202002080IND
"Sat, Feb 8, 2020",7:30p,Brooklyn Nets,118,Toronto Raptors,119,,"19,800",Scotiabank Arena,https://www.basketball-reference.com/boxscores/pbp/202002080TOR.html,202002080TOR
"Sat, Feb 8, 2020",8:00p,Los Angeles Clippers,115,Minnesota Timberwolves,142,,"18,978",Target Center,https://www.basketball-reference.com/boxscores/pbp/202002080MIN.html,202002080MIN
"Sat, Feb 8, 2020",8:30p,Los Angeles Lakers,125,Golden State Warriors,120,,"18,064",Chase Center,https://www.basketball-reference.com/boxscores/pbp/202002080GSW.html,202002080GSW
