dates,start,visitor,pts_visitor,home,pts_home,ot,attendance,arena,urls,id
"Tue, Oct 28, 2014",8:00p,Orlando Magic,84,New Orleans Pelicans,101,,"17,097",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201410280NOP.html,201410280NOP
"Tue, Oct 28, 2014",8:00p,Dallas Mavericks,100,San Antonio Spurs,101,,"19,615",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201410280SAS.html,201410280SAS
"Tue, Oct 28, 2014",10:30p,Houston Rockets,108,Los Angeles Lakers,90,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201410280LAL.html,201410280LAL
"Wed, Oct 29, 2014",7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,OT,"19,439",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201410290CHO.html,201410290CHO
"Wed, Oct 29, 2014",7:00p,Philadelphia 76ers,91,Indiana Pacers,103,,"18,165",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201410290IND.html,201410290IND
"Wed, Oct 29, 2014",7:30p,Atlanta Hawks,102,Toronto Raptors,109,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201410290TOR.html,201410290TOR
"Wed, Oct 29, 2014",7:30p,Washington Wizards,95,Miami Heat,107,,"19,744",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201410290MIA.html,201410290MIA
"Wed, Oct 29, 2014",7:30p,Brooklyn Nets,105,Boston Celtics,121,,"18,624",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201410290BOS.html,201410290BOS
"Wed, Oct 29, 2014",8:00p,Chicago Bulls,104,New York Knicks,80,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201410290NYK.html,201410290NYK
"Wed, Oct 29, 2014",8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,,"17,731",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201410290MEM.html,201410290MEM
"Wed, Oct 29, 2014",9:00p,Detroit Pistons,79,Denver Nuggets,89,,"17,136",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201410290DEN.html,201410290DEN
"Wed, Oct 29, 2014",9:00p,Houston Rockets,104,Utah Jazz,93,,"19,911",EnergySolutions Arena,https://www.basketball-reference.com/boxscores/pbp/201410290UTA.html,201410290UTA
"Wed, Oct 29, 2014",10:00p,Los Angeles Lakers,99,Phoenix Suns,119,,"17,523",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201410290PHO.html,201410290PHO
"Wed, Oct 29, 2014",10:00p,Golden State Warriors,95,Sacramento Kings,77,,"17,317",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201410290SAC.html,201410290SAC
"Wed, Oct 29, 2014",10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,,"19,441",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201410290POR.html,201410290POR
"Thu, Oct 30, 2014",7:00p,Washington Wizards,105,Orlando Magic,98,,"18,846",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201410300ORL.html,201410300ORL
"Thu, Oct 30, 2014",8:00p,New York Knicks,95,Cleveland Cavaliers,90,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201410300CLE.html,201410300CLE
"Thu, Oct 30, 2014",8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,,"18,296",Target Center,https://www.basketball-reference.com/boxscores/pbp/201410300MIN.html,201410300MIN
"Thu, Oct 30, 2014",8:30p,Utah Jazz,102,Dallas Mavericks,120,,"19,697",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201410300DAL.html,201410300DAL
"Thu, Oct 30, 2014",10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,,"19,060",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201410300LAC.html,201410300LAC
"Fri, Oct 31, 2014",7:00p,Memphis Grizzlies,97,Indiana Pacers,89,,"14,441",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201410310IND.html,201410310IND
"Fri, Oct 31, 2014",8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,OT,"22,879",United Center,https://www.basketball-reference.com/boxscores/pbp/201410310CHI.html,201410310CHI
"Fri, Oct 31, 2014",8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,,"18,717",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201410310MIL.html,201410310MIL
"Fri, Oct 31, 2014",10:00p,San Antonio Spurs,89,Phoenix Suns,94,,"15,050",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201410310PHO.html,201410310PHO
"Fri, Oct 31, 2014",10:00p,Portland Trail Blazers,94,Sacramento Kings,103,,"14,648",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201410310SAC.html,201410310SAC
"Fri, Oct 31, 2014",10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201410310LAL.html,201410310LAL
"Sat, Nov 1, 2014",7:00p,Memphis Grizzlies,71,Charlotte Hornets,69,,"18,133",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201411010CHO.html,201411010CHO
"Sat, Nov 1, 2014",7:00p,Dallas Mavericks,109,New Orleans Pelicans,104,,"14,547",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201411010NOP.html,201411010NOP
"Sat, Nov 1, 2014",7:00p,Toronto Raptors,108,Orlando Magic,95,,"16,141",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201411010ORL.html,201411010ORL
"Sat, Nov 1, 2014",7:00p,Miami Heat,114,Philadelphia 76ers,96,,"19,753",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201411010PHI.html,201411010PHI
"Sat, Nov 1, 2014",7:00p,Milwaukee Bucks,97,Washington Wizards,108,,"17,992",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201411010WAS.html,201411010WAS
"Sat, Nov 1, 2014",7:30p,Indiana Pacers,92,Atlanta Hawks,102,,"19,118",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201411010ATL.html,201411010ATL
"Sat, Nov 1, 2014",7:30p,Brooklyn Nets,102,Detroit Pistons,90,,"19,904",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201411010DET.html,201411010DET
"Sat, Nov 1, 2014",8:00p,Boston Celtics,90,Houston Rockets,104,,"18,309",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/201411010HOU.html,201411010HOU
"Sat, Nov 1, 2014",8:00p,Chicago Bulls,106,Minnesota Timberwolves,105,,"19,356",Target Center,https://www.basketball-reference.com/boxscores/pbp/201411010MIN.html,201411010MIN
"Sat, Nov 1, 2014",8:00p,Denver Nuggets,91,Oklahoma City Thunder,102,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/201411010OKC.html,201411010OKC
"Sat, Nov 1, 2014",9:00p,Phoenix Suns,91,Utah Jazz,118,,"17,721",EnergySolutions Arena,https://www.basketball-reference.com/boxscores/pbp/201411010UTA.html,201411010UTA
"Sat, Nov 1, 2014",10:30p,Los Angeles Lakers,104,Golden State Warriors,127,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201411010GSW.html,201411010GSW
"Sun, Nov 2, 2014",3:30p,Sacramento Kings,98,Los Angeles Clippers,92,,"19,060",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411020LAC.html,201411020LAC
"Sun, Nov 2, 2014",6:00p,Toronto Raptors,102,Miami Heat,107,,"19,666",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201411020MIA.html,201411020MIA
"Sun, Nov 2, 2014",7:30p,Charlotte Hornets,93,New York Knicks,96,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201411020NYK.html,201411020NYK
"Sun, Nov 2, 2014",9:00p,Golden State Warriors,95,Portland Trail Blazers,90,,"19,441",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201411020POR.html,201411020POR
"Mon, Nov 3, 2014",7:00p,Houston Rockets,104,Philadelphia 76ers,93,,"12,896",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201411030PHI.html,201411030PHI
"Mon, Nov 3, 2014",7:30p,Oklahoma City Thunder,85,Brooklyn Nets,116,,"17,732",Barclays Center,https://www.basketball-reference.com/boxscores/pbp/201411030BRK.html,201411030BRK
"Mon, Nov 3, 2014",8:00p,New Orleans Pelicans,81,Memphis Grizzlies,93,,"15,302",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201411030MEM.html,201411030MEM
"Mon, Nov 3, 2014",8:30p,Boston Celtics,113,Dallas Mavericks,118,,"19,948",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201411030DAL.html,201411030DAL
"Mon, Nov 3, 2014",9:00p,Sacramento Kings,110,Denver Nuggets,105,,"12,516",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201411030DEN.html,201411030DEN
"Mon, Nov 3, 2014",10:30p,Utah Jazz,101,Los Angeles Clippers,107,,"19,060",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411030LAC.html,201411030LAC
"Tue, Nov 4, 2014",7:00p,Milwaukee Bucks,87,Indiana Pacers,81,,"15,012",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201411040IND.html,201411040IND
"Tue, Nov 4, 2014",7:30p,Houston Rockets,108,Miami Heat,91,,"19,666",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201411040MIA.html,201411040MIA
"Tue, Nov 4, 2014",7:30p,Washington Wizards,98,New York Knicks,83,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201411040NYK.html,201411040NYK
"Tue, Nov 4, 2014",7:30p,Oklahoma City Thunder,88,Toronto Raptors,100,,"18,877",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201411040TOR.html,201411040TOR
"Tue, Nov 4, 2014",8:00p,Orlando Magic,90,Chicago Bulls,98,,"21,809",United Center,https://www.basketball-reference.com/boxscores/pbp/201411040CHI.html,201411040CHI
"Tue, Nov 4, 2014",8:00p,Charlotte Hornets,91,New Orleans Pelicans,100,,"14,840",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201411040NOP.html,201411040NOP
"Tue, Nov 4, 2014",10:00p,Cleveland Cavaliers,82,Portland Trail Blazers,101,,"19,441",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201411040POR.html,201411040POR
"Tue, Nov 4, 2014",10:30p,Phoenix Suns,112,Los Angeles Lakers,106,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411040LAL.html,201411040LAL
"Wed, Nov 5, 2014",7:00p,Miami Heat,89,Charlotte Hornets,96,,"15,874",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201411050CHO.html,201411050CHO
"Wed, Nov 5, 2014",7:00p,Orlando Magic,91,Philadelphia 76ers,89,,"12,111",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201411050PHI.html,201411050PHI
"Wed, Nov 5, 2014",7:30p,Toronto Raptors,110,Boston Celtics,107,,"16,249",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201411050BOS.html,201411050BOS
"Wed, Nov 5, 2014",7:30p,Minnesota Timberwolves,98,Brooklyn Nets,91,,"16,302",Barclays Center,https://www.basketball-reference.com/boxscores/pbp/201411050BRK.html,201411050BRK
"Wed, Nov 5, 2014",7:30p,New York Knicks,95,Detroit Pistons,98,,"11,915",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201411050DET.html,201411050DET
"Wed, Nov 5, 2014",8:00p,Chicago Bulls,95,Milwaukee Bucks,86,,"13,098",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201411050MIL.html,201411050MIL
"Wed, Nov 5, 2014",8:00p,Indiana Pacers,94,Washington Wizards,96,OT,"15,268",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201411050WAS.html,201411050WAS
"Wed, Nov 5, 2014",8:30p,Atlanta Hawks,92,San Antonio Spurs,94,,"18,581",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201411050SAS.html,201411050SAS
"Wed, Nov 5, 2014",9:00p,Memphis Grizzlies,102,Phoenix Suns,91,,"15,377",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201411050PHO.html,201411050PHO
"Wed, Nov 5, 2014",9:00p,Cleveland Cavaliers,100,Utah Jazz,102,,"19,911",EnergySolutions Arena,https://www.basketball-reference.com/boxscores/pbp/201411050UTA.html,201411050UTA
"Wed, Nov 5, 2014",10:00p,Denver Nuggets,109,Sacramento Kings,131,,"14,539",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201411050SAC.html,201411050SAC
"Wed, Nov 5, 2014",10:30p,Los Angeles Clippers,104,Golden State Warriors,121,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201411050GSW.html,201411050GSW
"Thu, Nov 6, 2014",8:00p,San Antonio Spurs,81,Houston Rockets,98,,"18,311",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/201411060HOU.html,201411060HOU
"Thu, Nov 6, 2014",10:30p,Dallas Mavericks,87,Portland Trail Blazers,108,,"19,441",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201411060POR.html,201411060POR
"Fri, Nov 7, 2014",7:00p,Atlanta Hawks,119,Charlotte Hornets,122,2OT,"15,891",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201411070CHO.html,201411070CHO
"Fri, Nov 7, 2014",7:00p,Minnesota Timberwolves,103,Orlando Magic,112,OT,"16,379",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201411070ORL.html,201411070ORL
"Fri, Nov 7, 2014",7:00p,Chicago Bulls,118,Philadelphia 76ers,115,,"16,820",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201411070PHI.html,201411070PHI
"Fri, Nov 7, 2014",7:30p,Indiana Pacers,98,Boston Celtics,101,,"17,122",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201411070BOS.html,201411070BOS
"Fri, Nov 7, 2014",7:30p,New York Knicks,99,Brooklyn Nets,110,,"17,732",Barclays Center,https://www.basketball-reference.com/boxscores/pbp/201411070BRK.html,201411070BRK
"Fri, Nov 7, 2014",7:30p,Milwaukee Bucks,95,Detroit Pistons,98,,"16,102",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201411070DET.html,201411070DET
"Fri, Nov 7, 2014",7:30p,Washington Wizards,84,Toronto Raptors,103,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201411070TOR.html,201411070TOR
"Fri, Nov 7, 2014",8:00p,Memphis Grizzlies,91,Oklahoma City Thunder,89,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/201411070OKC.html,201411070OKC
"Fri, Nov 7, 2014",9:00p,Sacramento Kings,114,Phoenix Suns,112,2OT,"15,476",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201411070PHO.html,201411070PHO
"Fri, Nov 7, 2014",9:00p,Dallas Mavericks,105,Utah Jazz,82,,"18,419",EnergySolutions Arena,https://www.basketball-reference.com/boxscores/pbp/201411070UTA.html,201411070UTA
"Fri, Nov 7, 2014",10:30p,Cleveland Cavaliers,110,Denver Nuggets,101,,"19,623",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201411070DEN.html,201411070DEN
"Sat, Nov 8, 2014",3:30p,Portland Trail Blazers,102,Los Angeles Clippers,106,,"19,060",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411080LAC.html,201411080LAC
"Sat, Nov 8, 2014",7:00p,Washington Wizards,97,Indiana Pacers,90,,"17,302",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201411080IND.html,201411080IND
"Sat, Nov 8, 2014",7:30p,New York Knicks,96,Atlanta Hawks,103,,"17,521",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201411080ATL.html,201411080ATL
"Sat, Nov 8, 2014",7:30p,Minnesota Timberwolves,92,Miami Heat,102,,"19,735",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201411080MIA.html,201411080MIA
"Sat, Nov 8, 2014",8:00p,Boston Celtics,106,Chicago Bulls,101,,"22,104",United Center,https://www.basketball-reference.com/boxscores/pbp/201411080CHI.html,201411080CHI
"Sat, Nov 8, 2014",8:00p,Golden State Warriors,98,Houston Rockets,87,,"18,312",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/201411080HOU.html,201411080HOU
"Sat, Nov 8, 2014",8:30p,Memphis Grizzlies,92,Milwaukee Bucks,93,,"13,841",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201411080MIL.html,201411080MIL
"Sat, Nov 8, 2014",8:30p,New Orleans Pelicans,100,San Antonio Spurs,99,,"18,581",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201411080SAS.html,201411080SAS
"Sun, Nov 9, 2014",3:30p,Orlando Magic,96,Brooklyn Nets,104,,"16,127",Barclays Center,https://www.basketball-reference.com/boxscores/pbp/201411090BRK.html,201411090BRK
"Sun, Nov 9, 2014",6:00p,Utah Jazz,97,Detroit Pistons,96,,"12,888",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201411090DET.html,201411090DET
"Sun, Nov 9, 2014",7:00p,Sacramento Kings,93,Oklahoma City Thunder,101,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/201411090OKC.html,201411090OKC
"Sun, Nov 9, 2014",7:00p,Philadelphia 76ers,88,Toronto Raptors,120,,"18,470",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201411090TOR.html,201411090TOR
"Sun, Nov 9, 2014",7:30p,Miami Heat,105,Dallas Mavericks,96,,"20,195",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201411090DAL.html,201411090DAL
"Sun, Nov 9, 2014",8:00p,Golden State Warriors,95,Phoenix Suns,107,,"16,046",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201411090PHO.html,201411090PHO
"Sun, Nov 9, 2014",9:00p,Denver Nuggets,100,Portland Trail Blazers,116,,"16,046",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201411090POR.html,201411090POR
"Sun, Nov 9, 2014",9:30p,Charlotte Hornets,92,Los Angeles Lakers,107,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411090LAL.html,201411090LAL
"Mon, Nov 10, 2014",7:00p,New Orleans Pelicans,111,Cleveland Cavaliers,118,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201411100CLE.html,201411100CLE
"Mon, Nov 10, 2014",7:00p,Utah Jazz,86,Indiana Pacers,97,,"12,513",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201411100IND.html,201411100IND
"Mon, Nov 10, 2014",7:30p,Atlanta Hawks,91,New York Knicks,85,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201411100NYK.html,201411100NYK
"Mon, Nov 10, 2014",8:00p,Detroit Pistons,91,Chicago Bulls,102,,"21,431",United Center,https://www.basketball-reference.com/boxscores/pbp/201411100CHI.html,201411100CHI
"Mon, Nov 10, 2014",10:30p,San Antonio Spurs,89,Los Angeles Clippers,85,,"19,313",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411100LAC.html,201411100LAC
"Tue, Nov 11, 2014",7:30p,Orlando Magic,100,Toronto Raptors,104,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201411110TOR.html,201411110TOR
"Tue, Nov 11, 2014",8:00p,Los Angeles Lakers,102,Memphis Grizzlies,107,,"17,618",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201411110MEM.html,201411110MEM
"Tue, Nov 11, 2014",8:00p,Oklahoma City Thunder,78,Milwaukee Bucks,85,,"12,390",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201411110MIL.html,201411110MIL
"Tue, Nov 11, 2014",8:30p,Sacramento Kings,98,Dallas Mavericks,106,,"19,663",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201411110DAL.html,201411110DAL
"Tue, Nov 11, 2014",10:00p,Charlotte Hornets,100,Portland Trail Blazers,102,,"18,495",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201411110POR.html,201411110POR
"Tue, Nov 11, 2014",10:30p,San Antonio Spurs,113,Golden State Warriors,100,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201411110GSW.html,201411110GSW
"Wed, Nov 12, 2014",7:00p,Detroit Pistons,103,Washington Wizards,107,,"14,708",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201411120WAS.html,201411120WAS
"Wed, Nov 12, 2014",7:30p,Utah Jazz,97,Atlanta Hawks,100,,"12,595",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201411120ATL.html,201411120ATL
"Wed, Nov 12, 2014",7:30p,Oklahoma City Thunder,109,Boston Celtics,94,,"17,043",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201411120BOS.html,201411120BOS
"Wed, Nov 12, 2014",7:30p,Indiana Pacers,81,Miami Heat,75,,"19,658",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201411120MIA.html,201411120MIA
"Wed, Nov 12, 2014",7:30p,Orlando Magic,97,New York Knicks,95,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201411120NYK.html,201411120NYK
"Wed, Nov 12, 2014",8:00p,Los Angeles Lakers,102,New Orleans Pelicans,109,,"17,359",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201411120NOP.html,201411120NOP
"Wed, Nov 12, 2014",9:00p,Portland Trail Blazers,130,Denver Nuggets,113,,"12,611",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201411120DEN.html,201411120DEN
"Wed, Nov 12, 2014",9:00p,Brooklyn Nets,104,Phoenix Suns,112,,"15,184",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201411120PHO.html,201411120PHO
"Wed, Nov 12, 2014",10:00p,Houston Rockets,113,Minnesota Timberwolves,101,,"18,996",Mexico City Arena,https://www.basketball-reference.com/boxscores/pbp/201411120MIN.html,201411120MIN
"Thu, Nov 13, 2014",8:00p,Sacramento Kings,110,Memphis Grizzlies,111,,"15,666",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201411130MEM.html,201411130MEM
"Thu, Nov 13, 2014",8:00p,Chicago Bulls,100,Toronto Raptors,93,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201411130TOR.html,201411130TOR
"Thu, Nov 13, 2014",8:30p,Philadelphia 76ers,70,Dallas Mavericks,123,,"19,604",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201411130DAL.html,201411130DAL
"Thu, Nov 13, 2014",10:30p,Brooklyn Nets,99,Golden State Warriors,107,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201411130GSW.html,201411130GSW
"Fri, Nov 14, 2014",7:00p,Denver Nuggets,108,Indiana Pacers,87,,"16,286",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201411140IND.html,201411140IND
"Fri, Nov 14, 2014",7:00p,Milwaukee Bucks,85,Orlando Magic,101,,"15,947",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201411140ORL.html,201411140ORL
"Fri, Nov 14, 2014",7:30p,Miami Heat,103,Atlanta Hawks,114,,"17,090",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201411140ATL.html,201411140ATL
"Fri, Nov 14, 2014",7:30p,Cleveland Cavaliers,122,Boston Celtics,121,,"18,624",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201411140BOS.html,201411140BOS
"Fri, Nov 14, 2014",7:30p,Utah Jazz,102,New York Knicks,100,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201411140NYK.html,201411140NYK
"Fri, Nov 14, 2014",8:00p,Philadelphia 76ers,87,Houston Rockets,88,,"18,138",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/201411140HOU.html,201411140HOU
"Fri, Nov 14, 2014",8:00p,Minnesota Timberwolves,91,New Orleans Pelicans,139,,"14,775",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201411140NOP.html,201411140NOP
"Fri, Nov 14, 2014",8:00p,Detroit Pistons,96,Oklahoma City Thunder,89,OT,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/201411140OKC.html,201411140OKC
"Fri, Nov 14, 2014",9:00p,Charlotte Hornets,103,Phoenix Suns,95,,"16,291",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201411140PHO.html,201411140PHO
"Fri, Nov 14, 2014",10:00p,San Antonio Spurs,93,Los Angeles Lakers,80,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411140LAL.html,201411140LAL
"Sat, Nov 15, 2014",7:00p,Orlando Magic,93,Washington Wizards,98,,"19,110",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201411150WAS.html,201411150WAS
"Sat, Nov 15, 2014",7:30p,Atlanta Hawks,94,Cleveland Cavaliers,127,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201411150CLE.html,201411150CLE
"Sat, Nov 15, 2014",7:30p,Utah Jazz,93,Toronto Raptors,111,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201411150TOR.html,201411150TOR
"Sat, Nov 15, 2014",8:00p,Indiana Pacers,99,Chicago Bulls,90,,"22,248",United Center,https://www.basketball-reference.com/boxscores/pbp/201411150CHI.html,201411150CHI
"Sat, Nov 15, 2014",8:00p,Detroit Pistons,88,Memphis Grizzlies,95,,"17,215",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201411150MEM.html,201411150MEM
"Sat, Nov 15, 2014",8:30p,Minnesota Timberwolves,117,Dallas Mavericks,131,,"19,730",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201411150DAL.html,201411150DAL
"Sat, Nov 15, 2014",10:00p,Brooklyn Nets,87,Portland Trail Blazers,97,,"19,441",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201411150POR.html,201411150POR
"Sat, Nov 15, 2014",10:00p,San Antonio Spurs,91,Sacramento Kings,94,,"17,317",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201411150SAC.html,201411150SAC
"Sat, Nov 15, 2014",10:30p,Charlotte Hornets,87,Golden State Warriors,112,,"19,596",Oracle Arena,https://www.basketball-reference.com/boxscores/pbp/201411150GSW.html,201411150GSW
"Sat, Nov 15, 2014",10:30p,Phoenix Suns,107,Los Angeles Clippers,120,,"19,060",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411150LAC.html,201411150LAC
"Sun, Nov 16, 2014",1:00p,Denver Nuggets,93,New York Knicks,109,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201411160NYK.html,201411160NYK
"Sun, Nov 16, 2014",6:00p,Milwaukee Bucks,91,Miami Heat,84,,"19,680",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201411160MIA.html,201411160MIA
"Sun, Nov 16, 2014",7:00p,Houston Rockets,69,Oklahoma City Thunder,65,,"18,203",Chesapeake Energy Arena,https://www.basketball-reference.com/boxscores/pbp/201411160OKC.html,201411160OKC
"Sun, Nov 16, 2014",9:30p,Golden State Warriors,136,Los Angeles Lakers,115,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201411160LAL.html,201411160LAL
